Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,SEC Form 4 Link,Insider_id
McDonough Claire,Chief Financial Officer,Feb 16,Sale,20.78,2902.0,60304.0,72902.0,Feb 17 07:00 PM,http://www.sec.gov/Archives/edgar/data/1874178/000120919123010895/xslF345X03/doc4.xml,1890925
Baker Jeff,Chief Accounting Officer,Feb 15,Sale,18.98,2331.0,44254.0,87000.0,Feb 17 07:00 PM,http://www.sec.gov/Archives/edgar/data/1699866/000120919123010894/xslF345X03/doc4.xml,1699866
McDonough Claire,Chief Financial Officer,Feb 15,Sale,18.99,2090.0,39694.0,75804.0,Feb 17 07:00 PM,http://www.sec.gov/Archives/edgar/data/1874178/000120919123010895/xslF345X03/doc4.xml,1890925
McDonough Claire,Chief Financial Officer,Nov 16,Sale,34.28,3257.0,111650.0,77894.0,Nov 17 06:48 PM,http://www.sec.gov/Archives/edgar/data/1874178/000120919122057709/xslF345X03/doc4.xml,1890925
McDonough Claire,Chief Financial Officer,Nov 15,Option Exercise,21.72,12500.0,271500.0,95386.0,Nov 17 06:48 PM,http://www.sec.gov/Archives/edgar/data/1874178/000120919122057709/xslF345X03/doc4.xml,1890925
McDonough Claire,Chief Financial Officer,Nov 15,Sale,34.92,14235.0,497149.0,81151.0,Nov 17 06:48 PM,http://www.sec.gov/Archives/edgar/data/1874178/000120919122057709/xslF345X03/doc4.xml,1890925
Baker Jeff,Chief Accounting Officer,Nov 15,Sale,34.38,1689.0,58068.0,89331.0,Nov 17 06:49 PM,http://www.sec.gov/Archives/edgar/data/1699866/000120919122057711/xslF345X03/doc4.xml,1699866
Baker Jeff,Chief Accounting Officer,Aug 15,Sale,37.27,1753.0,65342.0,79666.0,Aug 17 04:35 PM,http://www.sec.gov/Archives/edgar/data/1699866/000120919122046280/xslF345X03/doc4.xml,1699866
FLATLEY JAY T,Director,May 26,Buy,29.31,40000.0,1172400.0,92616.0,May 31 05:36 PM,http://www.sec.gov/Archives/edgar/data/1189130/000120919122032925/xslF345X03/doc4.xml,1189130
Behl Jiten,Chief Growth Officer,May 17,Sale,25.83,1608.0,41535.0,25900.0,May 18 07:03 PM,http://www.sec.gov/Archives/edgar/data/1874178/000120919122030239/xslF345X03/doc4.xml,1891532
Scaringe Robert J,Chief Executive Officer,May 16,Buy,25.78,41000.0,1056865.0,169175.0,May 16 04:13 PM,http://www.sec.gov/Archives/edgar/data/1874178/000120919122029121/xslF345X03/doc4.xml,1891517
Baker Jeff,Chief Accounting Officer,May 16,Sale,25.56,6034.0,154234.0,80778.0,May 18 07:04 PM,http://www.sec.gov/Archives/edgar/data/1699866/000120919122030240/xslF345X03/doc4.xml,1699866
Behl Jiten,Chief Growth Officer,May 16,Sale,25.56,892.0,22801.0,27508.0,May 18 07:03 PM,http://www.sec.gov/Archives/edgar/data/1874178/000120919122030239/xslF345X03/doc4.xml,1891532
FORD MOTOR CO,10% Owner,May 13,Sale,26.88,7000000.0,188165600.0,86947494.0,May 13 08:48 PM,http://www.sec.gov/Archives/edgar/data/37996/000120919122029015/xslF345X03/doc4.xml,37996
FORD MOTOR CO,10% Owner,May 09,Sale,26.8,8000000.0,214400000.0,93947494.0,May 10 08:48 PM,http://www.sec.gov/Archives/edgar/data/37996/000120919122028185/xslF345X03/doc4.xml,37996
