Date,Status,Outer,Previous_ratting,Current_ratting,Previous_price,Current_price
2023-01-19,Initiated,Bernstein,Outperform,Outperform,,
2022-11-14,Upgrade,Susquehanna,Neutral,Positive,510,850
2022-11-08,Initiated,Morgan Stanley,Overweight,Overweight,,
2022-10-21,Upgrade,New Street,Neutral,Buy,,
2022-10-20,Upgrade,Deutsche Bank,Hold,Buy,,
2022-08-31,Upgrade,UBS,Neutral,Buy,,
2022-06-29,Initiated,Argus,Buy,Buy,590,590
2022-01-13,Resumed,Credit Suisse,Outperform,Outperform,,
2021-12-20,Initiated,Morgan Stanley,Overweight,Overweight,902,902
2021-10-15,Initiated,Piper Sandler,Overweight,Overweight,,
2021-10-14,Reiterated,BofA Securities,Buy,Buy,,
2021-09-28,Downgrade,New Street,Buy,Neutral,,
2021-05-14,Resumed,Credit Suisse,Outperform,Outperform,,
2021-03-22,Upgrade,Cowen,Market Perform,Outperform,,
2021-01-21,Upgrade,New Street,Neutral,Buy,,
2020-12-04,Upgrade,Stifel,Hold,Buy,,
2020-07-29,Downgrade,UBS,Buy,Neutral,,
2020-07-29,Downgrade,Bernstein,Outperform,Mkt Perform,,
2020-03-12,Upgrade,Bernstein,Mkt Perform,Outperform,,
2020-01-14,Upgrade,Bryan Garnier,Neutral,Buy,,
