Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
GRGTF,Grainger plc,3.22,0.76,30.89,59351.0,0.0,3.025,8.7
ALGN,"Align Technology, Inc.",359.88,77.35,27.38,4435000.0,1008000.0,28.111,53.08
COIN,"Coinbase Global, Inc.",81.46,15.76,23.99,43407000.0,16492999.999999998,21.334,8.33
META,"Meta Platforms, Inc.",188.77,35.65,23.28,149574000.0,35030000.0,494.993,17.3
TIAOF,Telecom Italia S.p.A.,0.3199,0.0569,21.63,53000.0,54852.0,7.335,
AFRM,"Affirm Holdings, Inc.",21.14,3.42,19.3,39445000.0,17028000.0,6.134,
FRZCF,Frasers Centrepoint Trust,1.74,0.27,18.37,63199.0,763.0,3.443,19.33
BFH,"Bread Financial Holdings, Inc.",43.94,5.87,15.42,2159000.0,848734.0,2.191,5.25
ELF,"e.l.f. Beauty, Inc.",67.29,8.78,15.01,3565000.0,763990.0,3.562,103.52
NET,"Cloudflare, Inc.",63.29,7.78,14.02,10794000.0,5358000.0,20.799,
JHG,Janus Henderson Group plc,29.93,3.53,13.37,4606000.0,1046999.9999999999,4.958,11.38
GWW,"W.W. Grainger, Inc.",675.57,77.52,12.96,979281.0,288440.0,34.136,24.16
GOL,Gol Linhas Aéreas Inteligentes S.A.,3.34,0.37,12.46,2843000.0,1424000.0,5.385,
HCP,"HashiCorp, Inc.",37.28,3.93,11.78,3100000.0,1582000.0,7.007,
JBLU,JetBlue Airways Corporation,9.22,0.97,11.76,26440000.0,9540000.0,2.986,
DROOF,Deliveroo plc,1.2525,0.1264,11.22,1491000.0,40021.0,2.369,
QS,QuantumScape Corporation,9.71,0.97,11.1,14949000.0,7445000.0,4.233,
DASTY,Dassault Systèmes SE,42.01,4.17,11.02,106427.0,97767.0,55.198,61.78
TRUP,"Trupanion, Inc.",67.82,6.65,10.87,861829.0,534470.0,2.773,
SNDR,"Schneider National, Inc.",30.38,2.97,10.84,1792000.0,521352.0,5.408,11.25
VERX,"Vertex, Inc.",15.38,1.5,10.81,316673.0,168532.0,2.308,
RKT,"Rocket Companies, Inc.",10.78,1.05,10.79,13012000.0,3003000.0,21.423,5.98
HOG,"Harley-Davidson, Inc.",51.72,5.0,10.7,4860000.0,1354000.0,7.561,10.75
APE,"AMC Entertainment Holdings, Inc.",2.83,0.27,10.55,55056000.0,29905000.0,5.131,
U,Unity Software Inc.,40.38,3.84,10.51,20329000.0,12690000.0,16.275,
ADYEY,Adyen N.V.,17.7,1.66,10.35,768441.0,845418.0,54.846,84.29
DOCN,"DigitalOcean Holdings, Inc.",34.69,3.22,10.23,1939000.0,1305000.0,3.341,
SPT,"Sprout Social, Inc.",70.9,6.55,10.18,1718000.0,619403.0,3.888,
ARW,"Arrow Electronics, Inc.",132.53,12.23,10.17,1014000.0,459381.0,8.152,6.08
LKNCY,Luckin Coffee Inc.,28.84,2.64,10.08,3622000.0,1809000.0,7.645,36.97
SVCBF,Svenska Cellulosa Aktiebolaget SCA (publ),15.12,1.37,9.97,141918.0,1142.0,10.75,14.54
SNAP,Snap Inc.,11.4,1.03,9.93,80650000.0,30767000.0,18.027,
CFLT,"Confluent, Inc.",27.08,2.39,9.68,9276000.0,3397000.0,7.756,
PLTR,Palantir Technologies Inc.,8.99,0.79,9.63,71623000.0,33293000.0,18.701,
PSNY,Polestar Automotive Holding UK PLC,6.27,0.55,9.62,4225000.0,2875000.0,13.226,3.41
DNA,"Ginkgo Bioworks Holdings, Inc.",2.19,0.19,9.5,31385000.0,23214000.0,4.497,
RRX,Regal Rexnord Corporation,156.13,13.4,9.39,1328000.0,575870.0,10.328,34.93
W,Wayfair Inc.,72.73,6.22,9.35,9988000.0,5654000.0,7.791,
SAUHY,Straumann Holding AG,14.73,1.25,9.27,36138.0,106850.0,23.404,44.64
EVVTY,Evolution AB (publ),125.27,10.45,9.1,60289.0,72134.0,26.708,31.88
MSTR,MicroStrategy Incorporated,292.13,24.21,9.04,1028000.0,694601.0,3.37,
ROKU,"Roku, Inc.",65.47,5.42,9.03,10773000.0,7692000.0,9.118,55.48
PINS,"Pinterest, Inc.",29.1,2.4,8.99,26745000.0,11034000.0,19.737,323.33
TTD,"The Trade Desk, Inc.",57.01,4.7,8.98,7974000.0,4731000.0,27.907,712.62
RNG,"RingCentral, Inc.",46.07,3.79,8.96,3465000.0,1902000.0,4.424,
STAA,STAAR Surgical Company,79.34,6.38,8.74,1121000.0,787059.0,3.825,100.43
IRTC,"iRhythm Technologies, Inc.",111.18,8.93,8.73,511095.0,336886.0,3.348,
KLIC,"Kulicke and Soffa Industries, Inc.",58.26,4.66,8.69,1332000.0,536686.0,3.314,7.83
TNDM,"Tandem Diabetes Care, Inc.",44.98,3.59,8.67,1123000.0,1168000.0,2.892,562.25
