Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
APE,"AMC Entertainment Holdings, Inc.",2.33,0.41,21.35,66919000.0,28471000.0,5.632,
SOFI,"SoFi Technologies, Inc.",6.68,0.74,12.46,163458000.0,43578000.0,5.342,
ATAT,Atour Lifestyle Holdings Limited,27.87,2.87,11.48,741617.0,584526.0,3.634,174.19
IQ,"iQIYI, Inc.",6.92,0.68,10.9,42659000.0,19583000.0,6.549,
RLLCF,Rolls-Royce Holdings plc,0.0059,0.0005,9.26,1460000.0,888811.0,128.624,0.33
LTMAY,LATAM Airlines Group S.A.,0.588,0.048,8.89,553286.0,883796.0,6.392,0.03
ARLP,"Alliance Resource Partners, L.P.",22.54,1.83,8.84,2455000.0,485029.0,2.867,7.16
APPF,"AppFolio, Inc.",113.41,7.4,6.98,218079.0,108113.0,3.988,
LYSCF,Lynas Rare Earths Limited,6.89,0.41,6.33,92600.0,51624.0,6.236,16.02
GOFPY,Organization of Football Prognostics S.A.,7.94,0.45,6.01,16143.0,17880.0,5.77,13.93
PHG,Koninklijke Philips N.V.,17.99,1.0,5.89,3338000.0,2945000.0,15.927,40.89
CINF,Cincinnati Financial Corporation,111.52,6.08,5.77,1337000.0,567595.0,17.529,34.74
ESBA,"Empire State Realty OP, L.P.",7.9,0.41,5.47,35616.0,9870.0,2.131,65.83
BMRPF,B&M European Value Retail S.A.,5.69,0.28,5.17,19933.0,17911.0,5.809,11.86
LYSDY,Lynas Rare Earths Limited,6.79,0.33,5.11,175302.0,93873.0,6.145,15.79
ATLPF,Atlas Copco AB,13.15,0.61,4.86,40614.0,3856.0,60.326,29.22
OLCLY,"Oriental Land Co., Ltd.",33.64,1.55,4.83,34529.0,6011.0,55.642,146.26
MGYOY,MOL Magyar Olaj- és Gázipari Nyilvánosan Muködo Részvénytársaság,3.97,0.18,4.75,23446.0,22591.0,6.512,2.45
HOKCY,The Hong Kong and China Gas Company Limited,0.9888,0.0443,4.69,18130.0,139362.0,19.512,32.96
TIIAY,Telecom Italia S.p.A.,2.91,0.13,4.68,27998.0,77003.0,6.181,
AUOTY,AUO Corporation,5.66,0.25,4.62,40539.0,92106.0,4.33,11.55
AXSM,"Axsome Therapeutics, Inc.",73.31,3.04,4.33,931655.0,1356000.0,3.184,
SHECY,"Shin-Etsu Chemical Co., Ltd.",36.88,1.45,4.09,62188.0,126075.0,59.674,11.78
WBRBY,Wienerberger AG,6.08,0.23,3.93,66215.0,26573.0,3.344,5.48
SSTK,"Shutterstock, Inc.",72.3,2.7,3.88,869571.0,267890.0,2.589,28.58
JSAIY,J Sainsbury plc,12.92,0.46,3.69,16316.0,40481.0,7.575,10.5
NTCO,Natura &Co Holding S.A.,5.29,0.17,3.32,1657000.0,682373.0,3.632,29.39
MGPI,"MGP Ingredients, Inc.",94.39,2.89,3.16,224008.0,122642.0,2.076,17.68
JPXGY,"Japan Exchange Group, Inc.",7.57,0.23,3.13,39648.0,82214.0,7.991,21.63
FLNC,"Fluence Energy, Inc.",23.46,0.7,3.08,1899000.0,1064000.0,4.093,
BDORY,Banco do Brasil S.A.,8.1,0.24,3.05,1423000.0,591116.0,23.543,3.77
SLLDY,Sanlam Limited,6.75,0.2,3.05,46980.0,42132.0,7.458,8.65
