Date,Status,Outer,Previous_ratting,Current_ratting,Previous_price,Current_price
2022-09-14,Upgrade,Daiwa Securities,Outperform,Buy,,
2022-06-22,Initiated,Loop Capital,Buy,Buy,,
2022-02-07,Upgrade,Morgan Stanley,Equal-Weight,Overweight,,
2021-10-11,Initiated,Cowen,Market Perform,Market Perform,120,120
2021-06-30,Upgrade,Susquehanna,Negative,Neutral,85,105
2021-06-22,Initiated,Argus,Buy,Buy,150,150
2021-06-21,Downgrade,Morgan Stanley,Overweight,Equal-Weight,,
2021-04-12,Initiated,Atlantic Equities,Neutral,Neutral,130,130
2021-01-12,Upgrade,Bernstein,Mkt Perform,Outperform,149,149
2020-08-28,Initiated,New Street,Buy,Buy,,
2020-07-27,Upgrade,Credit Suisse,Neutral,Outperform,,
2020-07-24,Upgrade,Macquarie,Neutral,Outperform,,
2020-07-14,Upgrade,CLSA,Outperform,Buy,,
2020-04-28,Initiated,Wedbush,Outperform,Outperform,,
2020-04-17,Downgrade,Susquehanna,Positive,Negative,,
2020-03-27,Downgrade,Macquarie,Outperform,Neutral,,
2019-09-05,Upgrade,Morgan Stanley,Equal-Weight,Overweight,,
2019-07-19,Upgrade,CLSA,Underperform,Buy,,
2019-05-07,Initiated,Goldman,Buy,Buy,50,50
2019-01-17,Downgrade,CLSA,Outperform,Underperform,,
