Period End Date,Period Length,Total Revenue,Cost of Revenue,Gross Profit,"Selling, General and Administrative",Research and Development,Unusual Expense/Income,Total Operating Expense,Operating Income,Interest Income Net,Other Income Net,Net Income Before Taxes,Provision for Income Taxes,Net Income,Income Avail. to Common Excl. Extraord.,Income Avail. to Common Incl. Extraord.,Diluted Average Shares,Diluted EPS Excl. Extraord.,Diluted EPS Incl. Extraord.
TTM,12 Months,"2,263,891.42","915,536.55","1,348,354.88","63,445.99","163,262.18",,"1,142,645.62","1,121,245.80","21,755.67","1,189.38","1,144,190.84","127,289.81","1,016,530.07","1,016,530.07","1,016,530.07","25,929.29",39.20399,39.20399
12/31/2022,12 Months,"2,263,891.00","915,536.00","1,348,355.00","63,446.00","163,262.00",,"1,142,612.00","1,121,279.00","18,471.00","4,441.00","1,144,191.00","127,290.00","1,016,530.00","1,016,530.00","1,016,530.00","25,929.00",39.20437,39.20437
12/31/2021,12 Months,"1,587,415.04","767,877.77","819,537.27","44,488.18","124,734.76",-2.73,"937,431.41","649,983.63","11,679.85","1,462.83","663,126.31","66,053.18","596,540.01","596,540.01","596,540.01","25,930.38",23.00545,23.00545
12/31/2020,12 Months,"1,339,254.81","628,108.31","711,146.50","35,570.46","109,486.09",3.67,"772,474.79","566,780.03","16,910.38","1,086.78","584,777.18","66,619.10","517,885.39","517,885.39","517,885.39","25,930.38",19.97215,19.97215
12/31/2019,12 Months,"1,069,985.45","577,286.95","492,698.50","28,085.84","91,418.75",654.89,"697,290.67","372,694.78","16,485.49",665.07,"389,845.34","44,501.53","345,263.67","345,263.67","345,263.67","25,930.38",13.31503,13.31503
12/31/2018,12 Months,"1,031,473.56","533,487.52","497,986.04","26,253.71","85,895.57","1,426.73","647,847.65","383,625.91","14,012.12",-127.77,"397,510.26","46,325.86","351,130.88","351,130.88","351,130.88","25,930.38",13.54129,13.54129
12/31/2017,12 Months,"977,447.24","482,616.29","494,830.96","27,169.21","80,732.46","1,110.17","591,900.28","385,546.96","10,200.64",385.43,"396,133.03","52,986.18","343,111.48","343,111.48","343,111.48","25,930.38",13.23203,13.23203
12/31/2016,12 Months,"947,938.34","473,077.17","474,861.17","25,696.43","71,207.70",111.80,"570,138.91","377,799.43","8,025.59",134.35,"385,959.38","51,621.14","334,247.18","334,247.18","334,247.18","25,930.38",12.89018,12.89018
