fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-08,-0.24,-0.31,0.07,22.5806
2022-06-30,2022-08-03,-0.33,-0.36,0.03,8.3333
2022-03-31,2022-05-05,-0.37,-0.3,-0.07,-23.3333
2021-12-31,2022-02-28,-0.21,-0.35,0.14,40
2021-09-30,2021-11-15,-0.21,-0.25,0.04,16
2021-06-30,2021-07-26,-0.815,-0.1498,-0.6652,-444.0587
2021-03-31,2021-06-25,-3.33,None,None,None
2020-12-31,2021-03-16,-0.01,None,None,None
2020-09-30,2020-11-09,-0.0006,None,None,None
2020-06-30,2020-09-11,0,0,0,None
2020-03-31,2020-06-30,-14.0982,0,-14.0982,None
2019-12-31,2020-03-31,-16.07,0,-16.07,None
