Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2023-01-17 10:15:00-05:00,28.559999465942383,28.56999969482422,28.559999465942383,28.56999969482422,28.56999969482422,0,0.0,0.0,0.0
2023-01-17 10:40:00-05:00,28.47010040283203,28.47010040283203,28.47010040283203,28.47010040283203,28.47010040283203,3155,0.0,0.0,0.0
2023-01-17 11:10:00-05:00,28.469999313354492,28.469999313354492,28.469999313354492,28.469999313354492,28.469999313354492,211,0.0,0.0,0.0
2023-01-17 11:50:00-05:00,28.489999771118164,28.489999771118164,28.489999771118164,28.489999771118164,28.489999771118164,141,0.0,0.0,0.0
2023-01-17 13:20:00-05:00,28.44809913635254,28.44809913635254,28.44809913635254,28.44809913635254,28.44809913635254,220,0.0,0.0,0.0
2023-01-17 14:05:00-05:00,28.520000457763672,28.520000457763672,28.450000762939453,28.450000762939453,28.450000762939453,4071,0.0,0.0,0.0
2023-01-17 14:40:00-05:00,28.479999542236328,28.479999542236328,28.450000762939453,28.450000762939453,28.450000762939453,420,0.0,0.0,0.0
2023-01-17 15:25:00-05:00,28.440099716186523,28.52989959716797,28.440099716186523,28.52989959716797,28.52989959716797,1318,0.0,0.0,0.0
2023-01-17 15:55:00-05:00,28.440000534057617,28.440000534057617,28.440000534057617,28.440000534057617,28.440000534057617,200,0.0,0.0,0.0
2023-01-18 09:55:00-05:00,28.454999923706055,28.454999923706055,28.454999923706055,28.454999923706055,28.454999923706055,0,0.0,0.0,0.0
2023-01-18 10:20:00-05:00,28.540000915527344,28.54800033569336,28.540000915527344,28.54800033569336,28.54800033569336,2233,0.0,0.0,0.0
2023-01-18 11:05:00-05:00,28.479999542236328,28.479999542236328,28.479999542236328,28.479999542236328,28.479999542236328,369,0.0,0.0,0.0
2023-01-18 12:15:00-05:00,28.405000686645508,28.405000686645508,28.405000686645508,28.405000686645508,28.405000686645508,1041,0.0,0.0,0.0
2023-01-18 13:05:00-05:00,28.360000610351562,28.360000610351562,28.360000610351562,28.360000610351562,28.360000610351562,125,0.0,0.0,0.0
2023-01-18 13:35:00-05:00,28.3799991607666,28.3799991607666,28.3799991607666,28.3799991607666,28.3799991607666,2375,0.0,0.0,0.0
2023-01-18 13:40:00-05:00,28.3799991607666,28.3799991607666,28.3799991607666,28.3799991607666,28.3799991607666,2926,0.0,0.0,0.0
2023-01-18 14:00:00-05:00,28.3799991607666,28.3799991607666,28.3799991607666,28.3799991607666,28.3799991607666,636,0.0,0.0,0.0
2023-01-18 14:10:00-05:00,28.35540008544922,28.35540008544922,28.35540008544922,28.35540008544922,28.35540008544922,1373,0.0,0.0,0.0
2023-01-18 14:45:00-05:00,28.3799991607666,28.3799991607666,28.360000610351562,28.360000610351562,28.360000610351562,1480,0.0,0.0,0.0
2023-01-18 14:55:00-05:00,28.350000381469727,28.350000381469727,28.34000015258789,28.34000015258789,28.34000015258789,4552,0.0,0.0,0.0
2023-01-18 15:20:00-05:00,28.3799991607666,28.3799991607666,28.360000610351562,28.360000610351562,28.360000610351562,0,0.0,0.0,0.0
2023-01-18 15:35:00-05:00,28.375,28.375,28.360000610351562,28.360000610351562,28.360000610351562,18451,0.0,0.0,0.0
2023-01-18 15:40:00-05:00,28.350000381469727,28.350000381469727,28.350000381469727,28.350000381469727,28.350000381469727,211,0.0,0.0,0.0
2023-01-18 15:55:00-05:00,28.309999465942383,28.309999465942383,28.309999465942383,28.309999465942383,28.309999465942383,215,0.0,0.0,0.0
2023-01-19 10:00:00-05:00,28.190000534057617,28.29990005493164,28.190000534057617,28.29990005493164,28.29990005493164,0,0.0,0.0,0.0
2023-01-19 10:40:00-05:00,28.235000610351562,28.235000610351562,28.235000610351562,28.235000610351562,28.235000610351562,614,0.0,0.0,0.0
2023-01-19 10:45:00-05:00,28.216999053955078,28.216999053955078,28.216999053955078,28.216999053955078,28.216999053955078,203,0.0,0.0,0.0
2023-01-19 12:15:00-05:00,28.219999313354492,28.270000457763672,28.219999313354492,28.270000457763672,28.270000457763672,1596,0.0,0.0,0.0
2023-01-19 13:30:00-05:00,28.220600128173828,28.220600128173828,28.220600128173828,28.220600128173828,28.220600128173828,283,0.0,0.0,0.0
2023-01-19 14:00:00-05:00,28.299999237060547,28.308000564575195,28.280799865722656,28.280799865722656,28.280799865722656,944,0.0,0.0,0.0
2023-01-20 09:55:00-05:00,28.32990074157715,28.32990074157715,28.32990074157715,28.32990074157715,28.32990074157715,0,0.0,0.0,0.0
2023-01-20 10:50:00-05:00,28.31999969482422,28.31999969482422,28.31999969482422,28.31999969482422,28.31999969482422,215,0.0,0.0,0.0
2023-01-20 11:25:00-05:00,28.329999923706055,28.329999923706055,28.329999923706055,28.329999923706055,28.329999923706055,192,0.0,0.0,0.0
2023-01-20 13:10:00-05:00,28.389999389648438,28.389999389648438,28.389999389648438,28.389999389648438,28.389999389648438,265,0.0,0.0,0.0
2023-01-20 13:35:00-05:00,28.420000076293945,28.42799949645996,28.420000076293945,28.42799949645996,28.42799949645996,393,0.0,0.0,0.0
2023-01-20 14:30:00-05:00,28.38010025024414,28.38010025024414,28.38010025024414,28.38010025024414,28.38010025024414,483,0.0,0.0,0.0
2023-01-20 14:55:00-05:00,28.43000030517578,28.43000030517578,28.43000030517578,28.43000030517578,28.43000030517578,302,0.0,0.0,0.0
2023-01-20 15:05:00-05:00,28.44499969482422,28.44499969482422,28.44499969482422,28.44499969482422,28.44499969482422,100,0.0,0.0,0.0
2023-01-20 15:55:00-05:00,28.430099487304688,28.435100555419922,28.430099487304688,28.435100555419922,28.435100555419922,261,0.0,0.0,0.0
2023-01-23 09:30:00-05:00,28.440000534057617,28.440000534057617,28.440000534057617,28.440000534057617,28.440000534057617,0,0.0,0.0,0.0
2023-01-23 09:50:00-05:00,28.610000610351562,28.610000610351562,28.610000610351562,28.610000610351562,28.610000610351562,576,0.0,0.0,0.0
2023-01-23 10:40:00-05:00,28.539100646972656,28.539100646972656,28.539100646972656,28.539100646972656,28.539100646972656,414,0.0,0.0,0.0
2023-01-23 11:50:00-05:00,28.58009910583496,28.58009910583496,28.58009910583496,28.58009910583496,28.58009910583496,522,0.0,0.0,0.0
2023-01-23 13:20:00-05:00,28.614999771118164,28.639999389648438,28.614999771118164,28.639999389648438,28.639999389648438,1117,0.0,0.0,0.0
2023-01-23 14:15:00-05:00,28.610000610351562,28.610000610351562,28.600000381469727,28.600500106811523,28.600500106811523,805,0.0,0.0,0.0
2023-01-23 15:00:00-05:00,28.56999969482422,28.56999969482422,28.56999969482422,28.56999969482422,28.56999969482422,200,0.0,0.0,0.0
2023-01-23 15:55:00-05:00,28.549999237060547,28.549999237060547,28.549999237060547,28.549999237060547,28.549999237060547,223,0.0,0.0,0.0
2023-01-24 10:50:00-05:00,28.565000534057617,28.565000534057617,28.565000534057617,28.565000534057617,28.565000534057617,0,0.0,0.0,0.0
2023-01-24 11:10:00-05:00,28.572099685668945,28.579999923706055,28.572099685668945,28.579999923706055,28.579999923706055,1630,0.0,0.0,0.0
