Date,Status,Outer,Previous_ratting,Current_ratting,Previous_price,Current_price
2023-02-15,Initiated,Barclays,Equal Weight,Equal Weight,46,46
2023-01-30,Downgrade,Berenberg,Buy,Hold,45,41
2022-11-10,Downgrade,Wolfe Research,Outperform,Peer Perform,,
2022-10-10,Downgrade,UBS,Buy,Neutral,56,38
2022-07-18,Downgrade,Deutsche Bank,Buy,Hold,,
2022-05-12,Downgrade,Wells Fargo,Overweight,Underweight,74,33
2022-05-10,Initiated,Berenberg,Buy,Buy,55,55
2022-04-11,Initiated,Exane BNP Paribas,Outperform,Outperform,,
2022-02-09,Downgrade,Nomura,Buy,Neutral,66,56
2022-02-08,Downgrade,Morgan Stanley,Overweight,Equal-Weight,75,55
2022-02-02,Reiterated,Wells Fargo,Overweight,Overweight,75,83
2022-02-02,Reiterated,RBC Capital Mkts,Outperform,Outperform,74,85
2022-02-02,Reiterated,Credit Suisse,Outperform,Outperform,78,75
2022-02-02,Reiterated,Citigroup,Buy,Buy,96,100
2021-12-30,Reiterated,Citigroup,Buy,Buy,90,95
2021-12-16,Reiterated,Wells Fargo,Overweight,Overweight,67,74
2021-12-14,Downgrade,Daiwa Securities,Outperform,Neutral,65,65
2021-07-09,Initiated,Wedbush,Outperform,Outperform,85,85
2021-06-22,Reiterated,Barclays,Overweight,Overweight,70,74
2021-05-19,Initiated,Tudor Pickering,Buy,Buy,76,76
2021-04-05,Initiated,Wells Fargo,Overweight,Overweight,67.0,67.0
