Period End Date,Cash and Equivalents,Short Term Investments,Cash and Short Term Investments,"Accounts Receivable - Trade, Net","Total Receivables, Net",Total Inventory,Total Current Assets,"Property, Plant And Equipment - Gross","Property, Plant And Equipment - Net","Goodwill, Net","Intangibles, Net",Long Term Investments,Other Long Term Assets,Total Assets,Accounts Payable,Accrued Expenses,Notes Payable/Short Term Debt,Current Port. of LT Debt/Capital Leases,Other Current liabilities,Total Current Liabilities,Long Term Debt,Capital Lease Obligations,Total Long Term Debt,Total Debt,Other Liabilities,Total Liabilities,Common Stock,Additional Paid-In Capital,Retained Earnings,Unrealized Gain (Loss),Other Equity,Total Equity,Total Liabilities and Equity,Total Common Shares Outstanding,Full-Time Employees,Number of Common Shareholders
12/31/2022,"19,153.00","12,150.00","31,303.00","13,333.00","46,956.00","15,366.00","100,451.00","120,314.00","79,049.00","1,911.00","3,034.00","10,176.00","28,825.00","264,037.00","27,486.00","22,421.00",0.00,"38,778.00","2,488.00","91,173.00","75,921.00",,"75,921.00","114,699.00","24,659.00","196,245.00",14.00,"26,428.00","49,251.00",,"-7,901.00","67,792.00","264,037.00","1,400.00","167,000",472
12/31/2021,"20,067.00","8,609.00","28,676.00","7,394.00","34,043.00","12,988.00","82,103.00","120,924.00","80,144.00","1,914.00","3,173.00","9,677.00","31,540.00","244,718.00","20,391.00","17,836.00",0.00,"33,720.00","2,461.00","74,408.00","75,659.00",,"75,659.00","109,379.00","28,836.00","184,974.00",15.00,"27,061.00","41,937.00",,"-9,269.00","59,744.00","244,718.00","1,500.00","157,000",475
12/31/2020,"19,992.00","9,046.00","29,038.00","8,035.00","34,244.00","10,235.00","80,924.00","116,455.00","78,451.00","1,910.00","3,320.00","8,406.00","30,400.00","235,194.00","19,928.00","19,937.00",0.00,"36,913.00","3,132.00","79,910.00","72,981.00",,"72,981.00","109,894.00","32,626.00","190,164.00",14.00,"26,542.00","31,962.00",,"-13,488.00","45,030.00","235,194.00","1,400.00","155,000",471
12/31/2019,"19,069.00","4,174.00","23,243.00","6,797.00","33,398.00","10,398.00","74,992.00","68,549.00","81,905.00","1,859.00","3,478.00","8,562.00","30,886.00","228,037.00","21,018.00","23,253.00",0.00,"37,400.00","3,234.00","84,905.00","65,924.00",,"65,924.00","103,324.00","31,251.00","186,245.00",14.00,"26,074.00","26,860.00",,"-11,156.00","41,792.00","228,037.00","1,400.00","164,000",488
12/31/2018,"20,844.00","5,966.00","26,810.00","6,549.00","33,399.00","9,816.00","75,293.00","65,483.00","82,317.00","1,861.00","3,718.00","9,215.00","29,852.00","227,339.00","22,297.00","24,140.00",0.00,"31,891.00","3,909.00","82,237.00","73,060.00",,"73,060.00","104,951.00","29,265.00","188,479.00",14.00,"25,563.00","22,322.00",,"-9,039.00","38,860.00","227,339.00","1,400.00","173,000",501
12/31/2017,"15,512.00","8,313.00","23,825.00","8,164.00","28,685.00","10,663.00","68,744.00","60,334.00","79,135.00","1,857.00","3,992.00","9,073.00","28,473.00","212,482.00","23,929.00","20,483.00",0.00,"26,965.00","5,513.00","76,890.00","67,254.00",,"67,254.00","94,219.00","32,138.00","177,481.00",14.00,"25,371.00","17,627.00",,"-8,011.00","35,001.00","212,482.00","1,400.00","180,000",511
12/31/2016,"12,574.00","11,841.00","24,415.00","8,700.00","24,827.00","11,040.00","76,203.00","53,269.00","66,945.00","1,856.00","4,293.00","8,996.00","46,396.00","221,690.00","23,333.00","21,175.00",0.00,"23,797.00","16,876.00","85,181.00","51,326.00",,"51,326.00","75,123.00","41,108.00","177,854.00",15.00,"26,983.00","26,168.00",,"-9,330.00","43,836.00","221,690.00","1,500.00","225,000",591
12/31/2015,"15,238.00","8,163.00","23,401.00","8,337.00","26,388.00","13,764.00","69,408.00","63,750.00","51,401.00","1,371.00","4,576.00","9,201.00","39,881.00","194,338.00","24,062.00","16,828.00",0.00,"19,562.00","10,765.00","71,217.00","43,549.00",,"43,549.00","63,111.00","39,249.00","154,467.00",15.00,"27,607.00","20,285.00",,"-8,036.00","39,871.00","194,338.00","1,500.00","215,000",447
