Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,SEC Form 4 Link,Insider_id
Carlisle Stephen K.,Executive Vice President,Feb 02,Sale,41.97,18000.0,755460.0,46170.0,Feb 06 05:09 PM,http://www.sec.gov/Archives/edgar/data/1467858/000146785823000031/xslF345X03/wf-form4_167572132646940.xml,1817794
Jacobson Paul A,Executive Vice President & CFO,Dec 01,Option Exercise,0.0,27977.0,0.0,137977.0,Dec 05 06:52 PM,http://www.sec.gov/Archives/edgar/data/1467858/000146785822000118/xslF345X03/wf-form4_167028434809454.xml,1543655
Johnson Gerald,Executive Vice President,Oct 01,Option Exercise,0.0,65833.0,0.0,126551.0,Oct 04 05:10 PM,http://www.sec.gov/Archives/edgar/data/1467858/000146785822000106/xslF345X03/wf-form4_166491782611700.xml,1772226
Glidden Craig B.,Executive Vice President & GC,Oct 01,Option Exercise,0.0,32917.0,0.0,214677.0,Oct 04 05:11 PM,http://www.sec.gov/Archives/edgar/data/1467858/000146785822000107/xslF345X03/wf-form4_166491784813017.xml,1500309
Blissett Julian G.,Executive Vice President,Oct 01,Option Exercise,0.0,16459.0,0.0,52112.0,Oct 04 05:11 PM,http://www.sec.gov/Archives/edgar/data/1467858/000146785822000108/xslF345X03/wf-form4_166491786808696.xml,1810440
Carlisle Stephen K.,Executive Vice President,Apr 29,Sale,39.04,25645.0,1001181.0,64170.0,May 03 05:10 PM,http://www.sec.gov/Archives/edgar/data/1467858/000146785822000082/xslF345X03/wf-form4_165161222290913.xml,1817794
Jacobson Paul A,Executive Vice President & CFO,Apr 28,Buy,38.79,35000.0,1357650.0,110000.0,May 02 05:05 PM,http://www.sec.gov/Archives/edgar/data/1467858/000146785822000080/xslF345X03/wf-form4_165152548755283.xml,1543655
Blissett Julian G.,Executive Vice President,Feb 16,Sale,50.04,21742.0,1087970.0,35653.0,Feb 18 05:12 PM,http://www.sec.gov/Archives/edgar/data/1467858/000146785822000072/xslF345X03/wf-form4_164522234630556.xml,1810440
Carlisle Stephen K.,Executive Vice President,Feb 02,Sale,41.97,18000.0,755460.0,46170.0,Feb 06 05:09 PM,http://www.sec.gov/Archives/edgar/data/1467858/000146785823000031/xslF345X03/wf-form4_167572132646940.xml,1817794
Jacobson Paul A,Executive Vice President & CFO,Dec 01,Option Exercise,0.0,27977.0,0.0,137977.0,Dec 05 06:52 PM,http://www.sec.gov/Archives/edgar/data/1467858/000146785822000118/xslF345X03/wf-form4_167028434809454.xml,1543655
Johnson Gerald,Executive Vice President,Oct 01,Option Exercise,0.0,65833.0,0.0,126551.0,Oct 04 05:10 PM,http://www.sec.gov/Archives/edgar/data/1467858/000146785822000106/xslF345X03/wf-form4_166491782611700.xml,1772226
Glidden Craig B.,Executive Vice President & GC,Oct 01,Option Exercise,0.0,32917.0,0.0,214677.0,Oct 04 05:11 PM,http://www.sec.gov/Archives/edgar/data/1467858/000146785822000107/xslF345X03/wf-form4_166491784813017.xml,1500309
Blissett Julian G.,Executive Vice President,Oct 01,Option Exercise,0.0,16459.0,0.0,52112.0,Oct 04 05:11 PM,http://www.sec.gov/Archives/edgar/data/1467858/000146785822000108/xslF345X03/wf-form4_166491786808696.xml,1810440
Carlisle Stephen K.,Executive Vice President,Apr 29,Sale,39.04,25645.0,1001181.0,64170.0,May 03 05:10 PM,http://www.sec.gov/Archives/edgar/data/1467858/000146785822000082/xslF345X03/wf-form4_165161222290913.xml,1817794
Jacobson Paul A,Executive Vice President & CFO,Apr 28,Buy,38.79,35000.0,1357650.0,110000.0,May 02 05:05 PM,http://www.sec.gov/Archives/edgar/data/1467858/000146785822000080/xslF345X03/wf-form4_165152548755283.xml,1543655
Blissett Julian G.,Executive Vice President,Feb 16,Sale,50.04,21742.0,1087970.0,35653.0,Feb 18 05:12 PM,http://www.sec.gov/Archives/edgar/data/1467858/000146785822000072/xslF345X03/wf-form4_164522234630556.xml,1810440
