Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,SEC Form 4 Link,Insider_id
Lewnes Ann,"EVP, CMO, Corp Strategy & Dev",Feb 02,Sale,400.0,2599.0,1039600.0,26977.0,Feb 03 04:39 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634323000031/xslF345X03/wf-form4_167546034134151.xml,1597445
Belsky Scott,"EVP, CPO, Creative Cloud",Jan 25,Sale,355.42,2906.0,1032851.0,26475.0,Jan 26 04:59 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634323000015/xslF345X03/wf-form4_167477037936207.xml,1674730
Garfield Mark S.,SVP & CAO,Jan 25,Sale,355.42,209.0,74283.0,3479.0,Jan 26 05:01 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634323000022/xslF345X03/wf-form4_167477049280530.xml,1602315
Belsky Scott,"EVP, CPO, Creative Cloud",Jan 24,Option Exercise,0.0,10653.0,0.0,30721.0,Jan 26 04:59 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634323000015/xslF345X03/wf-form4_167477037936207.xml,1674730
Chakravarthy Anil,"President, DX",Jan 24,Option Exercise,0.0,12107.0,0.0,27999.0,Jan 26 04:59 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634323000016/xslF345X03/wf-form4_167477038289585.xml,1584805
NARAYEN SHANTANU,Chairman and CEO,Jan 24,Option Exercise,0.0,51972.0,0.0,450180.0,Jan 26 05:04 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634323000027/xslF345X03/wf-form4_167477064527458.xml,1224154
Garfield Mark S.,SVP & CAO,Jan 24,Option Exercise,0.0,864.0,0.0,3868.0,Jan 26 05:01 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634323000022/xslF345X03/wf-form4_167477049280530.xml,1602315
Lewnes Ann,"EVP, CMO, Corp Strategy & Dev",Jan 24,Option Exercise,0.0,8718.0,0.0,30417.0,Jan 26 05:02 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634323000023/xslF345X03/wf-form4_167477050482649.xml,1597445
Chen Gloria,"EVP, Chief People Officer",Jan 24,Option Exercise,0.0,5851.0,0.0,22934.0,Jan 26 05:00 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634323000017/xslF345X03/wf-form4_167477039135083.xml,1795424
Wadhwani David,"President, Digital Media",Jan 24,Option Exercise,0.0,2424.0,0.0,8523.0,Jan 26 05:04 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634323000029/xslF345X03/wf-form4_167477065610864.xml,1494665
Rao Dana,"EVP, Gen. Counsel & Secretary",Jan 24,Option Exercise,0.0,7573.0,0.0,19892.0,Jan 26 05:04 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634323000028/xslF345X03/wf-form4_167477065014826.xml,1744048
Durn Daniel,EVP & CFO,Jan 24,Option Exercise,0.0,2424.0,0.0,13201.0,Jan 26 05:01 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634323000021/xslF345X03/wf-form4_167477048672272.xml,1610062
NARAYEN SHANTANU,Chairman and CEO,Jan 20,Sale,346.61,15000.0,5199152.0,408866.0,Jan 23 06:29 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634323000009/xslF345X03/wf-form4_167451655599820.xml,1224154
WARNOCK JOHN E,Director,Jan 12,Sale,341.91,3000.0,1025719.0,380465.0,Jan 12 06:04 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634323000004/xslF345X03/wf-form4_167356464731062.xml,1032856
Chakravarthy Anil,"President, DX",Jan 09,Option Exercise,0.0,11019.0,0.0,24405.0,Jan 10 04:33 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634323000002/xslF345X03/wf-form4_167338636267058.xml,1584805
Rao Dana,"EVP, Gen. Counsel & Secretary",Dec 20,Sale,336.93,5018.0,1690715.0,14832.0,Dec 20 04:55 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634322000233/xslF345X03/wf-form4_167157331673609.xml,1744048
Garfield Mark S.,SVP & CAO,Dec 19,Sale,338.0,132.0,44616.0,3271.0,Dec 20 04:55 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634322000232/xslF345X03/wf-form4_167157330614443.xml,1602315
Garfield Mark S.,SVP & CAO,Dec 15,Option Exercise,0.0,521.0,0.0,3630.0,Dec 15 07:39 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634322000229/xslF345X03/wf-form4_167115114976258.xml,1602315
Wadhwani David,"President, Digital Media",Dec 14,Option Exercise,0.0,1933.0,0.0,7057.0,Dec 15 07:39 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634322000228/xslF345X03/wf-form4_167115112208190.xml,1494665
Garfield Mark S.,SVP & CAO,Dec 06,Sale,334.09,474.0,158359.0,3139.0,Dec 06 04:35 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634322000223/xslF345X03/wf-form4_167036251772241.xml,1602315
Garfield Mark S.,SVP & CAO,Dec 03,Option Exercise,0.0,1878.0,0.0,4544.0,Dec 06 04:35 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634322000223/xslF345X03/wf-form4_167036251772241.xml,1602315
Chen Gloria,"EVP, Chief People Officer",Nov 30,Option Exercise,0.0,224.0,0.0,18856.0,Dec 01 07:01 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634322000221/xslF345X03/wf-form4_166993928045893.xml,1795424
Durn Daniel,EVP & CFO,Nov 15,Option Exercise,0.0,3837.0,0.0,12785.0,Nov 16 05:19 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634322000218/xslF345X03/wf-form4_166863714852408.xml,1610062
WARNOCK JOHN E,Director,Oct 25,Sale,319.6,17000.0,5433254.0,383465.0,Oct 26 05:49 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634322000216/xslF345X03/wf-form4_166682095697960.xml,1032856
Belsky Scott,"EVP, CPO, Creative Cloud",Oct 25,Sale,319.12,2711.0,865134.0,24217.0,Oct 26 05:47 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634322000209/xslF345X03/wf-form4_166682080511887.xml,1674730
Chen Gloria,"EVP, Chief People Officer",Oct 24,Option Exercise,0.0,975.0,0.0,18831.0,Oct 26 05:47 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634322000211/xslF345X03/wf-form4_166682084469289.xml,1795424
Garfield Mark S.,"SVP, CAO & Corp. Controller",Oct 24,Option Exercise,0.0,136.0,0.0,2715.0,Oct 26 05:48 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634322000212/xslF345X03/wf-form4_166682085632567.xml,1602315
Lewnes Ann,"EVP, CMO, Corp Strategy & Dev",Oct 24,Option Exercise,0.0,1571.0,0.0,24989.0,Oct 26 05:48 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634322000213/xslF345X03/wf-form4_166682091241945.xml,1597445
NARAYEN SHANTANU,Chairman and CEO,Oct 24,Option Exercise,0.0,5642.0,0.0,424514.0,Oct 26 05:48 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634322000214/xslF345X03/wf-form4_166682091848694.xml,1224154
Rao Dana,"EVP, Gen. Counsel & Secretary",Oct 24,Option Exercise,0.0,1334.0,0.0,20032.0,Oct 26 05:49 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634322000215/xslF345X03/wf-form4_166682095089306.xml,1744048
Belsky Scott,"EVP, CPO, Creative Cloud",Oct 24,Option Exercise,0.0,1873.0,0.0,27187.0,Oct 26 05:47 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634322000209/xslF345X03/wf-form4_166682080511887.xml,1674730
Chakravarthy Anil,"President, DX",Oct 24,Option Exercise,0.0,603.0,0.0,13684.0,Oct 26 05:47 PM,http://www.sec.gov/Archives/edgar/data/796343/000079634322000210/xslF345X03/wf-form4_166682081146339.xml,1584805
