fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2022-09-01,USD,15181000000,None,None,None,None,7116000000,12067000000,-190000000,2179000000,8687000000,-11585000000,-2980000000,None,2432000000,None,None,461000000,461000000,None,None,None,None,-2432000000,None,616000000,None,8687000000,annual
2021-09-02,USD,12468000000,192000000,None,210000000,580000000,6214000000,10030000000,1446000000,-866000000,5861000000,-10589000000,-1781000000,None,1200000000,1200000000,None,461000000,0,None,None,1188000000,None,-1200000000,None,98000000,None,5861000000,annual
2020-09-03,USD,8306000000,189000000,None,725000000,1079000000,5650000000,8223000000,723000000,435000000,2710000000,-7589000000,-317000000,None,176000000,251000000,None,461000000,0,None,None,5000000000,None,-251000000,None,400000000,None,2687000000,annual
2019-08-29,USD,13189000000,53000000,None,-174000000,-1053000000,5424000000,9780000000,-2431000000,1489000000,6358000000,-10085000000,-2438000000,None,2729000000,2729000000,None,461000000,461000000,None,None,3550000000,None,-2550000000,None,666000000,None,6313000000,annual
2018-08-30,USD,17400000000,312000000,None,549000000,2471000000,4759000000,8879000000,1734000000,472000000,14138000000,-8216000000,-7776000000,None,71000000,71000000,None,None,None,None,1360000000,1009000000,None,1655000000,None,1408000000,None,14135000000,annual
2021-12-02,USD,3938000000,32000000,None,-42000000,277000000,1671000000,3265000000,-67000000,344000000,-83000000,-2485000000,-513000000,None,259000000,259000000,None,112000000,112000000,None,None,2000000000,None,-259000000,None,-195000000,None,2306000000,quarterly
2021-09-02,USD,3884000000,96000000,None,519000000,1054000000,1621000000,2015000000,1106000000,-52000000,2720000000,-2534000000,-1344000000,None,1050000000,1050000000,None,112000000,0,None,None,0,None,-1050000000,None,6000000,None,2720000000,quarterly
2021-06-03,USD,3560000000,32000000,None,468000000,688000000,1557000000,2259000000,873000000,-185000000,1735000000,-2081000000,-228000000,None,150000000,150000000,None,112000000,0,None,None,1188000000,None,0,None,1735000000,None,1735000000,quarterly
2021-03-04,USD,3057000000,31000000,None,-24000000,-805000000,1549000000,3018000000,-282000000,-499000000,603000000,-2556000000,5000000,None,0,0,None,112000000,0,None,None,0,None,None,None,603000000,None,603000000,quarterly
2020-12-03,USD,1967000000,33000000,None,-753000000,-357000000,1487000000,2738000000,-251000000,-130000000,803000000,-3418000000,-214000000,None,0,0,None,None,0,None,None,0,None,None,None,-1665000000,None,803000000,quarterly
2020-09-03,USD,2271000000,171000000,None,25000000,358000000,1567000000,2280000000,262000000,187000000,990000000,-2738000000,-182000000,None,-27000000,48000000,None,None,None,None,None,0,None,-48000000,None,-649000000,None,988000000,quarterly
2020-05-28,USD,2023000000,6000000,None,443000000,773000000,1422000000,1944000000,565000000,179000000,805000000,-1952000000,1072000000,None,44000000,44000000,None,None,None,None,None,3750000000,None,-44000000,None,805000000,None,803000000,quarterly
2020-02-27,USD,2001000000,-11000000,None,79000000,-66000000,1365000000,2056000000,-312000000,244000000,407000000,-1710000000,-215000000,None,70000000,70000000,None,None,None,None,None,0,None,-70000000,None,407000000,None,405000000,quarterly
2019-11-28,USD,2011000000,23000000,None,178000000,14000000,1296000000,1943000000,208000000,-175000000,508000000,-1189000000,-992000000,None,89000000,89000000,None,None,None,None,None,1250000000,None,-89000000,None,-170000000,None,491000000,quarterly
