Date,Status,Outer,Previous_rating,Current_rating,Previous_price,Current_price
2023-01-18,Initiated,DA Davidson,Neutral,Neutral,85.0,85.0
2023-01-11,Initiated,Mizuho,Buy,Buy,116.0,116.0
2023-01-09,Upgrade,Piper Sandler,Neutral,Overweight,85.0,104.0
2023-01-05,Upgrade,Jefferies,Hold,Buy,90.0,105.0
2022-10-21,Upgrade,KeyBanc Capital Markets,Sector Weight,Overweight,80.0,80.0
2022-10-20,Upgrade,Piper Sandler,Underweight,Neutral,70.0,70.0
2022-09-14,Initiated,Berenberg,Hold,Hold,72.0,72.0
2022-08-12,Initiated,Guggenheim,Buy,Buy,107.0,107.0
2022-06-29,Upgrade,Exane BNP Paribas,Neutral,Outperform,90.0,90.0
2022-06-27,Resumed,Goldman,Sell,Sell,75.0,75.0
2022-06-14,Reiterated,Monness Crespi & Hardt,Buy,Buy,126.0,113.0
2022-04-01,Initiated,Daiwa Securities,Neutral,Neutral,87.0,87.0
2022-03-29,Downgrade,Exane BNP Paribas,Neutral,Underperform,79.0,79.0
2022-03-11,Upgrade,Societe Generale,Hold,Buy,,
2022-03-11,Downgrade,Piper Sandler,Neutral,Underweight,100.0,70.0
2021-12-21,Downgrade,KeyBanc Capital Markets,Overweight,Sector Weight,,
2021-12-15,Upgrade,DZ Bank,Sell,Hold,105.0,105.0
2021-12-10,Upgrade,Deutsche Bank,Hold,Buy,110.0,120.0
2021-12-10,Reiterated,Wolfe Research,Peer Perform,Peer Perform,80.0,95.0
2021-12-10,Reiterated,UBS,Neutral,Neutral,86.0,94.0
