Period End Date,Period Length,Net Income,Depreciation/Depletion,Amortization,Deferred Taxes,Non-Cash Items,Changes in Working Capital,Cash from Operating Activities,Capital Expenditures,Other Investing Cash Flow Items,Cash from Investing Activities,Financing Cash Flow Items,Total Cash Dividends Paid,Issuance (Retirement) of Stock,Issuance (Retirement) of Debt,Cash from Financing Activities,Foreign Exchange Effects,Net Cash - Beginning Balance,Net Cash - Ending Balance,Net Change in Cash,Cash Interest Paid,Cash Taxes Paid
TTM,12 Months,"-2,152.00","7,642.00",,"-1,910.00","9,888.00","-6,615.00","6,853.00","-6,866.00","2,519.00","-4,347.00",-271.00,"-2,009.00",-484.00,"5,275.00","2,511.00",-414.00,,,"4,603.00",,
12/31/2022,12 Months,"-2,152.00","7,642.00",,"-1,910.00","9,888.00","-6,615.00","6,853.00","-6,866.00","2,519.00","-4,347.00",-271.00,"-2,009.00",-484.00,"5,275.00","2,511.00",-414.00,"20,737.00","25,340.00","4,603.00",,
12/31/2021,12 Months,"17,910.00","7,318.00",,-563.00,"-13,345.00","4,467.00","15,787.00","-6,227.00","8,972.00","2,745.00",-105.00,-403.00,0.00,"-22,990.00","-23,498.00",-232.00,"25,935.00","20,737.00","-5,198.00","4,700.00",568.00
12/31/2020,12 Months,"-1,276.00","8,751.00",,-269.00,"-1,693.00","18,756.00","24,269.00","-5,742.00","-12,873.00","-18,615.00",-184.00,-596.00,0.00,"3,095.00","2,315.00",225.00,"17,741.00","25,935.00","8,194.00","4,800.00",421.00
12/31/2019,12 Months,84.00,"9,689.00",,"-1,370.00","2,991.00","6,245.00","17,639.00","-7,632.00","-6,089.00","-13,721.00",-226.00,"-2,389.00",-237.00,-277.00,"-3,129.00",45.00,"16,907.00","17,741.00",834.00,"5,100.00",599.00
12/31/2018,12 Months,"3,695.00","9,280.00",,-197.00,"-1,487.00","3,731.00","15,022.00","-7,785.00","-8,476.00","-16,261.00",-192.00,"-2,905.00",-164.00,"3,139.00",-122.00,-370.00,"18,638.00","16,907.00","-1,731.00",,740.00
12/31/2017,12 Months,"7,757.00","9,122.00",,-350.00,"-1,320.00","2,887.00","18,096.00","-7,049.00","-12,311.00","-19,360.00",-151.00,"-2,584.00",-131.00,"6,260.00","3,394.00",489.00,"16,019.00","18,638.00","2,619.00",,585.00
12/31/2016,12 Months,"4,600.00","9,023.00",,"1,473.00","1,760.00","2,994.00","19,850.00","-6,992.00","-18,310.00","-25,302.00",-107.00,"-3,376.00",-145.00,"11,028.00","7,400.00",-265.00,"14,336.00","16,019.00","1,683.00",,467.00
