Period End Date,Cash and Equivalents,Short Term Investments,Cash and Short Term Investments,"Accounts Receivable - Trade, Net","Total Receivables, Net",Total Inventory,Total Current Assets,"Property, Plant And Equipment - Gross","Property, Plant And Equipment - Net","Goodwill, Net","Intangibles, Net",Long Term Investments,Other Long Term Assets,Total Assets,Accounts Payable,Accrued Expenses,Notes Payable/Short Term Debt,Current Port. of LT Debt/Capital Leases,Other Current liabilities,Total Current Liabilities,Long Term Debt,Capital Lease Obligations,Total Long Term Debt,Total Debt,Other Liabilities,Total Liabilities,Common Stock,Additional Paid-In Capital,Retained Earnings,Unrealized Gain (Loss),Other Equity,Total Equity,Total Liabilities and Equity,Total Common Shares Outstanding,Full-Time Employees,Number of Common Shareholders
12/31/2022,"11,144.00","17,194.00","28,338.00","4,133.00","4,133.00","13,224.00","50,407.00","174,246.00","80,860.00","27,591.00","6,018.00","5,912.00","11,315.00","182,103.00","9,595.00","15,942.00",0.00,"4,367.00","2,251.00","32,155.00","37,684.00",,"37,684.00","42,051.00","8,776.00","80,680.00",4.13,"31,575.87","70,405.00",,-562.00,"101,423.00","182,103.00","4,137.00",,
10/1/2022,"4,529.00","18,030.00","22,559.00","7,469.00","7,469.00","12,831.00","49,263.00","167,180.00","75,763.00","27,591.00","6,268.00","5,822.00","10,134.00","174,841.00","7,133.00","18,397.00",0.00,"2,283.00",,"27,813.00","37,240.00",,"37,240.00","39,523.00","9,542.00","74,956.00",4.13,"30,907.87","71,024.00",,"-2,051.00","99,885.00","174,841.00","4,127.00",,
7/2/2022,"4,390.00","22,654.00","27,044.00","6,063.00","6,063.00","12,174.00","50,588.00","160,823.00","71,660.00","27,587.00","6,427.00","5,929.00","8,227.00","170,418.00","7,945.00","16,391.00",0.00,"2,882.00",,"27,218.00","32,548.00",,"32,548.00","35,430.00","8,862.00","69,200.00",4.11,"29,853.89","72,985.00",,"-1,625.00","101,218.00","170,418.00","4,106.00",,
4/2/2022,"6,215.00","32,481.00","38,696.00","7,074.00","7,074.00","11,935.00","62,568.00","153,814.00","66,718.00","27,011.00","6,813.00","6,036.00","7,210.00","176,356.00","7,210.00","17,653.00",0.00,"4,459.00",,"29,322.00","32,788.00",,"32,788.00","37,247.00","9,563.00","73,220.00",4.09,"29,239.91","74,894.00",,"-1,002.00","103,136.00","176,356.00","4,089.00",,
12/25/2021,"4,827.00","24,426.00","29,253.00","9,457.00","9,457.00","10,776.00","58,558.00","148,539.00","63,245.00","26,963.00","7,270.00","6,298.00","6,072.00","168,406.00","5,747.00","17,124.00",0.00,"4,591.00",,"27,462.00","33,510.00",,"33,510.00","38,101.00","9,376.00","73,015.00",4.07,"28,001.93","68,265.00",,-880.00,"95,391.00","168,406.00","4,070.00",,
9/25/2021,"7,870.00","26,765.00","34,635.00","8,400.00","8,400.00","9,798.00","61,304.00","143,157.00","59,733.00","26,786.00","7,684.00","7,003.00","5,452.00","167,962.00","6,792.00","18,086.00",0.00,"4,694.00",,"29,572.00","35,610.00",,"35,610.00","40,304.00","9,674.00","77,875.00",4.07,"27,587.93","63,642.00",,"-1,147.00","90,087.00","167,962.00","4,067.00",,
6/26/2021,"4,746.00","20,111.00","24,857.00","7,460.00","7,460.00","8,817.00","49,372.00","139,724.00","58,166.00","26,768.00","8,018.00","6,917.00","5,356.00","154,597.00","5,917.00","15,224.00",0.00,"3,695.00",,"24,836.00","31,714.00",,"31,714.00","35,409.00","9,569.00","69,390.00",4.06,"26,650.94","59,647.00",,"-1,095.00","85,207.00","154,597.00","4,057.00",,
3/27/2021,"5,192.00","17,205.00","22,397.00","7,208.00","7,208.00","8,487.00","45,773.00","137,108.00","57,330.00","26,971.00","8,408.00","6,813.00","5,327.00","150,622.00","5,434.00","16,070.00",0.00,"2,647.00",,"24,151.00","33,237.00",,"33,237.00","35,884.00","10,017.00","70,815.00",4.04,"26,267.96","54,638.00",,"-1,103.00","79,807.00","150,622.00","4,038.00",,
