Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,SEC Form 4 Link,Insider_id
GELSINGER PATRICK P,CEO,Jan 31,Buy,27.83,9000.0,250449.0,9000.0,Feb 02 04:22 PM,http://www.sec.gov/Archives/edgar/data/50863/000112760223003112/xslF345X03/form4.xml,1316331
Zinsner David,"EVP, CFO",Jan 31,Buy,27.75,7250.0,201188.0,71339.0,Feb 02 04:31 PM,http://www.sec.gov/Archives/edgar/data/50863/000112760223003117/xslF345X03/form4.xml,1330891
Zinsner David,"EVP, CFO",Jan 30,Buy,27.89,1800.0,50202.0,17450.0,Feb 02 04:31 PM,http://www.sec.gov/Archives/edgar/data/50863/000112760223003117/xslF345X03/form4.xml,1330891
TAN LIP BU,Director,Nov 16,Buy,29.49,50000.0,1474365.0,100000.0,Nov 18 04:14 PM,http://www.sec.gov/Archives/edgar/data/50863/000112760222026033/xslF345X03/form4.xml,1008463
TAN LIP BU,Director,Nov 08,Buy,27.98,48146.0,1346966.0,50500.0,Nov 09 04:40 PM,http://www.sec.gov/Archives/edgar/data/50863/000112760222025194/xslF345X03/form4.xml,1008463
TAN LIP BU,Director,Nov 04,Buy,27.49,1854.0,50975.0,2354.0,Nov 08 04:55 PM,http://www.sec.gov/Archives/edgar/data/50863/000112760222025115/xslF345X03/form4.xml,1008463
GELSINGER PATRICK P,CEO,Oct 31,Buy,28.16,8830.0,248647.0,96049.0,Nov 02 07:00 PM,http://www.sec.gov/Archives/edgar/data/50863/000112760222024801/xslF345X03/form4.xml,1316331
GELSINGER PATRICK P,CEO,Aug 24,Buy,33.86,14800.0,501153.0,77216.0,Aug 25 04:53 PM,http://www.sec.gov/Archives/edgar/data/50863/000112760222021601/xslF345X03/form4.xml,1316331
Zinsner David,"EVP, CFO",May 03,Buy,44.73,5500.0,246014.0,8803.0,May 03 09:58 PM,http://www.sec.gov/Archives/edgar/data/50863/000112760222013141/xslF345X03/form4.xml,1330891
GELSINGER PATRICK P,CEO,May 02,Buy,44.58,5500.0,245184.0,16983.0,May 03 09:46 PM,http://www.sec.gov/Archives/edgar/data/50863/000112760222013137/xslF345X03/form4.xml,1316331
ISHRAK OMAR,Director,Feb 22,Buy,45.11,11025.0,497323.0,46224.0,Feb 24 04:25 PM,http://www.sec.gov/Archives/edgar/data/50863/000112760222006568/xslF345X03/form4.xml,1523102
GELSINGER PATRICK P,CEO,Feb 22,Buy,44.27,5600.0,247891.0,268947.0,Feb 24 04:23 PM,http://www.sec.gov/Archives/edgar/data/50863/000112760222006567/xslF345X03/form4.xml,1316331
