Period End Date,Period Length,Net Income,Depreciation/Depletion,Amortization,Deferred Taxes,Non-Cash Items,Changes in Working Capital,Cash from Operating Activities,Capital Expenditures,Other Investing Cash Flow Items,Cash from Investing Activities,Financing Cash Flow Items,Total Cash Dividends Paid,Issuance (Retirement) of Stock,Issuance (Retirement) of Debt,Cash from Financing Activities,Foreign Exchange Effects,Net Cash - Beginning Balance,Net Cash - Ending Balance,Net Change in Cash,Cash Interest Paid,Cash Taxes Paid
TTM,12 Months,"8,017.00","11,128.00","1,907.00",,"-1,111.00","-4,508.00","15,433.00","-25,050.00","14,573.00","-10,477.00","1,217.00","-5,997.00",977.00,"5,164.00","1,361.00",,,,"6,317.00",459.00,"4,282.00"
12/31/2022,52 Weeks,"8,017.00","11,128.00","1,907.00",,"-1,111.00","-4,508.00","15,433.00","-25,050.00","14,573.00","-10,477.00","1,217.00","-5,997.00",977.00,"5,164.00","1,361.00",,"4,827.00","11,144.00","6,317.00",459.00,"4,282.00"
12/25/2021,52 Weeks,"19,868.00","9,953.00","1,839.00",,"3,204.00","-4,873.00","29,991.00","-20,329.00","-4,838.00","-25,167.00","-1,297.00","-5,644.00","-1,395.00","2,474.00","-5,862.00",,"5,865.00","4,827.00","-1,038.00",545.00,"2,263.00"
12/26/2020,52 Weeks,"20,899.00","10,482.00","1,757.00",,67.00,"2,179.00","35,384.00","-14,453.00","-6,343.00","-20,796.00",261.00,"-5,568.00","-13,332.00","5,722.00","-12,917.00",,"4,194.00","5,865.00","1,671.00",594.00,"2,436.00"
12/28/2019,52 Weeks,"21,048.00","9,204.00","1,622.00",,123.00,"1,148.00","33,145.00","-16,213.00","1,808.00","-14,405.00",72.00,"-5,576.00","-12,826.00",765.00,"-17,565.00",,"3,019.00","4,194.00","1,175.00",469.00,"2,110.00"
12/29/2018,52 Weeks,"21,053.00","7,520.00","1,565.00","-1,749.00","1,464.00",-421.00,"29,432.00","-15,181.00","3,942.00","-11,239.00",-748.00,"-5,541.00","-10,175.00","-2,143.00","-18,607.00",,"3,433.00","3,019.00",-414.00,448.00,"3,813.00"
12/30/2017,52 Weeks,"9,601.00","6,752.00","1,377.00","1,548.00",-752.00,"3,584.00","22,110.00","-11,778.00","-3,984.00","-15,762.00",-194.00,"-5,072.00","-2,845.00",-364.00,"-8,475.00",,"5,560.00","3,433.00","-2,127.00",624.00,"3,824.00"
12/31/2016,53 Weeks,"10,316.00","6,266.00","1,524.00",257.00,"2,777.00",668.00,"21,808.00","-9,625.00","-16,192.00","-25,817.00",-554.00,"-4,925.00","-1,479.00","1,219.00","-5,739.00",0.00,"15,308.00","5,560.00","-9,748.00",682.00,877.00
