Date,Status,Outer,Previous_rating,Current_rating,Previous_price,Current_price
2023-02-01,Downgrade,Craig Hallum,Buy,Hold,76,76
2023-01-30,Reiterated,Susquehanna,Positive,Positive,80,88
2023-01-24,Downgrade,Bernstein,Outperform,Mkt Perform,95,80
2023-01-23,Upgrade,Barclays,Equal Weight,Overweight,70,85
2022-11-16,Resumed,Credit Suisse,Outperform,Outperform,90,90
2022-11-14,Upgrade,UBS,Neutral,Buy,75,95
2022-11-14,Upgrade,Robert W. Baird,Neutral,Outperform,65,100
2022-10-31,Downgrade,Northland Capital,Outperform,Market Perform,80,60
2022-10-24,Initiated,HSBC Securities,Hold,Hold,60,60
2022-10-07,Reiterated,Wells Fargo,Overweight,Overweight,90,85
2022-10-07,Reiterated,Truist,Hold,Hold,107,70
2022-10-07,Reiterated,The Benchmark Company,Buy,Buy,135,95
2022-10-07,Reiterated,Stifel,Buy,Buy,122,100
2022-10-07,Reiterated,Robert W. Baird,Neutral,Neutral,100,65
2022-10-07,Reiterated,Raymond James,Strong Buy,Strong Buy,130,100
2022-10-07,Reiterated,Piper Sandler,Overweight,Overweight,140,90
2022-10-07,Reiterated,Morgan Stanley,Overweight,Overweight,95,86
2022-10-07,Reiterated,Mizuho,Buy,Buy,125,102
2022-10-07,Reiterated,KeyBanc Capital Markets,Overweight,Overweight,130,100
2022-10-07,Reiterated,JP Morgan,Neutral,Neutral,120,80
