Period End Date,Cash and Equivalents,Short Term Investments,Cash and Short Term Investments,"Accounts Receivable - Trade, Net","Total Receivables, Net",Total Inventory,Total Current Assets,"Property, Plant And Equipment - Gross","Property, Plant And Equipment - Net","Goodwill, Net","Intangibles, Net",Long Term Investments,Other Long Term Assets,Total Assets,Accounts Payable,Accrued Expenses,Notes Payable/Short Term Debt,Current Port. of LT Debt/Capital Leases,Other Current liabilities,Total Current Liabilities,Long Term Debt,Capital Lease Obligations,Total Long Term Debt,Total Debt,Other Liabilities,Total Liabilities,Common Stock,Additional Paid-In Capital,Retained Earnings,Unrealized Gain (Loss),Other Equity,Total Equity,Total Liabilities and Equity,Total Common Shares Outstanding,Full-Time Employees,Number of Common Shareholders
12/31/2022,"4,835.00","1,020.00","5,855.00","4,126.00","4,126.00","3,771.00","15,019.00",,"1,973.00","24,177.00","24,118.00",83.00,"2,210.00","67,580.00","2,956.00","3,077.00",,0.00,336.00,"6,369.00","2,467.00",,"2,467.00","2,467.00","2,060.00","12,830.00",16.00,"58,005.00",-131.00,,-41.00,"54,750.00","67,580.00","1,612.36",,
12/25/2021,"2,535.00","1,073.00","3,608.00","2,706.00","2,706.00","1,955.00","8,583.00","2,203.00","1,069.00",289.00,"1,244.00",69.00,"1,165.00","12,419.00","1,406.00","1,562.00",0.00,312.00,960.00,"4,240.00",1.00,,1.00,313.00,669.00,"4,922.00",12.00,"11,069.00","-1,451.00",,-3.00,"7,497.00","12,419.00","1,207.00","15,500","4,492"
12/26/2020,"1,595.00",695.00,"2,290.00","2,066.00","2,066.00","1,399.00","6,143.00","1,761.00",849.00,289.00,229.00,63.00,"1,389.00","8,962.00",546.00,998.00,0.00,,873.00,"2,417.00",330.00,,330.00,330.00,367.00,"3,125.00",12.00,"10,544.00","-4,605.00",,17.00,"5,837.00","8,962.00","1,211.00","12,600","4,155"
12/28/2019,"1,466.00",37.00,"1,503.00","1,859.00","1,859.00",982.00,"4,597.00","1,473.00",705.00,289.00,210.00,58.00,169.00,"6,028.00","1,201.00",673.00,0.00,0.00,485.00,"2,359.00",486.00,,486.00,486.00,345.00,"3,201.00",12.00,"9,963.00","-7,095.00",,0.00,"2,827.00","6,028.00","1,170.00","11,400","4,364"
12/29/2018,"1,078.00",78.00,"1,156.00","1,235.00","1,235.00",845.00,"3,540.00","1,055.00",348.00,289.00,226.00,58.00,95.00,"4,556.00","1,041.00",480.00,0.00,136.00,327.00,"1,984.00","1,114.00",,"1,114.00","1,250.00",192.00,"3,290.00",10.00,"8,750.00","-7,436.00",,-8.00,"1,266.00","4,556.00","1,005.00","10,100","4,614"
12/30/2017,"1,185.00",,"1,185.00",454.00,454.00,694.00,"2,634.00","1,001.00",261.00,289.00,239.00,58.00,71.00,"3,552.00",796.00,369.00,0.00,70.00,278.00,"1,513.00","1,325.00",,"1,325.00","1,395.00",118.00,"2,956.00",9.00,"8,464.00","-7,775.00",,6.00,596.00,"3,552.00",967.00,"8,900","5,962"
12/31/2016,"1,264.00",,"1,264.00",311.00,311.00,751.00,"2,530.00",881.00,164.00,289.00,232.00,59.00,47.00,"3,321.00",823.00,265.00,0.00,0.00,258.00,"1,346.00","1,435.00",,"1,435.00","1,435.00",124.00,"2,905.00",9.00,"8,334.00","-7,803.00",,-5.00,416.00,"3,321.00",935.00,"8,200","6,150"
12/26/2015,785.00,,785.00,533.00,533.00,678.00,"2,320.00",984.00,188.00,278.00,189.00,,109.00,"3,084.00",524.00,313.00,0.00,230.00,336.00,"1,403.00","2,007.00",,"2,007.00","2,237.00",86.00,"3,496.00",8.00,"7,017.00","-7,306.00",,-8.00,-412.00,"3,084.00",792.00,"9,100","6,263"
