fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2022-12-02,USD,7838000000,210000000,None,92000000,292000000,856000000,442000000,198000000,None,4756000000,-570000000,-6825000000,None,6550000000,0,None,None,None,None,None,None,None,0,278000000,443000000,None,4756000000,annual
2021-12-03,USD,7230000000,216000000,None,144000000,905000000,788000000,348000000,430000000,None,4822000000,-3537000000,-4301000000,None,3950000000,3950000000,None,None,None,None,None,None,None,-3659000000,291000000,-608000000,-26000000,4822000000,annual
2020-11-27,USD,5727000000,187000000,None,110000000,182000000,757000000,419000000,-106000000,None,5260000000,-414000000,-3488000000,None,3050000000,3050000000,None,None,None,None,None,None,None,-2780000000,270000000,1828000000,3000000,5260000000,annual
2019-11-29,USD,4422000000,152075000,None,198986000,718880000,757000000,394479000,188000000,None,2951458000,-456000000,-2946000000,None,2750000000,2750000000,None,None,None,None,None,None,None,-2517068000,233000000,1007446000,-13000000,2951000000,annual
2018-11-30,USD,4029000000,81258000,None,577941000,79208000,346000000,266579000,2000000,None,2590774000,-4685000000,-5000000,None,2050000000,2050000000,None,None,None,None,None,None,None,-1859010000,191000000,-663297000,-2000000,2591000000,annual
2021-12-03,USD,2066000000,116000000,None,160000000,377000000,205000000,99000000,325000000,None,1233000000,-1739000000,-1078000000,None,1000000000,1000000000,None,None,None,None,None,None,None,-999000000,1000000,-751000000,-28000000,1233000000,quarterly
2021-09-03,USD,1404000000,50000000,None,-76000000,231000000,193000000,95000000,66000000,None,1212000000,-133000000,-899000000,None,1000000000,1000000000,None,None,None,None,None,None,None,-797000000,203000000,1212000000,1000000,1212000000,quarterly
2021-06-04,USD,1988000000,0,None,290000000,-27000000,194000000,95000000,-43000000,None,1116000000,-107000000,-1080000000,None,1000000000,1000000000,None,None,None,None,None,None,None,-1000000000,0,1116000000,-3000000,1116000000,quarterly
2021-03-05,USD,1772000000,50000000,None,-230000000,324000000,196000000,59000000,82000000,None,1261000000,-1558000000,-1244000000,None,950000000,950000000,None,None,None,None,None,None,None,-863000000,87000000,-1030000000,4000000,1261000000,quarterly
2020-11-27,USD,1782000000,25000000,None,86000000,88000000,190000000,103000000,81000000,None,1197000000,-131000000,-940000000,None,850000000,850000000,None,None,None,None,None,None,None,-850000000,0,1197000000,0,2250000000,quarterly
2020-08-28,USD,1436000000,76000000,None,0,-54000000,191000000,126000000,-32000000,None,955000000,-315000000,-414000000,None,500000000,500000000,None,None,None,None,None,0,None,-319000000,181000000,955000000,16000000,955000000,quarterly
2020-05-29,USD,1184000000,24000000,None,57000000,96000000,188000000,96000000,-10000000,None,1100000000,80000000,-901000000,None,850000000,850000000,None,None,None,None,None,0,None,-849000000,1000000,1100000000,-7000000,1100000000,quarterly
2020-02-28,USD,1325000000,62000000,None,-33000000,52000000,188000000,94000000,-145000000,None,955000000,-48000000,-1233000000,None,850000000,850000000,None,None,None,None,None,3144000000,None,-762000000,88000000,38000000,-6000000,955000000,quarterly
