Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
TSLA,"Tesla, Inc.",194.76,4.78,2.52,184368000.0,149288000.0,616.24,53.36
AI,"C3.ai, Inc.",27.55,1.67,6.45,103400000.0,5621000.0,3.037,
F,Ford Motor Company,13.14,-0.09,-0.68,75002000.0,54965000.0,52.378,5.87
APE,"AMC Entertainment Holdings, Inc.",3.16,0.15,4.98,75607000.0,31358000.0,5.729,
AMZN,"Amazon.com, Inc.",102.18,-1.21,-1.17,81777000.0,80909000.0,1042.0,91.23
SNAP,Snap Inc.,12.07,1.07,9.73,61512000.0,31765000.0,19.087,
AAPL,Apple Inc.,151.73,-2.77,-1.79,67990000.0,78382000.0,2401.0,25.76
AMC,"AMC Entertainment Holdings, Inc.",6.8,0.72,11.84,60422000.0,30660000.0,3.491,
AMD,"Advanced Micro Devices, Inc.",83.68,-2.41,-2.8,51327000.0,62669000.0,134.922,102.05
ABEV,Ambev S.A.,2.5,-0.01,-0.4,38086000.0,27701000.0,40.556,15.62
NIO,NIO Inc.,10.93,-0.26,-2.32,45079000.0,54381000.0,18.443,
INTC,Intel Corporation,28.69,-1.26,-4.22,48563000.0,39213000.0,118.691,14.79
NVDA,NVIDIA Corporation,210.89,-0.11,-0.05,44673000.0,46615000.0,525.538,56.55
SOFI,"SoFi Technologies, Inc.",7.41,-0.05,-0.67,41143000.0,44129000.0,5.925,
META,"Meta Platforms, Inc.",186.06,-0.47,-0.25,42362000.0,36884000.0,482.387,14.57
PLTR,Palantir Technologies Inc.,8.31,-0.1,-1.19,38287000.0,33883000.0,17.286,
UBER,"Uber Technologies, Inc.",33.9,0.81,2.45,33488000.0,20242000.0,67.611,
LUMN,"Lumen Technologies, Inc.",5.04,-0.22,-4.18,32715000.000000004,23893000.0,5.214,2.47
CCL,Carnival Corporation & plc,11.87,0.07,0.59,33235999.999999996,47941000.0,15.426,
CVNA,Carvana Co.,13.43,-1.02,-7.06,31961000.0,30490000.0,2.385,
SIRI,Sirius XM Holdings Inc.,4.99,-0.225,-4.31,29535000.0,14466000.0,19.409,17.21
GOOGL,Alphabet Inc.,102.9,-1.88,-1.79,31700000.0,31908000.0,1320.0,23.23
LU,Lufax Holding Ltd,2.75,-0.23,-7.72,26085000.0,20154000.0,6.286,3.57
PBR,Petróleo Brasileiro S.A. - Petrobras,11.19,0.35,3.23,25926000.0,31084000.0,72.982,2.18
LCID,"Lucid Group, Inc.",11.96,0.34,2.93,26103000.0,34503000.0,21.867,11.18
HBI,Hanesbrands Inc.,6.08,-0.47,-7.18,24920000.0,11136000.0,2.122,6.02
BAC,Bank of America Corporation,36.37,-0.06,-0.16,28325000.0,38712000.0,290.843,11.4
T,AT&T Inc.,19.58,-0.25,-1.26,30917000.0,38256000.0,139.566,8.09
SWN,Southwestern Energy Company,5.1,-0.22,-4.14,24287000.0,22597000.0,5.628,2.22
HPE,Hewlett Packard Enterprise Company,16.11,-0.22,-1.35,23969000.0,13861000.0,20.65,24.41
ITUB,Itaú Unibanco Holding S.A.,4.87,0.0,0.0,29441000.0,38799000.0,47.73,8.4
GOOG,Alphabet Inc.,103.47,-1.75,-1.66,25527000.0,25614000.0,1322.0,23.46
GRAB,Grab Holdings Limited,3.46,-0.09,-2.54,22685000.0,17341000.0,13.326,
NU,Nu Holdings Ltd.,4.9,0.0,0.0,22277000.0,27691000.0,22.959,
RIG,Transocean Ltd.,6.94,-0.02,-0.29,19644000.0,22524000.0,5.01,
BBD,Banco Bradesco S.A.,2.66,-0.01,-0.37,19017000.0,43281000.0,28.308,5.78
AAL,American Airlines Group Inc.,16.92,-0.1,-0.59,19320000.0,27759000.0,11.009,89.05
PTON,"Peloton Interactive, Inc.",15.79,-0.49,-3.01,18194000.0,13615000.0,5.464,
PFE,Pfizer Inc.,43.76,-0.3,-0.68,18057000.0,22094000.0,245.638,8.0
AFRM,"Affirm Holdings, Inc.",17.01,-1.14,-6.28,18060000.0,17701000.0,4.935,
COIN,"Coinbase Global, Inc.",74.59,-0.04,-0.05,17835000.0,17281000.0,19.535,7.63
SJI,"South Jersey Industries, Inc.",36.09,-0.02,-0.06,18599000.0,2820000.0,4.42,27.14
MSFT,Microsoft Corporation,256.77,-1.58,-0.61,19821000.0,30009000.0,1911.0,28.53
WBD,"Warner Bros. Discovery, Inc.",15.4,-0.02,-0.13,16762000.0,28812000.0,37.397,8.51
DNA,"Ginkgo Bioworks Holdings, Inc.",1.96,-0.1,-4.85,16669000.0,23433000.0,4.025,
CS,Credit Suisse Group AG,3.52,-0.04,-1.12,16616000.0,20483000.0,14.219,
PLUG,Plug Power Inc.,16.48,-0.9,-5.18,16532000.0,17522000.0,9.606,
JWN,"Nordstrom, Inc.",24.18,-2.2,-8.34,16559000.000000002,6213000.0,3.871,11.8
PINS,"Pinterest, Inc.",27.89,0.41,1.49,17324000.0,11156000.0,18.916,309.89
ET,Energy Transfer LP,12.98,0.0,0.04,15777000.0,14195000.0,40.088,9.69
IQ,"iQIYI, Inc.",6.94,-0.47,-6.34,16562999.999999998,20634000.0,6.567,
WFC,Wells Fargo & Company,47.68,0.1,0.21,15920000.0,18430000.0,182.796,15.18
ON,ON Semiconductor Corporation,80.4,-0.49,-0.61,15897000.0,5915000.0,34.767,19.71
VALE,Vale S.A.,16.96,-0.36,-2.08,15978000.0,26837000.0,80.027,4.37
RIVN,"Rivian Automotive, Inc.",20.22,0.32,1.61,15711000.0,21681000.0,17.862,
TAL,TAL Education Group,6.17,-0.61,-9.0,15584000.0,9997000.0,4.003,
VZ,Verizon Communications Inc.,41.28,-0.23,-0.55,15527000.0,23452000.0,173.369,8.16
GOLD,Barrick Gold Corporation,18.35,0.03,0.16,15158000.0,18960000.0,32.547,17.15
NEM,Newmont Corporation,47.6,-2.25,-4.51,15251000.0,6938000.0,37.782,39.02
BABA,Alibaba Group Holding Limited,105.45,-0.88,-0.83,14978000.0,23748000.0,284.087,142.5
AGNC,AGNC Investment Corp.,11.51,-0.45,-3.76,14907000.0,11585000.0,6.614,
