Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
TSLA,"Tesla, Inc.",181.41,8.19,4.73,213806000.0,143313000.0,572.847,59.87
AMD,"Advanced Micro Devices, Inc.",84.64,9.49,12.63,152548000.0,61434000.0,136.47,53.91
SNAP,Snap Inc.,10.37,-1.19,-10.29,116558000.0,29319000.0,16.728,
ABEV,Ambev S.A.,2.59,-0.07,-2.63,90359000.0,26575000.0,41.914,16.19
CVNA,Carvana Co.,13.56,3.39,33.33,76638000.0,27525000.0,2.408,
PTON,"Peloton Interactive, Inc.",16.36,3.43,26.53,79365000.0,12218000.0,5.563,
AAPL,Apple Inc.,145.43,1.14,0.79,77664000.0,77829000.0,2303.0,23.8
SOFI,"SoFi Technologies, Inc.",7.38,0.45,6.49,73553000.0,42722000.0,5.901,
F,Ford Motor Company,13.79,0.28,2.07,67853000.0,52243000.0,55.443,6.33
AMZN,"Amazon.com, Inc.",105.15,2.02,1.96,75356000.0,80307000.0,1073.0,97.36
NIO,NIO Inc.,12.1,0.03,0.25,64465999.99999999,55282000.0,20.417,
INTC,Intel Corporation,29.07,0.81,2.87,62978000.0,38193000.0,120.263,14.98
NVDA,NVIDIA Corporation,209.43,14.06,7.2,65700000.0,46490000.0,521.9,56.16
PLTR,Palantir Technologies Inc.,8.2,0.42,5.4,49122000.0,33015000.0,17.058,
CCL,Carnival Corporation & plc,11.34,0.52,4.81,46557000.0,48260000.0,14.738,
BAC,Bank of America Corporation,35.92,0.44,1.24,44101000.0,38588000.0,287.244,11.26
LCID,"Lucid Group, Inc.",11.85,0.16,1.33,42035000.0,33186000.0,21.656,7.69
T,AT&T Inc.,20.18,-0.19,-0.93,39613000.0,38460000.0,143.843,8.34
APE,"AMC Entertainment Holdings, Inc.",2.56,0.14,5.79,36913000.0,29779000.0,5.099,
RIG,Transocean Ltd.,7.14,0.4,5.93,37941000.0,22816000.0,5.154,
AI,"C3.ai, Inc.",21.68,1.83,9.22,36692000.0,3455000.0,2.39,
AMC,"AMC Entertainment Holdings, Inc.",5.71,0.36,6.73,36194000.0,29436000.0,2.931,
RIVN,"Rivian Automotive, Inc.",19.71,0.31,1.6,36444000.0,20603000.0,17.412,
GOOGL,Alphabet Inc.,100.43,1.59,1.61,35531000.0,31468000.0,1306.0,20.45
ITUB,Itaú Unibanco Holding S.A.,4.91,-0.0667,-1.34,33203000.000000004,39000000.0,48.122,8.47
NU,Nu Holdings Ltd.,4.77,0.12,2.58,34533000.0,27299000.0,22.35,
META,"Meta Platforms, Inc.",153.12,4.15,2.79,50299000.0,34723000.0,401.511,15.07
SWN,Southwestern Energy Company,5.35,-0.17,-3.08,31955000.0,22529000.0,5.904,2.26
