Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
TSLA,"Tesla, Inc.",189.98,1.71,0.91,229176000.0,147915000.0,601.116,50.13
F,Ford Motor Company,13.23,-1.09,-7.61,162581000.0,53126000.0,53.191,5.91
AAPL,Apple Inc.,154.5,3.68,2.44,149918000.0,77117000.0,2447.0,25.29
AMZN,"Amazon.com, Inc.",103.39,-9.52,-8.43,141620000.0,79854000.0,1054.9999999999998,92.31
META,"Meta Platforms, Inc.",186.53,-2.24,-1.19,76810000.0,36220000.0,489.119,17.1
AI,"C3.ai, Inc.",25.88,3.96,18.07,71303000.0,4521000.0,2.853,
AMD,"Advanced Micro Devices, Inc.",86.09,-2.22,-2.51,66558000.00000001,62604000.0,138.808,54.83
GOOGL,Alphabet Inc.,104.78,-2.96,-2.75,65309000.0,31352000.0,1363.0,20.5
PLTR,Palantir Technologies Inc.,8.41,-0.58,-6.45,63810000.0,33369000.0,17.494,
CVNA,Carvana Co.,14.45,0.2,1.4,60158000.0,29982000.0,2.566,
APE,"AMC Entertainment Holdings, Inc.",3.01,0.18,6.36,60965000.0,30853000.0,5.457,
INTC,Intel Corporation,30.32,0.13,0.43,57603000.0,38907000.0,125.434,15.63
SOFI,"SoFi Technologies, Inc.",7.46,-0.26,-3.37,55873000.0,43932000.0,5.965,
NIO,NIO Inc.,11.19,-0.77,-6.44,55151000.0,54361000.0,18.882,
AMC,"AMC Entertainment Holdings, Inc.",6.08,0.0,0.0,51580000.0,30303000.0,3.121,
SNAP,Snap Inc.,11.0,-0.4,-3.51,44509000.0,31549000.0,17.395,
LUMN,"Lumen Technologies, Inc.",5.26,-0.35,-6.24,42695000.0,23574000.0,5.442,2.58
NVDA,NVIDIA Corporation,211.0,-6.09,-2.81,42937000.0,46677000.0,525.812,56.58
JWN,"Nordstrom, Inc.",26.38,5.24,24.79,40571000.0,5637000.0,4.223,12.87
VALE,Vale S.A.,17.32,-0.34,-1.93,38960000.0,26634000.0,80.366,4.52
BAC,Bank of America Corporation,36.43,0.3,0.83,37249000.0,38734000.0,291.323,11.42
COIN,"Coinbase Global, Inc.",74.63,-6.83,-8.38,37058000.0,16951000.0,19.546,7.63
GOOG,Alphabet Inc.,105.22,-3.58,-3.29,36823000.0,25427000.0,1355.0,20.2
HBI,Hanesbrands Inc.,6.55,0.27,4.3,36092000.0,10720000.0,2.286,6.49
CCL,Carnival Corporation & plc,11.8,-0.24,-1.99,34617000.0,48142000.0,15.336,
NU,Nu Holdings Ltd.,4.9,-0.02,-0.41,35654000.0,27557000.0,22.959,
