fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,report_type
2022-12-31,EUR,36300400000,23064900000,7268300000,7268300000,7199700000,None,13235500000,None,None,842400000,842400000,4555600000,None,923600000.0,107700000,1643400000,None,27489600000,17983600000,None,None,None,None,9506000000,None,3514200000.0,None,None,None,17983600000,None,8810800000,None,None,None,403138042,annual
2021-12-31,EUR,30231000000,18190200000,6951800000,6951800000,5179200000,None,12040800000,3147500000,None,952100000,952100000,4555600000,None,892500000.0,638500000,863800000,None,20090400000,12298000000,None,None,None,509100000,7792400000,None,4075000000.0,509100000,None,4584100000,1435500000,None,10140600000,None,8317300000,36500000,410400000,annual
2020-12-31,EUR,27267400000,15930000000,6049400000,6049400000,4569400000,None,11337400000,2815200000,None,1048900000,1048900000,4629100000,None,820700000.0,1302200000,676100000,None,13402000000,6603500000,None,None,None,15400000,6798500000,None,4662800000.0,15400000,None,4678200000,1146000000,None,13865400000,None,10731500000,37600000,419100000,annual
2019-12-31,EUR,22629600000,12131100000,3532300000,3532300000,3809200000,None,10498500000,2323200000,0,1104400000,1104400000,4541100000,None,833000000.0,1185800000,753300000,None,10037400000,4694100000,None,None,None,0,5343300000,0,3108300000.0,0,None,3108300000,1039900000,0,12592200000,-1019600000,9523800000,38200000,421600000,annual
2018-12-31,EUR,20136900000,10531400000,3121100000,3121100000,3439500000,None,9605500000,1727100000,0,1104000000,1104000000,4541100000,None,915800000.0,913300000,656600000,None,8495900000,3791900000,None,None,None,0,4704000000,0,3026500000.0,999999999999999999.99,None,3026500000,911400000,0,11641000000,-1621800000,9197900000,38600000,426400000,annual
2022-12-31,EUR,36300400000,23064900000,7268300000,7268300000,7199700000,None,13235500000,None,None,842400000,842400000,4555600000,None,923600000.0,107700000,1643400000,None,27489600000,17983600000,None,None,None,None,9506000000,None,3514200000.0,None,None,None,17983600000,None,8810800000,None,None,None,403138042,quarterly
2022-09-30,EUR,32803500000,19726400000,3152800000,3152800000,6884000000,None,13077100000,3768600000,None,870100000,870100000,4555600000,None,998700000.0,210000000,1657500000,None,24848400000,15668600000,None,None,None,None,9179800000,None,3503100000.0,None,None,3503100000,15668600000,None,7955100000,None,None,7955100000,396600000,quarterly
2022-06-30,EUR,31912600000,19835300000,4096500000,4096500000,6367100000,None,12077300000,3546100000,None,896100000,896100000,4555600000,None,961400000.0,305400000,1528100000,None,24264000000,14637000000,None,None,None,None,9627000000,None,4385300000.0,None,None,4385300000,14637000000,None,7648600000,None,None,7648600000,398600000,quarterly
2022-03-31,EUR,30231800000,18208800000,4324100000,4324100000,6073500000,None,12023000000,3336400000,None,923400000,923400000,4555600000,None,940000000.0,398500000,1468200000,None,21421400000,13612800000,None,None,None,None,7808600000,None,3951700000.0,None,None,3951700000,13612800000,None,8810400000,None,None,8810400000,401500000,quarterly
2021-12-31,EUR,30231000000,18190200000,6951800000,6951800000,5179200000,None,12040800000,3147500000,None,952100000,952100000,4555600000,None,892500000.0,638500000,863800000,None,20090400000,12298000000,None,None,None,509100000,7792400000,None,4075000000.0,509100000,None,4584100000,1435500000,None,10140600000,None,8317300000,36500000,405000000,quarterly
2021-09-30,EUR,27298000000,15678300000,4318700000,4318700000,4944200000,None,11619700000,2891200000,None,963800000,963800000,4555600000,None,963200000.0,137000000,1147700000,None,15795600000,9162600000,None,None,None,None,6633000000,None,4105800000.0,None,None,4105800000,9162600000,None,11502400000,None,None,11502400000,408600000,quarterly
2021-06-30,EUR,27815500000,16739200000,5186600000,5186600000,5086300000,None,11076300000,2935100000,None,987700000,987700000,4555500000,None,864900000.0,186700000,1073100000,None,15722200000,8754100000,None,None,None,None,6968100000,None,4619900000.0,None,None,4619900000,8754100000,None,12093300000,None,None,12093300000,412000000,quarterly
2021-03-31,EUR,27218700000,15859600000,3243800000,3243800000,4748100000,None,11359100000,2866100000,None,1014200000,1014200000,4555500000,None,842500000.0,1411600000,1081200000,None,13589800000,6876300000,None,None,None,None,6713500000,None,4634200000.0,None,None,4634200000,6876300000,None,13628900000,None,None,13628900000,415800000,quarterly
2020-12-31,EUR,27267400000,15930000000,6049400000,6049400000,4569400000,None,11337400000,2815200000,None,1048900000,1048900000,4629100000,None,820700000.0,1302200000,676100000,None,13402000000,6603500000,None,None,None,15400000,6798500000,None,4662800000.0,15400000,None,4678200000,1256000000,None,13865400000,None,10731500000,37600000,418400000,quarterly
2020-09-30,EUR,25463400000,14550800000,3531500000,3531500000,4613700000,None,10912600000,2496300000,None,1035400000,1035400000,4541100000,None,918000000.0,876300000,772700000,None,11720900000,4990900000,None,None,None,None,6730000000,None,4626700000.0,None,None,4626700000,4990900000,None,13742500000,None,None,13742500000,419200000,quarterly
2020-06-30,EUR,24306100000,13492600000,3499100000,3499100000,4685600000,None,10813500000,2463500000,None,1058300000,1058300000,4541100000,None,891600000.0,941200000,903500000,None,11606300000,4631300000,None,None,None,None,6975000000,None,4625000000.0,None,None,4625000000,4631300000,None,12699800000,None,None,12699800000,419000000,quarterly
2020-03-31,EUR,23277600000,12700100000,2723700000,2723700000,4345300000,None,10577500000,2363400000,0,1082500000,1082500000,4541100000,None,865100000.0,1388100000,905800000,None,10752400000,4677400000,None,None,None,0,6075000000,0,3868200000.0,0,None,3868200000,4677400000,0,12525200000,0,0,12525200000,419700000,quarterly
2019-12-31,EUR,22629600000,12131100000,3532300000,3532300000,3809200000,None,10498500000,2323200000,0,1104400000,1104400000,4541100000,None,833000000.0,1185800000,753300000,None,10037400000,4694100000,None,None,None,0,5343300000,0,3108300000.0,0,None,3108300000,1105500000,0,12592200000,0,9523800000,38200000,421100000,quarterly
2019-09-30,EUR,20699200000,10094100000,1586100000,1586100000,3895000000,None,10605100000,2123600000,0,1122800000,1122800000,4541100000,None,969000000.0,483800000,816200000,None,8628100000,3712500000,None,None,None,0,4915600000,0,3170000000.0,0,None,3170000000,3712500000,0,12071100000,0,0,12071100000,421700000,quarterly
2019-06-30,EUR,20033900000,9895300000,1661100000,1661100000,3914100000,None,10138600000,1880600000,0,1140800000,1140800000,4541100000,None,949900000.0,673500000,877500000,None,8488600000,3692500000,None,None,None,0,4796100000,0,3132400000.0,0,None,3132400000,3692500000,0,11545300000,0,0,11545300000,421800000,quarterly
2019-03-31,EUR,20360600000,10396300000,2253000000,2253000000,3764800000,None,9964300000,3137699793.89,0,1158500000,1158500000,4541100000,None,933600000.0,1022100000,755700000,None,8394900000,3721200000,None,None,None,0,4673700000,0,3082500000.0,0,None,3082500000,3721200000,0,11965700000,0,0,21212935433.51,422500000,quarterly
2018-12-31,EUR,20136900000,10531400000,3121100000,3121100000,3439500000,None,9605500000,2606554981.25,0,1104000000,1104000000,4541100000,None,1472233445.78,913300000,656600000,None,8495900000,3791900000,None,None,None,0,4704000000,0,4615915934.31,45986930661354000,None,3026500000,1099300000,0,11641000000,0,9197900000,38600000,423600000,quarterly
