fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-12-31,2023-01-24,4.7,4.45,0.25,5.618
2022-09-30,2022-10-18,4.32,4.01,0.31,7.7307
2022-06-30,2022-07-19,3.77,3.81,-0.04,-1.0499
2022-03-31,2022-04-19,1.94,1.78,0.16,8.9888
2021-12-31,2022-01-18,5.01,4.26,0.75,17.6056
2021-09-30,2021-10-19,5.02,4.8,0.22,4.5833
2021-06-30,2021-07-20,3.04,2.93,0.11,3.7543
2021-03-31,2021-04-20,3.86,3.02,0.84,27.8146
2020-12-31,2021-01-19,3.85,3.05,0.8,26.2295
2020-09-30,2020-10-13,2.96,2.64,0.32,12.1212
2020-06-30,2020-07-14,1.97,1.47,0.5,34.0136
2020-03-31,2020-04-14,1.03,1.35,-0.32,-23.7037
2019-12-31,2020-01-21,2.98,2.67,0.31,11.6105
2019-09-30,2019-10-15,1.66,1.62,0.04,2.4691
2019-06-30,2019-07-17,1.27,1.13,0.14,12.3894
2019-03-31,2019-04-16,0.99,1.69,-0.7,-41.4201
2018-12-31,2019-01-22,2.19,2.11,0.08,3.7915
2018-09-30,2018-10-16,1.86,1.81,0.05,2.7624
2018-06-30,2018-07-19,1.63,1.42,0.21,14.7887
2018-03-31,2018-04-17,1.55,1.13,0.42,37.1681
2017-12-31,2018-01-16,1.76,1.3,0.46,35.3846
2017-09-30,2017-10-17,1.52,1.29,0.23,17.8295
2017-06-30,2017-07-18,1.18,1.03,0.15,14.5631
2017-03-31,2017-04-18,1.12,1.01,0.11,10.8911
2016-12-31,2017-01-17,1.35,1.01,0.34,33.6634
2016-09-30,2016-10-18,1.04,1.05,-0.01,-0.9524
2016-06-30,2016-07-20,0.94,0.87,0.07,8.046
2016-03-31,2016-04-19,0.51,0.46,0.05,10.8696
2015-12-31,2016-01-19,0.74,0.72,0.02,2.7778
2015-09-30,2015-10-14,0.83,0.82,0.01,1.2195
2015-06-30,2015-07-15,0.95,0.88,0.07,7.9545
2015-03-31,2015-04-14,1.17,1,0.17,17
2014-12-31,2015-01-20,0.87,0.57,0.3,52.6316
2014-09-30,2014-10-15,0.74,0.7,0.04,5.7143
2014-06-30,2014-07-16,1.23,1.04,0.19,18.2692
2014-03-31,2014-04-16,0.76,0.71,0.05,7.0423
2013-12-31,2014-01-22,1.47,1.31,0.16,12.2137
2013-09-30,2013-10-16,0.57,0.71,-0.14,-19.7183
2013-06-30,2013-07-17,0.67,0.68,-0.01,-1.4706
2013-03-31,2013-04-17,0.3,0.54,-0.24,-44.4444
2012-12-31,2013-01-17,0.52,0.67,-0.15,-22.3881
2012-09-30,2012-10-17,1.05,1.11,-0.06,-5.4054
2012-06-30,2012-07-18,1.18,1.11,0.07,6.3063
2012-03-31,2012-04-18,1.16,1.12,0.04,3.5714
2011-12-31,2012-01-18,1.19,0.93,0.26,27.957
2011-09-30,2011-10-17,1.55,1.42,0.13,9.1549
2011-06-30,2011-07-13,1.87,1.74,0.13,7.4713
