fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,report_type
2022-12-31,EUR,10700100000,21173400000,10473300000,10473300000,6500700000,945900000.0,3253500000,14672700000,None,-44600000,None,None,None,None,None,None,6456100000,None,None,5486200000.0,None,None,7084300000,5486200000,annual
2021-12-31,EUR,9809000000,18611000000,8802000000,8802000000,6750100000,725600000.0,2547000000,3272600000,None,-44600000,10000000,54600000,None,None,None,471000000,6705500000,1021400000,None,5684100000.0,None,6959200000,7430200000,5883200000,annual
2020-12-31,EUR,6797200000,13978500000,7181300000,7181300000,4051500000,544900000.0,2200800000,2745700000,None,-34900000,8400000,43400000,None,None,None,490800000,4016600000,551500000,None,3465100000.0,None,4148600000,4639400000,3553700000,annual
2019-12-31,EUR,5279800000,11820000000,6540200000,6540200000,2790800000,520500000.0,1968500000,2489000000,None,-25000000,11600000,36600000,None,0,None,448500000,2765800000,191700000,None,2574100000.0,None,2802400000,3250900000,2574100000,annual
2018-12-31,EUR,5029200000,10944000000,5914800000,5914800000,2965300000,488000000.0,1575900000,2063900000,None,-28300000,13500000,41800000,None,0,None,422700000,2937000000,351600000,None,2585400000.0,None,2978800000,3401500000,2585400000,annual
2022-12-31,EUR,3310900000,6430200000,3119300000,3119300000,2124200000,280400000.0,906300000,4306000000,None,-3100000,None,None,None,None,None,None,2121100000,None,None,1763800000.0,None,None,2307400000,1763800000,quarterly
2022-09-30,EUR,2993700000,5778300000,2784600000,2784600000,1938500000,207700000.0,819400000,1055200000,None,-15600000,None,15100000,None,None,None,137900000,1923400000,252000000,None,654600000.0,None,1938500000,2076400000,1671400000,quarterly
2022-06-30,EUR,2664500000,5430500000,2766000000,2766000000,1653400000,222000000.0,789100000,1011100000,None,-10800000,None,10800000,None,None,None,131500000,1642600000,246200000,None,1396400000.0,None,1653400000,1784900000,1396400000,quarterly
2022-03-31,EUR,1731000000,3534400000,1803400000,1803400000,784600000,207700000.0,738700000,946400000,None,-15600000,None,15600000,None,None,None,131000000,769000000,114400000,None,654600000.0,None,753400000,884400000,654600000,quarterly
2021-12-31,EUR,2700600000,4985600000,2285000000,2285000000,2031200000,202500000.0,680600000,883100000,None,-12200000,None,12200000,None,None,None,124200000,2019000000,316000000,None,1703000000.0,None,2031200000,2155400000,1703000000,quarterly
2021-09-30,EUR,2711400000,5241300000,2529900000,2529900000,1919300000,182900000.0,609200000,792100000,None,-10500000,None,10500000,None,None,None,116200000,1908800000,270900000,None,1637900000.0,None,1898300000,2014500000,1637900000,quarterly
2021-06-30,EUR,2044600000,4020200000,1975600000,1975600000,1239000000,171800000.0,633800000,805600000,None,-9800000,None,9800000,None,None,None,112700000,1229200000,204200000,None,1025000000.0,None,1239000000,1351700000,1025000000,quarterly
2021-03-31,EUR,2352400000,4363900000,2011500000,2011500000,1560600000,168400000.0,623400000,791800000,None,-12100000,None,12100000,None,None,None,117900000,1548500000,230300000,None,1318200000.0,None,1560600000,1678500000,1318200000,quarterly
2020-12-31,EUR,2211100000,4254100000,2043000000,2043000000,1503700000,151500000.0,555900000,707400000,None,-8000000,None,16400000,None,None,None,125400000,1495700000,170200000,None,1325500000.0,None,1512100000,1637500000,1325500000,quarterly
2020-09-30,EUR,1881400000,3958000000,2076600000,2076600000,1215900000,131500000.0,534000000,2076600000,None,-8400000,None,8400000,None,None,None,122000000,1228000000,166500000,None,1041000000.0,None,1236400000,1358400000,1061500000,quarterly
2020-06-30,EUR,1603200000,3325700000,1722500000,1722500000,905100000,131200000.0,566900000,698100000,None,-7100000,None,7100000,None,None,None,125100000,898000000,166400000,None,731600000.0,None,905100000,1030200000,731600000,quarterly
2020-03-31,EUR,1101400000,2440600000,1339200000,1339200000,426700000,130700000.0,544000000,674700000,None,-11400000,None,11400000,None,0,None,118300000,415300000,48500000,None,366800000.0,None,426700000,545000000,366800000,quarterly
2019-12-31,EUR,1940100000,4036400000,2096300000,2096300000,1276500000,147600000.0,516100000,663700000,None,-4900000,4900000,16500000,None,0,None,122900000,1271700000,124500000,None,1147200000.0,None,1288200000,1411100000,1147200000,quarterly
2019-09-30,EUR,1306400000,2986500000,1680100000,1680100000,685600000,128500000.0,492300000,620800000,None,-5400000,None,5400000,None,0,None,112400000,680200000,65000000,None,615200000.0,None,685600000,798000000,615200000,quarterly
2019-06-30,EUR,1105200000,2567900000,1462700000,1462700000,494300000,123500000.0,487400000,610900000,None,-6900000,6900000,6900000,None,0,None,108400000,487400000,19100000,None,468300000.0,None,494300000,602700000,468300000,quarterly
2019-03-31,EUR,928000000,2229100000,1301100000,1301100000,334300000,121000000.0,472700000,593700000,None,-7900000,None,7900000,None,0,None,104800000,326400000,-17000000,None,343400000.0,None,334300000,439100000,343400000,quarterly
2018-12-31,EUR,1392900000,3142500000,1749600000,1749600000,815900000,134600000.0,442400000,577000000,None,None,None,2100000,None,0,None,110400000,808400000,40100000,None,1188502141.01,None,810500000,920900000,768300000,quarterly
2018-09-30,EUR,1335900000,2776100000,1440200000,1440200000,817800000,121800000.0,396300000,518100000,None,None,None,8100000,None,0,None,110000000,809700000,129600000,None,787682333.87,None,817800000,927800000,680100000,quarterly
2018-06-30,EUR,1186900000,2740400000,1553500000,1553500000,689400000,136638733.71,380100000,497500000,None,None,None,2200000,None,None,None,99700000,687200000,107500000,None,632216014.9,None,689400000,789100000,579700000,quarterly
2018-03-31,EUR,1113500000,2285000000,1171500000,1171500000,642200000,580641000.0,357100000,471300000,None,None,None,10500000,None,None,None,102600000,631700000,74400000,None,580500000.0,None,642200000,744800000,557300000,quarterly
2017-12-31,EUR,1156100000,2560400000,1404300000,1404300000,750000000,112700000.0,317400000,406100000,None,None,None,20100000,None,None,None,102300000,737100000,77400000,None,1982202000.0,None,757200000,859500000,659700000,quarterly
