fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2021-12-31,USD,46327000000,7243000000,None,5916000000,9487000000,34296000000,61053000000,-18163000000,9487000000,33355000000,-58154000000,6291000000,None,None,None,None,None,None,None,None,19003000000,None,None,None,-5900000000,-364000000,33364000000,annual
2020-12-31,USD,66064000000,5087000000,None,18745000000,2849000000,25251000000,40140000000,-8169000000,2849000000,21331000000,-59611000000,-1104000000,None,None,None,None,None,None,None,None,10525000000,None,None,None,5967000000,618000000,21331000000,annual
2019-12-31,USD,38514000000,4008000000,None,9904000000,3278000000,21789000000,16861000000,-7681000000,3278000000,11588000000,-24281000000,-10066000000,None,None,None,None,None,None,None,None,2273000000,None,None,None,4237000000,70000000,11588000000,annual
2018-12-31,USD,30723000000,0,None,4414000000,1314000000,15341000000,13427000000,-4615000000,1314000000,10073000000,-12369000000,-7686000000,None,None,None,None,None,None,None,None,768000000,None,None,None,10317000000,-351000000,10073000000,annual
2017-12-31,USD,18365000000,0,None,7913000000,3583000000,11478000000,11955000000,-4786000000,3583000000,3033000000,-27084000000,9928000000,None,None,None,None,None,None,None,None,16231000000,None,None,None,1188000000,713000000,3033000000,annual
2022-09-30,USD,11404000000,1901000000,None,-1172000000,-732000000,10204000000,16378000000,-4794000000,-732000000,2872000000,-15608000000,3016000000,4422000000,0,0,None,None,None,None,None,107000000,None,0,None,-1188000000,None,2872000000,quarterly
2022-06-30,USD,8965000000,2183000000,None,4020000000,3890000000,9594000000,15724000000,-6799000000,3890000000,-2028000000,-12078000000,4626000000,-2745000000,3334000000,3334000000,None,None,None,None,None,12824000000,None,-3334000000,None,1513000000,None,-2028000000,quarterly
2022-03-31,USD,-2790000000,2474000000,None,-8044000000,2614000000,8978000000,14951000000,-1516000000,2614000000,-3844000000,906000000,1990000000,7512000000,2666000000,2666000000,None,None,None,None,None,0,None,-2666000000,None,106000000,None,-3844000000,quarterly
2021-12-31,USD,22086000000,1807000000,None,8909000000,1915000000,9802000000,18935000000,-6556000000,1915000000,14314000000,-12580000000,-3100000000,0,0,0,None,None,None,None,None,200000000,None,0,None,6300000000,-106000000,14323000000,quarterly
2021-09-30,USD,7313000000,1933000000,None,4170000000,7059000000,8948000000,15748000000,-4890000000,7059000000,3156000000,-14828000000,-2776000000,270000000,0,0,None,None,None,None,None,176000000,None,0,None,-10490000000,-199000000,3156000000,quarterly
2021-06-30,USD,12715000000,1706000000,None,203000000,209000000,8038000000,14288000000,-4462000000,209000000,7778000000,-22080000000,15643000000,0,0,0,None,None,None,None,None,18516000000,None,0,None,6512000000,234000000,7778000000,quarterly
2021-03-31,USD,4213000000,1797000000,None,-7366000000,304000000,7508000000,12082000000,-2255000000,304000000,8107000000,-8666000000,-3476000000,-75000000,0,0,None,None,None,None,None,111000000,None,0,None,-8222000000,-293000000,8107000000,quarterly
2020-12-31,USD,30431000000,1328000000,None,13582000000,-329000000,7618000000,14823000000,-4561000000,-329000000,7199000000,-17037000000,-1816000000,0,0,0,None,None,None,None,None,531000000,None,0,None,7199000000,597000000,7222000000,quarterly
2020-09-30,USD,11964000000,1314000000,None,3736000000,3899000000,6523000000,11063000000,-2016000000,3899000000,6331000000,-15876000000,-4105000000,-38000000,0,0,None,None,None,None,None,0,None,0,None,-7640000000,377000000,6331000000,quarterly
2020-06-30,USD,20606000000,1247000000,None,8863000000,672000000,5748000000,7459000000,-2854000000,672000000,5243000000,-17804000000,7408000000,527000000,0,0,None,None,None,None,None,9918000000,None,0,None,10337000000,127000000,5243000000,quarterly
2020-03-31,USD,3064000000,1197000000,None,-7437000000,-1392000000,5362000000,6795000000,1262000000,-1392000000,2535000000,-8894000000,-2591000000,-14000000,0,0,None,None,None,None,None,693000000,None,0,None,-8905000000,-484000000,2535000000,quarterly
2019-12-31,USD,19659000000,1107000000,None,11169000000,1516000000,6170000000,5312000000,-3905000000,1516000000,3267000000,-3536000000,-3571000000,0,0,0,None,None,None,None,None,1098000000,None,0,None,3267000000,304000000,3268000000,quarterly
2019-09-30,USD,7892000000,1039000000,None,173000000,381000000,5563000000,4697000000,-1182000000,381000000,2134000000,-5074000000,-1960000000,74000000,0,0,None,None,None,None,None,702000000,None,0,None,589000000,-269000000,2134000000,quarterly
2019-06-30,USD,9118000000,988000000,None,4058000000,2100000000,5202000000,3562000000,-2193000000,2100000000,2625000000,-7549000000,-2158000000,149000000,0,0,None,None,None,None,None,283000000,None,0,None,-542000000,47000000,2625000000,quarterly
2019-03-31,USD,1846000000,874000000,None,-5496000000,-719000000,4854000000,3290000000,-401000000,-719000000,3561000000,-8123000000,-2377000000,-205000000,0,0,None,None,None,None,None,190000000,None,0,None,-8666000000,-12000000,3561000000,quarterly
2018-12-31,USD,16477000000,-277000000,None,7409000000,1350000000,4262000000,3734000000,-1395000000,1350000000,3023000000,-3572000000,-1761000000,None,0,0,None,None,None,None,None,405000000,None,0,None,3023000000,-3000000,3027000000,quarterly
2018-09-30,USD,8588000000,118000000,None,3894000000,1094000000,3778000000,3352000000,-2884000000,1094000000,2883000000,-5572000000,-2369000000,None,0,0,None,None,None,None,None,143000000,None,0,None,496000000,-151000000,2883000000,quarterly
2018-06-30,USD,7449000000,85000000,None,2420000000,1090000000,3630000000,3243000000,-1365000000,1090000000,2534000000,-2692000000,-1394000000,None,0,0,None,None,None,None,None,96000000,None,0,None,2920000000,-443000000,2534000000,quarterly
2018-03-31,USD,-1791000000,74000000,None,-9310000000,-2220000000,3671000000,3098000000,1029000000,-2220000000,1629000000,-533000000,-2164000000,None,0,0,None,None,None,None,None,125000000,None,0,None,-4240000000,248000000,1629000000,quarterly
