Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,SEC Form 4 Link,Insider_id
BAHAI AHMAD,Sr. Vice President,Feb 13,Sale,176.67,1200.0,212003.0,30357.0,Feb 15 04:41 PM,http://www.sec.gov/Archives/edgar/data/97476/000112760223005361/xslF345X03/form4.xml,1498135
BLINN MARK A,Director,Feb 03,Option Exercise,116.51,2111.0,245945.0,14841.0,Feb 07 05:26 PM,http://www.sec.gov/Archives/edgar/data/97476/000112760223003818/xslF345X03/form4.xml,1129149
BLINN MARK A,Director,Feb 03,Sale,181.69,3068.0,557425.0,11773.0,Feb 07 05:26 PM,http://www.sec.gov/Archives/edgar/data/97476/000112760223003818/xslF345X03/form4.xml,1129149
CLARK JANET F,Director,Nov 16,Option Exercise,52.93,9990.0,528771.0,18932.0,Nov 18 06:04 PM,http://www.sec.gov/Archives/edgar/data/97476/000112760222026075/xslF345X03/form4.xml,1216484
CLARK JANET F,Director,Nov 16,Sale,175.16,9990.0,1749851.0,8942.0,Nov 18 06:04 PM,http://www.sec.gov/Archives/edgar/data/97476/000112760222026075/xslF345X03/form4.xml,1216484
BAHAI AHMAD,Sr. Vice President,Nov 11,Sale,180.01,1109.0,199635.0,27306.0,Nov 15 08:11 PM,http://www.sec.gov/Archives/edgar/data/97476/000112760222025673/xslF345X03/form4.xml,1498135
Roberts Mark T.,Sr. Vice President,Aug 01,Sale,177.5,2048.0,363527.0,28475.0,Aug 03 05:28 PM,http://www.sec.gov/Archives/edgar/data/97476/000112760222020406/xslF345X03/form4.xml,1859255
Flessner Kyle M,Sr. Vice President,Jul 29,Option Exercise,110.15,43068.0,4743940.0,109890.0,Aug 02 05:41 PM,http://www.sec.gov/Archives/edgar/data/97476/000112760222020219/xslF345X03/form4.xml,1751966
PATSLEY PAMELA H,Director,Jul 29,Option Exercise,44.09,12299.0,542263.0,44387.0,Aug 02 05:17 PM,http://www.sec.gov/Archives/edgar/data/97476/000112760222020195/xslF345X03/form4.xml,1182591
Flessner Kyle M,Sr. Vice President,Jul 29,Sale,178.91,43068.0,7705124.0,66822.0,Aug 02 05:41 PM,http://www.sec.gov/Archives/edgar/data/97476/000112760222020219/xslF345X03/form4.xml,1751966
PATSLEY PAMELA H,Director,Jul 29,Sale,176.64,12299.0,2172465.0,32088.0,Aug 02 05:17 PM,http://www.sec.gov/Archives/edgar/data/97476/000112760222020195/xslF345X03/form4.xml,1182591
SANCHEZ ROBERT E,Director,May 13,Option Exercise,44.09,12299.0,542263.0,31500.0,May 17 05:02 PM,http://www.sec.gov/Archives/edgar/data/97476/000112760222014778/xslF345X03/form4.xml,1216931
SANCHEZ ROBERT E,Director,May 13,Sale,169.4,12299.0,2083484.0,19201.0,May 17 05:02 PM,http://www.sec.gov/Archives/edgar/data/97476/000112760222014778/xslF345X03/form4.xml,1216931
Kozanian Hagop H,Sr. Vice President,May 13,Sale,170.23,5904.0,1005067.0,44885.0,May 17 06:06 PM,http://www.sec.gov/Archives/edgar/data/97476/000112760222014810/xslF345X03/form4.xml,1746766
Gary Mark,Sr. Vice President,May 13,Sale,169.92,2043.0,347147.0,27743.0,May 17 06:24 PM,http://www.sec.gov/Archives/edgar/data/97476/000112760222014815/xslF345X03/form4.xml,1821977
