Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,SEC Form 4 Link,Insider_id
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Feb 01,Sale,99.87,637.0,63617.0,25282.0,Feb 01 06:13 PM,http://www.sec.gov/Archives/edgar/data/1652044/000120919123005986/xslF345X03/doc4.xml,1738007
MATHER ANN,Director,Jan 25,Sale,96.92,340.0,32953.0,11300.0,Jan 27 02:05 PM,http://www.sec.gov/Archives/edgar/data/1244892/000120919123005184/xslF345X03/doc4.xml,1244892
WALKER JOHN KENT,"President, Global Affairs, CLO",Jan 23,Sale,100.0,11313.0,1131300.0,41970.0,Jan 25 04:44 PM,http://www.sec.gov/Archives/edgar/data/1238734/000120919123004849/xslF345X03/doc4.xml,1238734
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Jan 04,Sale,91.15,855.0,77933.0,25122.0,Jan 04 07:35 PM,http://www.sec.gov/Archives/edgar/data/1652044/000120919123001423/xslF345X03/doc4.xml,1738007
RAGHAVAN PRABHAKAR,Senior Vice President,Jan 03,Sale,89.75,22203.0,1992617.0,76579.0,Jan 03 06:27 PM,http://www.sec.gov/Archives/edgar/data/1286672/000120919123000414/xslF345X03/doc4.xml,1286672
MATHER ANN,Director,Dec 27,Sale,89.24,380.0,33911.0,11300.0,Dec 28 07:34 PM,http://www.sec.gov/Archives/edgar/data/1244892/000120919122062864/xslF345X03/doc4.xml,1244892
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Dec 01,Sale,101.13,855.0,86467.0,24908.0,Dec 01 07:43 PM,http://www.sec.gov/Archives/edgar/data/1652044/000120919122059251/xslF345X03/doc4.xml,1738007
MATHER ANN,Director,Nov 25,Sale,98.48,360.0,35453.0,11300.0,Nov 28 07:59 PM,http://www.sec.gov/Archives/edgar/data/1244892/000120919122058904/xslF345X03/doc4.xml,1244892
"GV 2021 GP, L.L.C.",Member of 10% Group,Nov 09,Buy,34.6,182312.0,6307812.0,1294527.0,Nov 10 07:00 PM,http://www.sec.gov/Archives/edgar/data/1652044/000120919122056458/xslF345X03/doc4.xml,1861206
"GV 2021 GP, L.L.C.",Member of 10% Group,Nov 08,Buy,36.23,39423.0,1428187.0,1112215.0,Nov 10 07:00 PM,http://www.sec.gov/Archives/edgar/data/1652044/000120919122056458/xslF345X03/doc4.xml,1861206
"GV 2021 GP, L.L.C.",Member of 10% Group,Nov 07,Buy,35.16,201897.0,7098803.0,1072792.0,Nov 08 05:11 PM,http://www.sec.gov/Archives/edgar/data/1652044/000120919122056129/xslF345X03/doc4.xml,1861206
"GV 2021 GP, L.L.C.",Member of 10% Group,Nov 04,Buy,36.01,277493.0,9991257.0,870895.0,Nov 08 05:11 PM,http://www.sec.gov/Archives/edgar/data/1652044/000120919122056129/xslF345X03/doc4.xml,1861206
"GV 2017 GP, L.L.C.",Member of 10% Group,Nov 04,Sale,31.14,97166.0,3025611.0,0.0,Nov 08 05:04 PM,http://www.sec.gov/Archives/edgar/data/1652044/000120919122056122/xslF345X03/doc4.xml,1733338
"GV 2017 GP, L.L.C.",Member of 10% Group,Nov 03,Sale,32.79,99137.0,3251028.0,0.0,Nov 04 04:16 PM,http://www.sec.gov/Archives/edgar/data/1652044/000120919122055791/xslF345X03/doc4.xml,1733338
MATHER ANN,Director,Nov 03,Sale,86.31,260.0,22441.0,11300.0,Nov 03 05:49 PM,http://www.sec.gov/Archives/edgar/data/1244892/000120919122055607/xslF345X03/doc4.xml,1244892
"GV 2017 GP, L.L.C.",Member of 10% Group,Nov 02,Sale,35.94,57303.0,2059630.0,0.0,Nov 04 04:16 PM,http://www.sec.gov/Archives/edgar/data/1652044/000120919122055791/xslF345X03/doc4.xml,1733338
O'Toole Amie Thuener,"VP, Chief Accounting Officer",Nov 02,Sale,90.85,855.0,77677.0,24694.0,Nov 03 05:29 PM,http://www.sec.gov/Archives/edgar/data/1652044/000120919122055561/xslF345X03/doc4.xml,1738007
"GV 2017 GP, L.L.C.",Member of 10% Group,Nov 01,Sale,36.79,63926.0,2351706.0,0.0,Nov 02 04:25 PM,http://www.sec.gov/Archives/edgar/data/1652044/000120919122055288/xslF345X03/doc4.xml,1733338
"GV 2017 GP, L.L.C.",Member of 10% Group,Oct 31,Sale,38.64,107393.0,4149325.0,0.0,Nov 02 04:25 PM,http://www.sec.gov/Archives/edgar/data/1652044/000120919122055288/xslF345X03/doc4.xml,1733338
MATHER ANN,Director,Oct 25,Sale,103.23,280.0,28904.0,11200.0,Oct 25 06:41 PM,http://www.sec.gov/Archives/edgar/data/1244892/000120919122054572/xslF345X03/doc4.xml,1244892
