Date,Status,Outer,Previous_rating,Current_rating,Previous_price,Current_price
2023-02-15,Initiated,Barclays,Equal Weight,Equal Weight,13.0,13.0
2023-02-15,Downgrade,"Tudor, Pickering, Holt & Co.",Buy,Hold,,
2023-02-03,Downgrade,Deutsche Bank,Hold,Sell,13.0,11.0
2022-10-10,Downgrade,UBS,Neutral,Sell,13.0,10.0
2022-10-05,Upgrade,Morgan Stanley,Equal-Weight,Overweight,,
2022-08-02,Reiterated,Citigroup,Neutral,Neutral,16.0,15.0
2022-07-21,Upgrade,Nomura,Reduce,Neutral,12.4,12.4
2022-05-13,Upgrade,Morgan Stanley,Underweight,Equal-Weight,13.0,13.0
2022-05-12,Downgrade,Wells Fargo,Overweight,Underweight,24.0,12.0
2022-05-10,Initiated,Berenberg,Hold,Hold,17.0,17.0
2022-04-11,Initiated,Exane BNP Paribas,Outperform,Outperform,,
2022-04-07,Downgrade,Barclays,Overweight,Equal Weight,23.0,17.0
2022-01-20,Downgrade,Jefferies,Buy,Hold,20.0,25.0
2022-01-14,Downgrade,RBC Capital Mkts,Outperform,Sector Perform,21.0,26.0
2021-12-30,Reiterated,Citigroup,Neutral,Neutral,20.0,23.0
2021-12-16,Reiterated,Wells Fargo,Overweight,Overweight,19.0,25.0
2021-12-14,Downgrade,Daiwa Securities,Neutral,Underperform,16.0,19.0
2021-12-02,Downgrade,Wolfe Research,Outperform,Peer Perform,17.0,22.0
2021-11-02,Reiterated,Jefferies,Buy,Buy,17.0,20.0
2021-11-02,Downgrade,Nomura,Neutral,Reduce,,
2021-10-20,Upgrade,Credit Suisse,Neutral,Outperform,15.0,20.0
2021-06-22,Reiterated,Barclays,Overweight,Overweight,15.0,17.0
