Date,Status,Outer,Current_Rating,Previous_rating,Previous_price,Current_price
2023-01-23,Reiterated,Truist,Buy,Buy,662,659
2022-12-09,Reiterated,Cowen,Market Perform,Market Perform,540,555
2022-03-04,Reiterated,UBS,Buy,Buy,665,690
2022-03-04,Reiterated,Truist,Buy,Buy,659,686
2022-03-04,Reiterated,Rosenblatt,Buy,Buy,750,775
2022-03-04,Reiterated,Morgan Stanley,Overweight,Overweight,723,703
2022-03-04,Reiterated,Mizuho,Buy,Buy,665,700
2022-03-04,Reiterated,JP Morgan,Overweight,Overweight,700,715
2022-03-04,Reiterated,Goldman,Buy,Buy,704,665
2022-01-12,Reiterated,Barclays,Overweight,Overweight,650,700
2022-01-03,Reiterated,Piper Sandler,Overweight,Overweight,680,750
2021-12-10,Reiterated,Wells Fargo,Equal Weight,Equal Weight,565,635
2021-12-10,Reiterated,UBS,Buy,Buy,660,665
2021-12-10,Reiterated,Truist,Buy,Buy,564,659
2021-12-10,Reiterated,Susquehanna,Positive,Positive,650,680
2021-12-10,Reiterated,Piper Sandler,Overweight,Overweight,550,680
2021-12-10,Reiterated,Morgan Stanley,Overweight,Overweight,572,723
2021-12-10,Reiterated,Mizuho,Buy,Buy,600,665
2021-12-10,Reiterated,KeyBanc Capital Markets,Overweight,Overweight,575,710
2021-12-10,Reiterated,JP Morgan,Overweight,Overweight,655,700
