Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,SEC Form 4 Link,Insider_id
FERNANDEZ RAUL J,Director,Dec 14,Sale,575.0,1170.0,672750.0,1953.0,Dec 16 04:59 PM,http://www.sec.gov/Archives/edgar/data/1106627/000173016822000120/xslF345X03/wf-form4_167122792348894.xml,1106627
DELLY GAYLA J,Director,Dec 13,Sale,579.56,200.0,115912.0,3264.0,Dec 15 04:59 PM,http://www.sec.gov/Archives/edgar/data/1218358/000173016822000112/xslF345X03/wf-form4_167114158143923.xml,1218358
PAGE JUSTINE,Director,Dec 13,Sale,574.86,170.0,97726.0,2981.0,Dec 15 05:06 PM,http://www.sec.gov/Archives/edgar/data/1359561/000173016822000114/xslF345X03/wf-form4_167114194486224.xml,1359561
Bryant Diane M,Director,Apr 05,Sale,629.55,476.0,299666.0,1560.0,Apr 06 04:16 PM,http://www.sec.gov/Archives/edgar/data/1687544/000173016822000061/xslF345X03/wf-form4_164927618423358.xml,1687544
Spears Kirsten M.,VP CFO & Chief Accounting Ofcr,Mar 29,Sale,636.23,2000.0,1272460.0,34546.0,Mar 30 04:33 PM,http://www.sec.gov/Archives/edgar/data/1670725/000173016822000052/xslF345X03/wf-form4_164867237612484.xml,1670725
Spears Kirsten M.,VP CFO & Chief Accounting Ofcr,Mar 28,Sale,625.86,3000.0,1877565.0,36546.0,Mar 30 04:33 PM,http://www.sec.gov/Archives/edgar/data/1670725/000173016822000052/xslF345X03/wf-form4_164867237612484.xml,1670725
DELLY GAYLA J,Director,Mar 25,Sale,624.67,200.0,124934.0,3051.0,Mar 29 04:31 PM,http://www.sec.gov/Archives/edgar/data/1218358/000173016822000050/xslF345X03/wf-form4_164858584695877.xml,1218358
Brazeal Mark David,Chief Legal & Corp Affairs Ofc,Mar 24,Sale,610.0,11214.0,6840540.0,28750.0,Mar 28 04:59 PM,http://www.sec.gov/Archives/edgar/data/1627720/000173016822000046/xslF345X03/wf-form4_164850111957329.xml,1627720
Kawwas Charlie B,Chief Operating Officer,Mar 24,Sale,619.89,2520.0,1562113.0,74436.0,Mar 28 05:17 PM,http://www.sec.gov/Archives/edgar/data/1608425/000173016822000048/xslF345X03/wf-form4_164850196099055.xml,1608425
Krause Thomas H.,President of Broadcom SW Group,Mar 16,Sale,585.29,13863.0,8113929.0,36960.0,Mar 17 05:02 PM,http://www.sec.gov/Archives/edgar/data/1670643/000173016822000042/xslF345X03/wf-form4_164755095927152.xml,1670643
FERNANDEZ RAUL J,Director,Mar 10,Buy,582.5,68.0,39610.0,2710.0,Mar 14 04:56 PM,http://www.sec.gov/Archives/edgar/data/1106627/000173016822000036/xslF345X03/wf-form4_164729117256288.xml,1106627
FERNANDEZ RAUL J,Director,Mar 09,Buy,588.79,66.0,38860.0,2642.0,Mar 10 05:10 PM,http://www.sec.gov/Archives/edgar/data/1106627/000173016822000033/xslF345X03/wf-form4_164695018644594.xml,1106627
FERNANDEZ RAUL J,Director,Mar 08,Buy,579.53,34.0,19704.0,2576.0,Mar 10 05:10 PM,http://www.sec.gov/Archives/edgar/data/1106627/000173016822000033/xslF345X03/wf-form4_164695018644594.xml,1106627
Bryant Diane M,Director,Mar 08,Sale,572.17,800.0,457736.0,1623.0,Mar 10 05:02 PM,http://www.sec.gov/Archives/edgar/data/1687544/000173016822000031/xslF345X03/wf-form4_164694971574250.xml,1687544
