Date,Status,Outer,Previous_ratting,Current_ratting,Previous_price,Current_price
2023-02-15,Initiated,Barclays,Overweight,Overweight,275,275
2023-01-30,Upgrade,Berenberg,Hold,Buy,255,200
2023-01-27,Reiterated,Argus,Buy,Buy,374,257
2023-01-23,Reiterated,Truist,Buy,Buy,299,245
2023-01-13,Downgrade,Guggenheim,Neutral,Sell,,
2023-01-09,Reiterated,BofA Securities,Neutral,Neutral,275,135
2023-01-05,Upgrade,Edward Jones,Hold,Buy,,
2023-01-03,Reiterated,Truist,Buy,Buy,348,299
2023-01-03,Reiterated,JP Morgan,Underweight,Underweight,150,125
2023-01-03,Reiterated,Goldman,Buy,Buy,235,205
2022-12-29,Reiterated,Morgan Stanley,Overweight,Overweight,330,250
2022-12-28,Reiterated,Robert W. Baird,Outperform,Outperform,316,252
2022-12-23,Reiterated,Wedbush,Outperform,Outperform,250,175
2022-12-22,Reiterated,Canaccord Genuity,Buy,Buy,304,275
2022-12-19,Downgrade,Oppenheimer,Outperform,Perform,,
2022-11-23,Upgrade,Citigroup,Sell,Neutral,141.33,176
2022-10-20,Reiterated,Wolfe Research,Outperform,Outperform,360,288
2022-10-20,Reiterated,Wedbush,Outperform,Outperform,360,300
2022-10-20,Reiterated,ROTH Capital,Neutral,Neutral,83.33,85
2022-10-20,Reiterated,RBC Capital Mkts,Outperform,Outperform,340,325
2022-10-20,Reiterated,Mizuho,Buy,Buy,370.0,330.0
