Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,SEC Form 4 Link,Insider_id
Baglino Andrew D,SVP Powertrain and Energy Eng.,Jan 27,Option Exercise,20.91,10500.0,219555.0,74759.0,Jan 31 07:34 PM,http://www.sec.gov/Archives/edgar/data/1318605/000179056523000001/xslF345X03/edgardoc.xml,1790565
Baglino Andrew D,SVP Powertrain and Energy Eng.,Jan 27,Sale,162.5,10500.0,1706250.0,64259.0,Jan 31 07:34 PM,http://www.sec.gov/Archives/edgar/data/1318605/000179056523000001/xslF345X03/edgardoc.xml,1790565
Kirkhorn Zachary,Chief Financial Officer,Jan 04,Sale,109.31,3752.0,410158.0,200411.0,Jan 06 09:33 PM,http://www.sec.gov/Archives/edgar/data/1318605/000177136423000002/xslF345X03/edgardoc.xml,1771364
Kirkhorn Zachary,Chief Financial Officer,Dec 28,Option Exercise,18.44,13500.0,248940.0,204314.0,Dec 30 06:15 PM,http://www.sec.gov/Archives/edgar/data/1318605/000177136422000011/xslF345X03/edgardoc.xml,1771364
Baglino Andrew D,SVP Powertrain and Energy Eng.,Dec 27,Option Exercise,20.91,10500.0,219555.0,74759.0,Dec 29 07:50 PM,http://www.sec.gov/Archives/edgar/data/1318605/000179056522000017/xslF345X03/edgardoc.xml,1790565
Baglino Andrew D,SVP Powertrain and Energy Eng.,Dec 27,Sale,117.5,10500.0,1233750.0,64259.0,Dec 29 07:50 PM,http://www.sec.gov/Archives/edgar/data/1318605/000179056522000017/xslF345X03/edgardoc.xml,1790565
Musk Elon,CEO,Dec 14,Sale,158.37,6870000.0,1088011570.0,423622432.0,Dec 14 08:59 PM,http://www.sec.gov/Archives/edgar/data/1318605/000089924322038522/xslF345X03/doc4.xml,1494730
Musk Elon,CEO,Dec 13,Sale,163.83,11920000.0,1952847111.0,430492432.0,Dec 14 08:59 PM,http://www.sec.gov/Archives/edgar/data/1318605/000089924322038522/xslF345X03/doc4.xml,1494730
Musk Elon,CEO,Dec 12,Sale,168.55,3205000.0,540206908.0,442412432.0,Dec 14 08:59 PM,http://www.sec.gov/Archives/edgar/data/1318605/000089924322038522/xslF345X03/doc4.xml,1494730
Kirkhorn Zachary,Chief Financial Officer,Dec 06,Sale,178.07,7584.0,1350469.0,190814.0,Dec 07 08:01 PM,http://www.sec.gov/Archives/edgar/data/1318605/000177136422000010/xslF345X03/edgardoc.xml,1771364
Baglino Andrew D,SVP Powertrain and Energy Eng.,Dec 06,Sale,178.07,1312.0,233676.0,64259.0,Dec 07 07:59 PM,http://www.sec.gov/Archives/edgar/data/1318605/000179056522000016/xslF345X03/edgardoc.xml,1790565
Taneja Vaibhav,Chief Accounting Officer,Dec 06,Sale,178.07,3768.0,670935.0,95785.0,Dec 07 08:16 PM,http://www.sec.gov/Archives/edgar/data/1318605/000177134022000012/xslF345X03/edgardoc.xml,1771340
Kirkhorn Zachary,Chief Financial Officer,Dec 05,Option Exercise,0.0,16871.0,0.0,198397.0,Dec 07 08:01 PM,http://www.sec.gov/Archives/edgar/data/1318605/000177136422000010/xslF345X03/edgardoc.xml,1771364
Baglino Andrew D,SVP Powertrain and Energy Eng.,Dec 05,Option Exercise,0.0,2583.0,0.0,65572.0,Dec 07 07:59 PM,http://www.sec.gov/Archives/edgar/data/1318605/000179056522000016/xslF345X03/edgardoc.xml,1790565
Taneja Vaibhav,Chief Accounting Officer,Dec 05,Option Exercise,0.0,8229.0,0.0,99553.0,Dec 07 08:16 PM,http://www.sec.gov/Archives/edgar/data/1318605/000177134022000012/xslF345X03/edgardoc.xml,1771340
Kirkhorn Zachary,Chief Financial Officer,Dec 05,Sale,189.5,3750.0,710625.0,181526.0,Dec 07 08:01 PM,http://www.sec.gov/Archives/edgar/data/1318605/000177136422000010/xslF345X03/edgardoc.xml,1771364
Baglino Andrew D,SVP Powertrain and Energy Eng.,Nov 28,Option Exercise,20.91,10500.0,219555.0,73488.0,Nov 30 04:42 PM,http://www.sec.gov/Archives/edgar/data/1318605/000179056522000015/xslF345X03/edgardoc.xml,1790565
Baglino Andrew D,SVP Powertrain and Energy Eng.,Nov 28,Sale,179.57,10500.0,1885485.0,62988.0,Nov 30 04:42 PM,http://www.sec.gov/Archives/edgar/data/1318605/000179056522000015/xslF345X03/edgardoc.xml,1790565
Musk Elon,CEO,Nov 08,Sale,191.63,4400000.0,843163160.0,445617432.0,Nov 08 08:18 PM,http://www.sec.gov/Archives/edgar/data/1318605/000089924322035394/xslF345X03/doc4.xml,1494730
Musk Elon,CEO,Nov 07,Sale,200.58,5450000.0,1093165509.0,450017432.0,Nov 08 08:16 PM,http://www.sec.gov/Archives/edgar/data/1318605/000089924322035393/xslF345X03/doc4.xml,1494730
Kirkhorn Zachary,Chief Financial Officer,Nov 04,Sale,222.5,3751.0,834542.0,185276.0,Nov 08 06:43 PM,http://www.sec.gov/Archives/edgar/data/1318605/000177136422000009/xslF345X03/edgardoc.xml,1771364
Musk Elon,CEO,Nov 04,Sale,208.58,9650000.0,2012758726.0,455467432.0,Nov 08 08:13 PM,http://www.sec.gov/Archives/edgar/data/1318605/000089924322035390/xslF345X03/doc4.xml,1494730
Baglino Andrew D,SVP Powertrain and Energy Eng.,Oct 27,Option Exercise,20.91,10500.0,219555.0,73488.0,Oct 31 07:06 PM,http://www.sec.gov/Archives/edgar/data/1318605/000179056522000014/xslF345X03/edgardoc.xml,1790565
Baglino Andrew D,SVP Powertrain and Energy Eng.,Oct 27,Sale,229.95,10500.0,2414475.0,62988.0,Oct 31 07:06 PM,http://www.sec.gov/Archives/edgar/data/1318605/000179056522000014/xslF345X03/edgardoc.xml,1790565
Kirkhorn Zachary,Chief Financial Officer,Oct 04,Sale,250.5,3750.0,939375.0,189027.0,Oct 05 07:35 PM,http://www.sec.gov/Archives/edgar/data/1318605/000177136422000008/xslF345X03/edgardoc.xml,1771364
Baglino Andrew D,SVP Powertrain and Energy Eng.,Sep 27,Option Exercise,20.91,10500.0,219555.0,73488.0,Sep 30 07:03 PM,http://www.sec.gov/Archives/edgar/data/1318605/000179056522000013/xslF345X03/edgardoc.xml,1790565
Baglino Andrew D,SVP Powertrain and Energy Eng.,Sep 27,Sale,284.01,10500.0,2982105.0,62988.0,Sep 30 07:03 PM,http://www.sec.gov/Archives/edgar/data/1318605/000179056522000013/xslF345X03/edgardoc.xml,1790565
Kirkhorn Zachary,Chief Financial Officer,Sep 12,Sale,300.59,3750.0,1127212.0,192777.0,Sep 14 07:47 PM,http://www.sec.gov/Archives/edgar/data/1318605/000177136422000007/xslF345X03/edgardoc.xml,1771364
Wilson-Thompson Kathleen,Director,Sep 08,Option Exercise,14.99,26250.0,393488.0,31650.0,Sep 12 09:44 PM,http://www.sec.gov/Archives/edgar/data/1318605/000177134022000010/xslF345X03/primary_doc.xml,1331680
Wilson-Thompson Kathleen,Director,Sep 08,Sale,278.93,26250.0,7321912.0,5400.0,Sep 12 09:44 PM,http://www.sec.gov/Archives/edgar/data/1318605/000177134022000010/xslF345X03/primary_doc.xml,1331680
