fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2022-03-31,CNY,142759000000,None,None,None,None,39455000000.0,53309000000.0,None,None,None,-198592000000.0,-64449000000,None,None,None,None,None,None,None,None,None,None,-61225000000,None,None,None,62249000000,annual
2021-03-31,CNY,231786000000,None,None,None,None,47909000000.0,43185000000.0,None,None,None,-244194000000.0,30082000000,None,None,None,None,None,None,None,None,None,None,-773000000,None,None,None,150578000000,annual
2020-03-31,CNY,180607000000,None,None,None,None,42427000000.0,45386000000.0,None,None,None,-108072000000.0,70853000000,None,None,None,None,None,None,None,None,None,None,91506000000,None,None,None,149433000000,annual
2019-03-31,CNY,150975000000,None,None,None,None,37080000000.0,49643000000.0,0,0,None,-151060000000.0,-7392000000,None,None,None,None,0,0,None,None,None,None,-10872000000,None,0,0,87886000000,annual
2018-03-31,CNY,125171000000,None,None,None,None,22020000000.0,29836000000.0,0,0,None,-83764000000.0,20359000000,None,None,None,None,0,0,None,None,None,None,399000000,None,0,0,64093000000,annual
2022-09-30,CNY,47112000000,None,None,None,None,9876000000.0,12112000000.0,None,None,None,-8148000000.0,-11470000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-20433000000,quarterly
2022-06-30,CNY,33869000000,None,None,None,None,9446000000.0,11843000000.0,None,None,None,-27607000000.0,-21022000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22659000000,quarterly
2022-03-31,CNY,-7040000000,None,None,None,None,10393000000.0,11502000000.0,None,None,None,-87254000000.0,-10614000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-16116000000,quarterly
2021-12-31,CNY,80366000000,None,None,None,None,9379000000.0,13351000000.0,None,None,None,-33790000000.0,-18697000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,20546000000,quarterly
2021-09-30,CNY,35830000000,None,None,None,None,9713000000.0,15938000000.0,None,None,None,-29773000000.0,-23670000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5488000000,quarterly
2021-06-30,CNY,24183000000,None,None,None,None,3415000000.0,12518000000.0,None,None,None,-47775000000.0,30270000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-5366000000,quarterly
2021-03-31,CNY,33603000000,None,None,None,None,3073000000.0,7688000000.0,None,None,None,-27701000000.0,-11468000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45068000000,quarterly
2020-12-31,CNY,103208000000,None,None,None,None,10299000000.0,5844000000.0,None,None,None,-79712000000.0,-5685000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,79535000000,quarterly
2020-09-30,CNY,54296000000,None,None,None,None,9197000000.0,14280000000.0,None,None,None,-69053000000.0,10106000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28876000000,quarterly
2020-06-30,CNY,50099000000,None,None,None,None,8619000000.0,13638000000.0,None,None,None,-67728000000.0,-4609000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,47533000000,quarterly
2020-03-31,CNY,2164000000,None,None,None,None,18173000000.0,45386000000.0,None,None,None,-32995000000.0,2967000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3220000000,quarterly
2019-12-31,CNY,96505000000,None,None,None,None,220.61,32987000000.0,0,0,None,-32588000000.0,61287000000,None,None,None,None,0,0,None,None,None,None,0,None,0,0,52174000000,quarterly
2019-09-30,CNY,47326000000,None,None,None,None,218.49,21054000000.0,0,0,None,-21353000000.0,2106000000,None,None,None,None,0,0,None,None,None,None,0,None,0,0,72591000000,quarterly
2019-06-30,CNY,34612000000,None,None,None,None,3066000000.0,8777000000.0,0,0,None,-21136000000.0,4493000000,None,None,None,None,0,0,None,None,None,None,0,None,0,0,21448000000,quarterly
2019-03-31,CNY,18553000000,None,None,None,None,3203000000.0,3146000000.0,0,0,None,-151060000000.0,719000000,None,None,None,None,0,0,None,None,None,None,0,None,0,0,25913000000,quarterly
2018-12-31,CNY,64898000000,None,None,None,None,146891721.76,213468545.3,0,0,None,-656362938.04,-8915000000,None,None,None,None,0,0,None,None,None,None,0,None,0,0,33120000000,quarterly
2018-09-30,CNY,31407000000,None,None,None,None,897669204.68,1804364599.86,0,0,None,-4598116146.69,-3477000000,None,None,None,None,0,0,None,None,None,None,0,None,0,0,20133000000,quarterly
2018-06-30,CNY,36117000000,None,None,None,None,2104000000.0,1680413917.22,0,0,None,-10748350329.93,4281000000,None,None,None,None,0,0,None,None,None,None,0,None,0,0,8720000000,quarterly
2018-03-31,CNY,14180000000,None,None,None,None,1329000000.0,4750577183.35,None,0,None,-3155162805.51,-4605000000,None,None,None,None,0,0,None,None,None,None,63529973.73,None,None,None,7669000000,quarterly
2017-12-31,CNY,55173000000,None,None,None,None,4578000000.0,10422000000.0,None,None,None,-24479000000.0,34274000000,None,None,None,None,None,None,None,None,None,None,399000000,None,None,None,24073000000,quarterly
2017-09-30,CNY,30507000000,None,None,None,None,6306000000.0,1842995000.0,None,None,None,-25683000000.0,-416000000,None,None,None,None,None,None,None,None,None,None,56000000,None,None,None,17668000000,quarterly
