fiscalDateEnding,reportedEPS
2022-12-31,24.6
2022-03-31,52.62
2021-03-31,65.14
2020-03-31,53.04
2019-03-31,38.4
2018-03-31,32.86
2017-03-31,23.53
2016-03-31,16.76
2015-03-31,10.77
