fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,report_type
2022-03-31,CNY,313612000000,853062000000,539450000000,539450000000,69638000000,31922000000,55465000000,218833000000,None,-20611000000,30496000000,20611000000,None,None,None,11647000000,59550000000,26815000000,None,47079000000.0,None,109675000000,121322000000,62249000000,annual
2021-03-31,CNY,296084000000,717289000000,421205000000,421205000000,89678000000,55224000000,57236000000,206406000000,None,68318000000,72794000000,4476000000,None,None,None,47909000000,165578000000,29278000000,None,143284000000.0,None,184332000000,232241000000,150578000000,annual
2020-03-31,CNY,227344000000,509711000000,282367000000,282367000000,91430000000,28197000000,43080000000,134340000000,None,67776000000,72956000000,5180000000,None,None,None,42427000000,166645000000,20562000000,None,140350000000.0,None,175175000000,217602000000,149433000000,annual
2019-03-31,CNY,169915000000,376844000000,206929000000,206929000000,57084000000,24889000000,37435000000,112165000000,None,38916000000,44106000000,5190000000,None,0,None,37080000000,96221000000,16553000000,None,80234000000.0,None,109629000000,146709000000,87886000000,annual
2018-03-31,CNY,143222000000,250266000000,107044000000,107044000000,69314000000,16241000000,22754000000,72859000000,None,26929000000,30495000000,3566000000,None,0,None,22020000000,100403000000,18199000000,None,61412000000.0,None,85858000000,107878000000,64093000000,annual
2022-09-30,CNY,75966000000,207176000000,131210000000,131210000000,25137000000,10591000000,15150000000,50829000000,None,-43840000000,1388000000,43840000000,None,None,None,2729000000,-15759000000,2572000000,None,-22467000000.0,None,25979000000,28708000000,-20433000000,quarterly
2022-06-30,CNY,75898000000,205555000000,129657000000,129657000000,24943000000,8433000000,14193000000,50955000000,None,4125000000,5369000000,1244000000,None,None,None,2751000000,29177000000,5399000000,None,20298000000.0,None,29302000000,32053000000,22659000000,quarterly
2022-03-31,CNY,65107000000,204052000000,138945000000,138945000000,16717000000,34615000000,10944000000,48390000000,None,-37897000000,1189000000,1189000000,None,None,None,2831000000,-19560000000,2079000000,None,-18357000000.0,None,23860000000,26691000000,-16116000000,quarterly
2021-12-31,CNY,95922000000,242580000000,146658000000,146658000000,7068000000,45171000000,15705000000,63713000000,None,17175000000,18361000000,1186000000,None,None,None,2837000000,29326000000,9553000000,None,19224000000.0,None,31285000000,34122000000,20546000000,quarterly
2021-09-30,CNY,70940000000,200690000000,129750000000,129750000000,15006000000,37731000000,15297000000,55934000000,None,-12723000000,1267000000,1272300000,None,None,None,2906000000,3946000000,6087000000,None,3377000000.0,None,24298000000,27204000000,5488000000,quarterly
2021-06-30,CNY,81643000000,205740000000,124097000000,124097000000,30847000000,34204000000,13302000000,69604000000,None,12834000000,12834000000,1160000000,None,None,None,3415000000,45838000000,7049000000,None,42835000000.0,None,2843000000,6258000000,45141000000,quarterly
2021-03-31,CNY,61941000000,187395000000,125454000000,125454000000,-7663000000,27734000000,13519000000,50796000000,None,-1049000000,1049000000,1267000000,None,None,None,3073000000,-6597000000,9096000000,None,-7654000000.0,None,55431000000,58504000000,-5479000000,quarterly
2020-12-31,CNY,99816000000,221084000000,121268000000,121268000000,49002000000,8692000000,13607000000,50814000000,None,38944000000,40036000000,1092000000,None,None,None,3172000000,90772000000,9194000000,None,77977000000.0,None,89821000000,92993000000,79535000000,quarterly
2020-09-30,CNY,65099000000,155059000000,89960000000,89960000000,13634000000,11961000000,19245000000,51465000000,None,9409000000,10510000000,1101000000,None,None,None,2888000000,24191000000,1911000000,None,26524000000.0,None,31888000000,34776000000,28876000000,quarterly
2020-06-30,CNY,69228000000,153751000000,84523000000,84523000000,34705000000,6837000000,11082000000,34523000000,None,21014000000,22137000000,1123000000,None,None,None,2952000000,57212000000,11124000000,None,46437000000.0,None,59780000000,62732000000,47533000000,quarterly
2020-03-31,CNY,41812000000,114314000000,72502000000,72502000000,7131000000,7871000000,10587000000,33683000000,None,-8880000000,7715000000,1165000000,None,None,None,4044000000,-569000000,2628000000,None,348000000.0,None,7013000000,11057000000,3220000000,quarterly
2019-12-31,CNY,77124000000,161456000000,84332000000,84332000000,39560000000,7415000000,11077000000,37564000000,None,15827000000,17136000000,1309000000,None,0,None,3272000000,56374000000,8407000000,None,50132000000.0,None,61890000000,65162000000,52174000000,quarterly
2019-09-30,CNY,53471000000,119017000000,65546000000,65546000000,20364000000,6591000000,10938000000,32531000000,None,61988000000,63348000000,1360000000,None,0,None,3006000000,85523000000,2815000000,None,70748000000.0,None,76766000000,79772000000,72591000000,quarterly
2019-06-30,CNY,54937000000,114924000000,59987000000,59987000000,24375000000,6320000000,10478000000,30562000000,None,-1159000000,187000000,1346000000,None,0,None,3066000000,25317000000,6712000000,None,19122000000.0,None,29506000000,32572000000,21448000000,quarterly
2019-03-31,CNY,37888000000,93498000000,55610000000,55610000000,8765000000,7612000000,8659000000,28457000000,None,17362000000,17362000000,1303000000,None,0,None,3203000000,27576000000,5025000000,None,23379000000.0,None,32241000000,35444000000,25913000000,quarterly
2018-12-31,CNY,56465000000,117278000000,60813000000,60813000000,26798000000,5853000000,8901000000,29667000000,None,None,None,1334000000,None,0,None,2809000000,37411000000,5586000000,None,654439607.58,None,40040000000,42849000000,33120000000,quarterly
2018-09-30,CNY,38362000000,85148000000,46786000000,46786000000,13501000000,4779000000,8365000000,24861000000,None,None,None,1340000000,None,0,None,2611000000,17264000000,277000000,None,2655592598.52,None,21750000000,24361000000,20133000000,quarterly
2018-06-30,CNY,37200000000,80920000000,43720000000,43720000000,8020000000,6645000000,11510000000,29180000000,None,None,None,1213000000,None,0,None,2104000000,13970000000,5665000000,None,1147270545.89,None,15598000000,17702000000,8720000000,quarterly
2018-03-31,CNY,29428000000,61932000000,32504000000,32504000000,9221000000,4551000000,6686000000,19652000000,None,None,None,1175000000,None,None,None,1329000000,10875000000,4164000000,None,1057399888.54,None,13008000000,14337000000,7669000000,quarterly
2017-12-31,CNY,47950000000,83028000000,35078000000,35078000000,25996000000,4572000000,6289000000,21460000000,None,None,None,844000000,None,None,None,2057000000,48447000000,6663000000,None,33986000000.0,None,31580000000,33637000000,24073000000,quarterly
2017-09-30,CNY,33120000000,55122000000,22002000000,22002000000,16584000000,3439000000,5083000000,16536000000,None,None,None,747000000,None,None,None,1748000000,21009000000,2719000000,None,-24685000000.0,None,21134000000,22882000000,17668000000,quarterly
