fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,report_type
2022-03-31,CNY,1695553000000,638535000000,189898000000,189898000000,30087000000,None,1057018000000,171806000000.0,None,59231000000,59231000000,269581000000,None,443253000000.0,265187000000,183450000000,None,613360000000,383784000000,None,None,None,8841000000,229576000000,35253000000,132503000000.0,8841000000,None,141344000000,271460000000,31877000000,948479000000,None,563557000000,1000000,2747750000,annual
2021-03-31,CNY,1690218000000,643360000000,321262000000,321262000000,27858000000,None,1046858000000,147412000000.0,None,70833000000,70833000000,292771000000,None,437410000000.0,162183000000,75134000000,None,615257000000,377358000000,None,None,None,17506000000,237899000000,32286000000,135716000000.0,13437000000,None,181439000000,195355000000,30754000000,937470000000,None,554924000000,1000000,2747750000,annual
2020-03-31,CNY,1312985000000,462923000000,330503000000,330503000000,14859000000,None,850062000000,138047000000.0,None,60947000000,60947000000,276782000000,None,350961000000.0,32712000000,41224000000,None,442437000000,241872000000,None,None,None,7920000000,200565000000,21857000000,120276000000.0,5154000000,None,147287000000,130862000000,1322000000,755401000000,None,406287000000,1000000,2668250000,annual
2019-03-31,CNY,965076000000,270273000000,189976000000,189976000000,8534000000,None,694803000000,92030000000.0,0,74695000000,74695000000,264935000000,None,241544000000.0,13189000000,28654000000,None,356493000000,207669000000,None,None,None,22466000000,148824000000,0,111834000000.0,22466000000,None,134300000000,112066000000,2315000000,492257000000,0,257886000000,1000000,2623000000,annual
2018-03-31,CNY,717124000000,256855000000,199309000000,199309000000,4535000000,None,460269000000,66489000000.0,0,36842000000,36842000000,162149000000,None,177892000000.0,10901000000,16740000000,None,280686000000,135810000000,None,None,None,6028000000,144876000000,0,119525000000.0,6028000000,None,125553000000,91636000000,1637000000,365822000000,-2233000000,172353000000,1000000,2610000000,annual
2022-09-30,CNY,1712544000000,677709000000,206711000000,206711000000,None,None,1034835000000,179567000000.0,None,54431000000,54431000000,271018000000,None,418161000000.0,280399000000,190599000000,None,630072000000,382861000000,None,None,None,11602000000,247211000000,None,149838000000.0,11602000000,None,161440000000,99396000000,31554000000,947937000000,None,546322000000,1000000,2645500000,quarterly
2022-06-30,CNY,1708368000000,644964000000,176732000000,176732000000,None,None,1063404000000,177812000000.0,None,56733000000,56733000000,270531000000,None,446782000000.0,286551000000,181681000000,None,612038000000,375584000000,None,None,None,13549000000,236454000000,None,138462000000.0,13549000000,None,152011000000,17461000000,31806000000,963240000000,None,567447000000,1000000,2673000000,quarterly
2022-03-31,CNY,1695553000000,638535000000,189898000000,189898000000,30087000000,None,1057018000000,171806000000.0,None,59231000000,59231000000,269581000000,None,443253000000.0,265187000000,183450000000,None,613360000000,383784000000,None,None,None,8841000000,229576000000,35253000000,132503000000.0,8841000000,None,141344000000,271460000000,31877000000,948479000000,None,563557000000,1000000,2675125000,quarterly
2021-12-31,CNY,1760567000000,675138000000,293113000000,293113000000,None,None,1085429000000,165056000000.0,None,61935000000,61935000000,269237000000,None,476341000000.0,201820000000,180205000000,None,651021000000,410507000000,None,None,None,7906000000,240514000000,None,131731000000.0,7906000000,None,139637000000,281867000000,32440000000,974299000000,-1115000000,581634000000,1000000,2714500000,quarterly
2021-09-30,CNY,1725674000000,638047000000,272206000000,272206000000,None,None,1087627000000,157066000000.0,None,64888000000,64888000000,294888000000,None,461374000000.0,186999000000,178842000000,None,627751000000,387863000000,None,None,None,18846000000,239888000000,None,132907000000.0,18846000000,None,151753000000,265937000000,31406000000,962824000000,-807000000,569720000000,1000000,2724250000,quarterly
