fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2021-12-31,USD,15787000000,438000000,None,-36000000,-5878000000,7318000000,6227000000,-7656000000,1778000000,17910000000,2745000000,-23498000000,3273000000,0,0,None,403000000,403000000,None,None,None,None,0,None,-5198000000,-232000000,17937000000,annual
2020-12-31,USD,24269000000,449000000,None,6809000000,-12252000000,8774000000,5742000000,-12104000000,-148000000,-1276000000,-18615000000,2315000000,-2291000000,0,0,None,596000000,596000000,None,None,None,None,None,None,8194000000,225000000,-1279000000,annual
2019-12-31,USD,17639000000,466000000,None,5260000000,610000000,10493000000,7632000000,816000000,-206000000,84000000,-13721000000,-3129000000,-1384000000,237000000,237000000,None,2389000000,2389000000,None,None,None,None,-237000000,None,834000000,45000000,47000000,annual
2018-12-31,USD,15022000000,None,None,6781000000,3067000000,9385000000,7785000000,2239000000,828000000,3695000000,-16261000000,-122000000,-2819000000,164000000,164000000,None,2905000000,2905000000,None,None,None,None,-164000000,None,11505000000,-370000000,3677000000,annual
2017-12-31,USD,18096000000,None,None,6089000000,3256000000,9241000000,7049000000,2297000000,970000000,7757000000,-19360000000,3394000000,1229000000,131000000,131000000,None,2584000000,2584000000,None,None,None,None,-131000000,None,21173000000,489000000,7602000000,annual
2022-09-30,USD,3812000000,None,None,5273000000,3643000000,1627000000,1732000000,1990000000,-1653000000,-930000000,-3517000000,1696000000,1055000000,0,0,None,603000000,603000000,None,0,13987000000,None,0,None,1991000000,None,-827000000,quarterly
2022-06-30,USD,2947000000,None,None,1466000000,2171000000,1619000000,1699000000,2419000000,248000000,638000000,827000000,-4579000000,1209000000,0,0,None,402000000,402000000,None,0,6379000000,None,0,None,638000000,None,667000000,quarterly
2022-03-31,USD,-1084000000,None,None,1714000000,4947000000,1547000000,1370000000,2192000000,-2755000000,-3119000000,3315000000,-1661000000,-614000000,0,0,None,405000000,405000000,None,0,12489000000,None,0,None,570000000,None,-3110000000,quarterly
2021-12-31,USD,3531000000,None,None,475000000,-499000000,2874000000,1772000000,852000000,1351000000,12273000000,-2263000000,-8078000000,1705000000,0,0,None,400000000,400000000,None,0,0,None,0,None,-7042000000,-232000000,12282000000,quarterly
2021-09-30,USD,7008000000,None,None,5927000000,2157000000,1520000000,1574000000,1957000000,-200000000,1822000000,-1170000000,-1222000000,678000000,0,0,None,0,0,None,0,7612000000,None,0,None,1822000000,None,1832000000,quarterly
2021-06-30,USD,756000000,None,None,-6631000000,-7013000000,1182000000,1513000000,-7766000000,-753000000,553000000,6669000000,-6405000000,617000000,0,0,None,0,0,None,0,4757000000,None,0,None,553000000,None,561000000,quarterly
2021-03-31,USD,4492000000,None,None,193000000,-523000000,1742000000,1368000000,-2699000000,-2176000000,3262000000,-491000000,-7793000000,273000000,0,0,None,3000000,3000000,None,0,6931000000,None,0,None,-3792000000,None,3262000000,quarterly
