fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,report_type
2022-12-31,TWD,None,2263889424000,None,None,731698081000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1016922033000.0,None,None,1016526072000,1016526072000,annual
2021-12-31,TWD,819537300000,1587415000000,767877700000,767877700000,649980900000,36929600000,124734800000,169556400000,None,294000000,5897000000,5414200000,None,None,None,422394900000,663036000000,70155400000,None,597073134000.0,None,667928800000,1090323700000,592359200000,annual
2020-12-31,TWD,711130100000,1339238500000,628108400000,628108400000,566783700000,28457600000,109486000000,144346400000,None,6936945000,10530000000,2081500000,None,None,None,331724600000,584746300000,73738300000,None,518158082000.0,None,586563800000,918288400000,510744000000,annual
2019-12-31,TWD,492701900000,1069988800000,577286900000,577286900000,372701100000,21737200000,91418700000,119352200000,None,12938500000,16485488000,3250900000,None,0,None,286884200000,389862100000,35835100000,None,354027000000.0,None,393034000000,679918200000,353948000000,annual
2018-12-31,TWD,497874300000,1031361800000,533487500000,533487500000,383623500000,20265900000,85895600000,112821700000,None,11643300000,14012124000,3051100000,None,0,None,292546300000,397543100000,34436900000,None,363106200000.0,None,400540700000,693087000000,363052700000,annual
2022-12-31,TWD,None,625530000000,None,None,-64540000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,295900000000.0,None,None,295900000000,295900000000,quarterly
2022-09-30,TWD,370498717000,613142743000,242644026000,242644026000,310324214000,14499002000,42977507000,60174503000,None,3245026000,6615044000,3370018000,None,None,None,105345666000,316690867000,35722460000,None,280968407000.0,None,319958258000,425303924000,280865780000,quarterly
2022-06-30,TWD,315467994000,534140808000,218672814000,218672814000,262123749000,11568594000,39649130000,53344245000,None,641714000,3545945000,2904231000,None,None,None,113224647000,265998281000,28818029000,None,237180252000.0,None,268749577000,381974224000,237027317000,quarterly
2022-03-31,TWD,273203166000,491075873000,217872707000,217872707000,223790118000,10500027000,36048540000,49413048000,None,-466887000,1259000000,2140766000,None,None,None,111102063000,226831696000,23958322000,None,202873374000.0,None,228832063000,339934126000,202732975000,quarterly
2021-12-31,TWD,230755000000,438189000000,207434000000,207434000000,182772000000,15639000000,32239000000,47983000000,None,-712000000,939000000,712000000,None,None,None,110663000000,184819000000,18446000000,None,166373515000.0,None,183966000000,294629000000,166232000000,quarterly
2021-09-30,TWD,212746195000,414567890000,201821695000,201821695000,171003548000,8929793000,30866634000,41742647000,None,22481000,1536000000,1334063000,None,None,None,107027000000,173851639000,17372485000,None,201164203000.0,None,174964835000,281991835000,156258287000,quarterly
2021-06-30,TWD,186196770000,372107859000,185911089000,185911089000,145667210000,7826555000,30873342000,40529560000,None,294282000,1466000000,1134405000,None,None,None,103805182000,149375511000,11971360000,None,134481716000.0,None,150395772000,254200954000,137290007000,quarterly
2021-03-31,TWD,195236305000,361580627000,166344322000,166344322000,157120000000,6387579000,29940323000,38116129000,None,688809000,1956000000,768627000,None,None,None,97561795000,161076481000,25402039000,None,139738749000.0,None,161795713000,259357508000,135625047000,quarterly
2020-12-31,TWD,195236325000,361580556000,166344231000,166344231000,157120174000,6387572000,29940412000,38116151000,None,884424000,2240000000,768627000,None,None,None,97561886000,161107361000,18282837000,None,142824524000.0,None,161817898000,259379784000,142766434000,quarterly
2020-09-30,TWD,190493496000,356439030000,165945534000,165945534000,150047349000,9272555000,29683751000,40446147000,None,1524799000,4820918000,373164000,None,None,None,94733076000,155124003000,17745852000,None,185714412000.0,None,155429056000,250162132000,137310040000,quarterly
2020-06-30,TWD,164623791000,310629333000,146005542000,146005542000,131094538000,6894405000,24893043000,33529253000,None,2069217000,4857965000,409145000,None,None,None,70875252000,136398638000,15506124000,None,120892514000.0,None,136737462000,207612714000,120822193000,quarterly
2020-03-31,TWD,160776508000,310589510000,149813002000,149813002000,128521637000,5903061000,24968883000,32254871000,None,2458505000,3759222000,530564000,None,0,None,68554477000,132147178000,15084285000,None,117062893000.0,None,132601569000,201156046000,116986720000,quarterly
2019-12-31,TWD,159202000000,317237000000,158035000000,158035000000,124244000000,9307000000,25636000000,34958000000,None,2675000000,4243946000,0,None,0,None,67532000000,128782000000,12704000000,None,116078000000.0,None,128739000000,196271000000,116035000000,quarterly
2019-09-30,TWD,139412434000,293025712000,153613278000,153613278000,107887292000,5810048000,23972076000,31525142000,None,3072664000,4417771000,843434000,None,0,None,66756000000,112336271000,11233817000,None,101102454000.0,None,113147137000,179903137000,101069886000,quarterly
2019-06-30,TWD,103730060000,241055305000,137325245000,137325245000,76304053000,4288263000,21393728000,27426007000,None,3682166000,4187997000,864751000,None,0,None,75048350000,80545440000,13769589000,None,66775851000.0,None,81399190000,156447540000,66764850000,quarterly
2019-03-31,TWD,90357557000,218709901000,128352344000,128352344000,64266023000,4140729000,20417311000,26091534000,None,3509711000,4408776000,899065000,None,0,None,77547804000,68181652000,6794342000,None,61387310000.0,None,69087258000,146635062000,61393851000,quarterly
2018-12-31,TWD,138119000000,289771000000,151652000000,151652000000,107124000000,5686868000,23689000000,30995000000,None,None,None,875782000,None,0,None,76030000000,111082000000,11077000000,None,4186.53,None,111936782000,187966782000,99984000000,quarterly
2018-09-30,TWD,123366640000,260333679000,136967039000,136967039000,95245181000,4656730000,21886199000,28121459000,None,None,None,739068000,None,0,None,73609817000,98896942000,9798870000,None,2915989919.82,None,99609566000,173219383000,89071628000,quarterly
2018-06-30,TWD,111530934000,233219641000,121688707000,121688707000,84428146000,5070594000,19891553000,27102788000,None,None,None,628284000,None,None,None,71408684000,87587608000,15294233000,None,2366821359.0,None,88213056000,159621740000,72290539000,quarterly
2018-03-31,TWD,124857539000,247961516000,123103977000,123103977000,96826946000,4851708000,20428594000,28030593000,None,None,None,807966000,None,None,None,71497877000,99943621000,10156047000,None,89787574000.0,None,100748635000,172246512000,89784622000,quarterly
2017-12-31,TWD,138747962000,277602795000,138854833000,138854833000,108894976000,6018259000,21217212000,28755086000,None,None,None,830509000,None,None,None,70813463000,111703770000,10505558000,None,300010168000.0,None,112509013000,183322476000,101172946000,quarterly
