fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-12-31,2023-01-12,1.91,1.76,0.15,8.5227
2022-09-30,2022-10-13,1.79,1.69,0.1,5.9172
2022-06-30,2022-07-14,1.55,1.51,0.04,2.649
2022-03-31,2022-04-14,1.39,1.33,0.06,4.5113
2021-12-31,2022-01-28,1.15,1.14,0.01,0.8772
2021-09-30,2021-10-13,1.08,1.04,0.04,3.8462
2021-06-30,2021-07-15,0.93,0.93,0,0
2021-03-31,2021-04-15,0.96,0.94,0.02,2.1277
2020-12-31,2021-01-14,0.97,0.95,0.02,2.1053
2020-09-30,2020-10-14,0.9,0.77,0.13,16.8831
2020-06-30,2020-07-16,0.78,0.77,0.01,1.2987
2020-03-31,2020-04-16,0.75,0.73,0.02,2.7397
2019-12-31,2020-01-16,0.73,0.73,0,0
2019-09-30,2019-11-08,0.62,0.63,-0.01,-1.5873
2019-06-30,2019-07-25,0.41,0.41,0,0
2019-03-31,2019-04-19,0.39,0.38,0.01,2.6316
2018-12-31,2019-01-21,0.63,0.63,0,0
2018-09-30,2018-10-18,0.56,0.56,0,0
2018-06-30,2018-07-20,0.47,0.47,0,0
2018-03-31,2018-04-19,0.59,0.6,-0.01,-1.6667
2017-12-31,2018-01-17,0.64,0.62,0.02,3.2258
2017-09-30,2017-10-19,0.57,0.57,0,0
2017-06-30,2017-08-14,0.43,0.42,0.01,2.381
2017-03-31,2017-04-13,0.54,0.54,0,0
2016-12-31,2017-01-12,0.61,0.59,0.02,3.3898
2016-09-30,2016-10-13,0.59,0.57,0.02,3.5088
2016-06-30,2016-07-14,0.43,0.41,0.02,4.878
2016-03-31,2016-04-19,0.38,0.38,0,0
2015-12-31,2016-01-14,0.43,0.4,0.03,7.5
2015-09-30,2015-10-16,0.46,0.45,0.01,2.2222
2015-06-30,2015-08-11,0.5,0.47,0.03,6.383
2015-03-31,2015-04-16,0.48,0.48,0,0
2014-12-31,2015-01-15,0.5,0.49,0.01,2.0408
2014-09-30,2014-10-16,0.49,0.48,0.01,2.0833
2014-06-30,2014-07-16,0.38,0.37,0.01,2.7027
2014-03-31,2014-04-17,0.31,0.3,0.01,3.3333
2013-12-31,2014-01-16,0.29,0.27,0.02,7.4074
2013-09-30,2013-10-17,0.34,0.33,0.01,3.0303
2013-06-30,2013-07-18,0.33,0.32,0.01,3.125
2013-03-31,2013-04-18,0.26,0.25,0.01,4
2012-12-31,2013-01-17,0.28,0.28,0,0
2012-09-30,2012-10-25,0.32,0.31,0.01,3.2258
2012-06-30,2012-07-19,0.27,0.27,0,0
2012-03-31,2012-04-26,0.22,0.19,0.03,15.7895
2011-12-31,2012-01-18,0.2,0.2,0,0
2011-09-30,2011-10-27,0.2,0.2,0,0
2011-06-30,2011-07-28,0.24,0.25,-0.01,-4
2011-03-31,2011-04-29,0.24,0.24,0,0
2010-12-31,2011-02-03,0.26,0.26,0,0
2010-09-30,2010-10-28,0.28,0.24,0.04,16.6667
2010-06-30,2010-07-30,0.24,0.23,0.01,4.3478
2010-03-31,2010-04-28,0.2,0.19,0.01,5.2632
2009-12-31,2010-01-28,0.19,0.19,0,0
2009-09-30,2009-10-29,0.18,0.18,0,0
2009-06-30,2009-07-30,0.14,0.13,0.01,7.6923
