fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,report_type
2022-12-31,TWD,4964780000000,None,1561490000000,1561490000000,221150000000,None,None,None,None,None,None,None,None,68930000000.0,None,None,None,2004290000000,944230000000,None,None,None,None,1060060000000,None,None,None,None,None,944230000000,None,2958043348000,None,None,None,5186076000,annual
2021-12-31,TWD,3725302200000,1607072900000,1064990200000,1064990200000,193102300000,None,2118229300000,2089046000000,None,21442500000,21442500000,5379200000,None,29384000000.0,139923500000,10694000000,None,1573619700000,758352800000,None,None,None,119488000000,815266900000,20764214000,610071000000,119488000000,None,753631900000,367340400000,205196000000,2149259800000,None,1887802900000,259303800000,5186076000,annual
2020-12-31,TWD,2760600500000,1092185300000,660170600000,660170600000,137353400000,None,1668415200000,1583317502000,None,20331500000,20331500000,5436600000,None,27728208000.0,141982000000,6590300000,None,924836700000,631898400000,None,None,None,91159000000,292938300000,20560649000,254105000000,88559026000,None,367792300000,275290400000,2395400000,1834811300000,None,1573840100000,259303800000,5186076000,annual
2019-12-31,TWD,2264725000000,822613900000,455399300000,455399300000,82981200000,None,1442111100000,1369609807000,0,14959600000,14959600000,5693400000,None,30092000000.0,139064400000,5346700000,None,650337700000,598363800000,None,None,None,150322300000,51973900000,15041800000,25100000000,150322300000,None,190464100000,228365400000,2128300000,1613705600000,0,1325630400000,259303800000,5186076000,annual
2018-12-31,TWD,2090031200000,951679700000,577814600000,577814600000,103231000000,None,1138351500000,1072050279000,0,11206600000,11206600000,5795500000,None,29208000000.0,135941400000,5429900000,None,428926100000,356837100000,None,None,None,123654700000,72089000000,0,56900000000,123654700000,None,180554700000,101786200000,1951000000,1660428800000,0,1360258900000,259303800000,5186076000,annual
2022-12-31,TWD,4964780000000,None,1561490000000,1561490000000,221150000000,None,None,None,None,None,None,None,None,68930000000.0,None,None,None,2004290000000,944230000000,None,None,None,None,1060060000000,None,None,None,None,None,944230000000,None,2958043348000,None,None,None,5185800000,quarterly
2022-09-30,TWD,4643301766000,2014232358000,1296012784000,1296012784000,218335874000,None,2629069408000,2453839994000,None,20771747000,20771747000,5934805000,None,75795898000.0,222922889000,15346360000,None,1890985607000,807431287000,None,None,None,0,1083554320000,30182353000,845441649000,None,None,875624002000,511498189000,197960667000,2737974306000,None,2066562035000,259303805000,5185833000,quarterly
2022-06-30,TWD,4345941335000,1905866396000,1253189197000,1253189197000,217438091000,None,2440074939000,2282612319000,None,21551737000,21551737000,5657256000,None,64440492000.0,197051641000,13600172000,None,1835479210000,845240981000,None,None,None,115584794000,990238229000,22510412000,757208596000,115584794000,None,895303802000,449078371000,201065286000,2496353192000,None,1844911241000,259303805000,5185833400,quarterly
2022-03-31,TWD,3992676667000,1722237632000,1151589646000,1151589646000,200118682000,None,2270439035000,2104331000000,None,20115420000,20115420000,5504631000,None,45736843000.0,145664807000,11378431000,None,1671207913000,822867707000,None,None,None,144550897000,848340206000,21065933000,629650000000,144550897000,None,798354765000,419054983000,184103733000,2314430096000,-872000000,2038261537000,259317675000,5185966800,quarterly
2021-12-31,TWD,3725302200000,1607072900000,1064990200000,1064990200000,193102300000,None,2118229300000,2089046000000,None,21442500000,21442500000,5379200000,None,29384000000.0,139923500000,10694000000,None,1573619700000,758352800000,None,None,None,119488000000,815266900000,20764200000,610071000000,119488000000,None,753631900000,445837000000,205196000000,2149259800000,None,1887802900000,259303800000,5186076091,quarterly
