fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,3.13,3.13,0,0
2022-06-30,2022-07-27,2.96,2.87,0.09,3.1359
2022-03-31,2022-04-27,3.21,2.91,0.3,10.3093
2021-12-31,2022-02-02,3.23,3.01,0.22,7.309
2021-09-30,2021-11-03,2.55,2.26,0.29,12.8319
2021-06-30,2021-07-28,1.92,1.68,0.24,14.2857
2021-03-31,2021-04-28,1.9,1.67,0.23,13.7725
2020-12-31,2021-02-03,2.17,2.1,0.07,3.3333
2020-09-30,2020-11-04,1.45,1.17,0.28,23.9316
2020-06-30,2020-07-29,0.86,0.71,0.15,21.1268
2020-03-31,2020-04-29,0.88,0.78,0.1,12.8205
2019-12-31,2020-02-05,0.99,0.85,0.14,16.4706
2019-09-30,2019-11-06,0.78,0.71,0.07,9.8592
2019-06-30,2019-07-31,0.8,0.75,0.05,6.6667
2019-03-31,2019-05-01,0.77,0.72,0.05,6.9444
2018-12-31,2019-01-30,1.2,1.09,0.11,10.0917
2018-09-30,2018-11-07,0.9,0.83,0.07,8.4337
2018-06-30,2018-07-25,1.01,0.71,0.3,42.2535
2018-03-31,2018-04-25,0.8,0.68,0.12,17.6471
2017-12-31,2018-01-31,0.98,0.91,0.07,7.6923
2017-09-30,2017-11-01,0.92,0.81,0.11,13.5802
2017-06-30,2017-07-19,0.83,0.81,0.02,2.4691
2017-03-31,2017-04-19,1.34,1.2,0.14,11.6667
2016-12-31,2017-01-25,1.19,1.18,0.01,0.8475
2016-09-30,2016-11-02,1.28,1.13,0.15,13.2743
2016-06-30,2016-07-20,1.16,0.97,0.19,19.5876
2016-03-31,2016-04-20,1.04,0.96,0.08,8.3333
2015-12-31,2016-01-27,0.97,0.9,0.07,7.7778
2015-09-30,2015-11-04,0.91,0.86,0.05,5.814
2015-06-30,2015-07-22,0.99,0.95,0.04,4.2105
2015-03-31,2015-04-22,1.4,1.33,0.07,5.2632
2014-12-31,2015-01-28,1.34,1.25,0.09,7.2
2014-09-30,2014-11-05,1.26,1.31,-0.05,-3.8168
2014-06-30,2014-07-23,1.44,1.22,0.22,18.0328
2014-03-31,2014-04-23,1.31,1.22,0.09,7.377
2013-12-31,2014-01-29,1.01,1.18,-0.17,-14.4068
2013-09-30,2013-11-06,1.05,1.08,-0.03,-2.7778
2013-06-30,2013-07-24,1.03,1.03,0,0
2013-03-31,2013-04-24,1.17,1.17,0,0
2012-12-31,2013-01-30,1.26,1.13,0.13,11.5044
2012-09-30,2012-11-07,0.89,0.82,0.07,8.5366
2012-06-30,2012-07-18,0.85,0.86,-0.01,-1.1628
2012-03-31,2012-04-18,1.01,0.96,0.05,5.2083
2011-12-31,2012-02-01,0.97,0.9,0.07,7.7778
2011-09-30,2011-11-02,0.8,0.78,0.02,2.5641
2011-06-30,2011-07-20,0.73,0.71,0.02,2.8169
2011-03-31,2011-04-20,0.86,0.8,0.06,7.5
2010-12-31,2011-01-26,0.82,0.72,0.1,13.8889
2010-09-30,2010-11-03,0.68,0.59,0.09,15.2542
2010-06-30,2010-07-21,0.57,0.54,0.03,5.5556
2010-03-31,2010-04-21,0.59,0.56,0.03,5.3571
2009-12-31,2010-01-27,0.62,0.56,0.06,10.7143
2009-09-30,2009-11-04,0.64,0.52,0.12,23.0769
