fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2022-09-30,USD,9096000000,None,None,-7000000,7469000000,1762000000,2262000000,2066000000,3137000000,12986000000,-5804000000,-7196000000,-3000000,3129000000,3129000000,None,3212000000,3212000000,None,356000000,1477000000,None,-2773000000,None,-3904000000,None,12936000000,annual
2021-09-30,USD,10536000000,None,None,1586000000,1845000000,1582000000,1888000000,-426000000,622000000,9043000000,-3356000000,-6798000000,1000000,3366000000,3366000000,None,3008000000,3008000000,None,347000000,0,None,-3019000000,None,409000000,27000000,9043000000,annual
2020-09-30,USD,5814000000,153000000,None,1435000000,2796000000,1393000000,1407000000,1529000000,1157000000,5198000000,-5263000000,-5707000000,2000000,2450000000,2450000000,None,2882000000,2882000000,None,329000000,1988000000,None,-2121000000,None,-5132000000,24000000,5198000000,annual
2019-09-30,USD,7286000000,None,None,-2819000000,1724000000,1401000000,887000000,-1373000000,-273000000,4386000000,-806000000,-6386000000,-503000000,1793000000,1793000000,None,2968000000,2968000000,None,414000000,0,None,-1379000000,None,62000000,-32000000,4386000000,annual
2018-09-30,USD,3908000000,270000000,None,593000000,-1101000000,1561000000,784000000,-734000000,-337000000,-4964000000,2381000000,-31500000000,4000000,22580000000,22580000000,None,3466000000,3466000000,None,603000000,0,None,-21977000000,None,-25252000000,-41000000,-4964000000,annual
2022-09-30,USD,1446000000,None,None,319000000,2692000000,490000000,634000000,1850000000,936000000,2923000000,-290000000,-1192000000,-2000000,500000000,500000000,None,841000000,841000000,None,168000000,0,None,-332000000,None,14000000,None,2873000000,quarterly
2022-06-30,USD,2895000000,None,None,-934000000,1127000000,438000000,554000000,-285000000,864000000,3730000000,-4876000000,-1960000000,-1000000,500000000,500000000,None,842000000,842000000,None,1000000,0,None,-499000000,None,3730000000,-34000000,3730000000,quarterly
2022-03-31,USD,2698000000,None,None,322000000,1054000000,428000000,491000000,47000000,699000000,2934000000,-526000000,-1598000000,0,951000000,951000000,None,764000000,764000000,None,0,None,None,-764000000,None,2934000000,-8000000,2934000000,quarterly
2021-12-31,USD,2057000000,None,None,286000000,2596000000,406000000,583000000,454000000,638000000,3399000000,-112000000,-2446000000,0,1178000000,1178000000,None,765000000,765000000,None,None,None,None,-1178000000,None,-509000000,-8000000,3399000000,quarterly
2021-09-30,USD,1077000000,None,None,332000000,2427000000,425000000,430000000,626000000,113000000,2798000000,50000000,-1402000000,1000000,771000000,771000000,None,768000000,768000000,None,173000000,0,None,-598000000,None,-283000000,-8000000,2798000000,quarterly
2021-06-30,USD,3373000000,None,None,815000000,-44000000,406000000,506000000,-394000000,449000000,2027000000,-372000000,-1608000000,0,630000000,630000000,None,767000000,767000000,None,0,0,None,-630000000,None,2027000000,6000000,2027000000,quarterly
2021-03-31,USD,2911000000,None,None,32000000,-714000000,387000000,483000000,-799000000,122000000,1762000000,-1832000000,-2143000000,-1000000,1521000000,1521000000,None,734000000,734000000,None,0,None,None,-1347000000,None,1762000000,-12000000,1762000000,quarterly
2020-12-31,USD,3175000000,None,None,407000000,176000000,364000000,469000000,141000000,-62000000,2455000000,-1202000000,-1645000000,1000000,444000000,444000000,None,739000000,739000000,None,None,None,None,-444000000,None,369000000,41000000,2455000000,quarterly
2020-09-30,USD,1741000000,39000000,None,413000000,2341000000,339000000,348000000,2151000000,219000000,2960000000,-338000000,-836000000,1000000,0,0,None,734000000,734000000,None,153000000,-1000000,None,153000000,None,2960000000,20000000,2960000000,quarterly
2020-06-30,USD,1872000000,40000000,None,243000000,-520000000,363000000,418000000,-1229000000,641000000,845000000,-3156000000,-1003000000,1000000,110000000,110000000,None,733000000,733000000,None,2000000,None,None,-108000000,None,845000000,4000000,845000000,quarterly
2020-03-31,USD,1083000000,36000000,None,554000000,577000000,340000000,345000000,345000000,280000000,468000000,-1566000000,-2209000000,0,1578000000,1578000000,None,705000000,705000000,None,151000000,None,None,-1427000000,None,468000000,-14000000,468000000,quarterly
