fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2021-12-31,USD,3521000000,92000000,None,801000000,2172000000,764000000,301000000,640000000,556000000,3162000000,-686000000,-1895000000,0,1762000000,1762000000,None,None,None,None,None,None,None,-1658000000,None,940000000,None,3162000000,annual
2020-12-31,USD,1071000000,86000000,None,-513000000,867000000,585000000,294000000,219000000,417000000,2490000000,-952000000,6000000,200000000,0,0,None,None,None,None,None,None,None,85000000,None,125000000,None,2490000000,annual
2019-12-31,USD,493000000,114000000,None,373000000,936000000,222000000,217000000,623000000,137000000,341000000,-149000000,43000000,-70000000,0,0,None,None,None,None,None,None,None,523000000,None,387000000,None,341000000,annual
2018-12-31,USD,34000000,79000000,None,207000000,1036000000,170000000,163000000,806000000,151000000,337000000,-170000000,28000000,0,None,None,None,None,None,None,0,0,None,70000000,None,-108000000,None,337000000,annual
2017-12-31,USD,12000000,88000000,None,-75000000,217000000,144000000,113000000,89000000,3000000,43000000,-54000000,-33000000,70000000,None,None,None,None,None,None,0,0,None,20000000,None,-79000000,None,-33000000,annual
2022-09-30,USD,965000000,None,None,783000000,1596000000,1188000000,123000000,285000000,723000000,66000000,-1298000000,-1233000000,-312000000,617000000,617000000,None,None,None,None,None,None,None,-616000000,None,66000000,None,66000000,quarterly
2022-06-30,USD,1038000000,None,None,24000000,569000000,1201000000,132000000,344000000,248000000,447000000,-928000000,114000000,0,921000000,921000000,None,None,None,None,None,None,None,-845000000,None,447000000,None,447000000,quarterly
2022-03-31,USD,995000000,None,None,4000000,959000000,628000000,71000000,673000000,26000000,786000000,3158000000,-1948000000,None,1914000000,1914000000,None,None,None,None,None,None,None,-1912000000,None,2205000000,None,786000000,quarterly
2021-12-31,USD,822000000,None,None,275000000,1231000000,431000000,86000000,487000000,52000000,974000000,0,-727000000,0,758000000,758000000,None,None,None,None,None,None,None,-709000000,None,95000000,None,974000000,quarterly
2021-09-30,USD,849000000,None,None,180000000,570000000,113000000,85000000,203000000,138000000,923000000,-83000000,-949000000,0,748000000,748000000,None,None,None,None,None,None,None,-744000000,None,923000000,None,923000000,quarterly
2021-06-30,USD,952000000,None,None,-120000000,41000000,111000000,64000000,-159000000,112000000,710000000,119000000,-211000000,None,256000000,256000000,None,None,None,None,None,None,None,-207000000,None,710000000,None,710000000,quarterly
2021-03-31,USD,898000000,None,None,466000000,330000000,109000000,66000000,109000000,254000000,555000000,-722000000,-8000000,None,0,0,None,None,None,None,None,None,None,2000000,None,168000000,None,555000000,quarterly
2020-12-31,USD,554000000,None,None,-634000000,98000000,320000000,74000000,-68000000,107000000,1778000000,-294000000,35000000,0,None,None,None,None,None,None,None,None,None,40000000,None,1778000000,None,1781000000,quarterly
2020-09-30,USD,339000000,None,None,282000000,479000000,125000000,74000000,351000000,-32000000,390000000,-549000000,-269000000,0,None,None,None,None,None,None,None,None,None,3000000,None,390000000,None,390000000,quarterly
2020-06-30,USD,243000000,None,None,268000000,353000000,72000000,91000000,104000000,268000000,157000000,-36000000,238000000,0,None,None,None,None,None,None,None,None,None,39000000,None,157000000,None,157000000,quarterly
2020-03-31,USD,-65000000,None,None,-429000000,-63000000,68000000,55000000,-168000000,74000000,162000000,-73000000,2000000,None,None,None,None,None,None,None,None,None,None,3000000,None,-136000000,None,162000000,quarterly
2019-12-31,USD,442000000,73000000,None,552000000,551000000,64000000,42000000,465000000,-58000000,170000000,-26000000,-107000000,None,None,None,None,None,None,None,None,None,None,36000000,None,170000000,None,170000000,quarterly
2019-09-30,USD,234000000,18000000,None,8000000,108000000,60000000,55000000,60000000,25000000,120000000,57000000,-98000000,None,None,None,None,None,None,None,None,None,None,3000000,None,102000000,None,120000000,quarterly
2019-06-30,USD,30000000,13000000,None,-60000000,151000000,52000000,58000000,93000000,60000000,35000000,-7000000,-38000000,None,None,None,None,None,None,None,None,None,None,34000000,None,22000000,None,35000000,quarterly
2019-03-31,USD,-213000000,None,None,-127000000,126000000,46000000,62000000,5000000,110000000,16000000,-173000000,286000000,None,None,None,None,None,None,None,None,None,None,450000000,None,-100000000,None,16000000,quarterly
2018-12-31,USD,120000000,72000000,None,86000000,213000000,43000000,41000000,53000000,107000000,38000000,-88000000,0,None,None,None,None,None,None,None,0,0,None,26000000,None,38000000,None,38000000,quarterly
2018-09-30,USD,76000000,7000000,None,12000000,144000000,41000000,33000000,89000000,-12000000,102000000,11000000,8000000,None,None,None,None,None,None,None,None,None,None,9000000,None,102000000,None,102000000,quarterly
2018-06-30,USD,-55000000,None,None,70000000,408000000,42000000,43000000,380000000,35000000,116000000,-68000000,28000000,0,None,None,None,None,None,None,0,0,None,29000000,None,116000000,None,116000000,quarterly
2018-03-31,USD,-107000000,None,None,39000000,271000000,44000000,46000000,284000000,21000000,81000000,-25000000,-8000000,0,None,None,None,None,None,None,0,0,None,6000000,None,-140000000,None,81000000,quarterly
2017-12-31,USD,324000000,None,None,-75000000,-368000000,39000000,44000000,-371000000,8000000,61000000,17000000,-34000000,None,None,None,None,None,None,None,0,0,None,5000000,None,306000000,None,-19000000,quarterly
