fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2022-12-31,EUR,8486800000,None,None,None,None,583600000,1319300000,None,None,None,None,-7138300000,None,None,None,None,2559800000.0,2559800000.0,None,None,None,None,-4639700000,None,None,None,5486200000,annual
2021-12-31,EUR,10845800000,None,None,None,None,471000000,940300000,None,-483200000,None,-72000000,-9891700000,None,None,None,None,1368300000.0,1368300000.0,None,None,None,None,-8560300000,None,None,None,5883200000,annual
2020-12-31,EUR,4627600000,None,None,None,None,490800000,1000800000,None,-706700000,None,-1352200000,-753000000,None,None,None,None,1066400000.0,1066400000.0,None,None,None,None,-1207500000,None,None,None,3553700000,annual
2019-12-31,EUR,3276400000,None,None,None,None,448500000,885900000,0,-404700000,None,-1157500000,-1712300000,None,None,None,None,1325700000.0,1325700000.0,None,None,None,None,-410000000,None,0,0,2592300000,annual
2018-12-31,EUR,3072700000,None,None,None,None,422700000,609500000,0,-515700000,None,-491500000,-1724300000,None,None,None,None,597100000.0,597100000.0,None,None,None,None,-1146200000,None,0,0,2591600000,annual
2022-12-31,EUR,5350500000,None,None,None,None,183200000,465900000,None,None,None,None,-858000000,None,None,None,None,541100000.0,541100000.0,None,None,None,None,-335000000,None,None,None,1763800000,quarterly
2022-09-30,EUR,1169500000,None,None,None,None,137900000,364300000,None,None,None,-508900000,-1612700000,None,None,None,None,543500000.0,543500000.0,None,None,None,None,-1087900000,None,None,None,1701500000,quarterly
2022-06-30,EUR,2552900000,None,None,None,None,131500000,237500000,None,None,None,-144300000,-2637400000,None,None,None,None,1475300000.0,1475300000.0,None,None,None,None,-1178500000,None,None,None,1410900000,quarterly
2022-03-31,EUR,-586100000,None,None,None,None,131000000,251600000,None,None,None,-11700000,-2030200000,None,None,None,None,1475300000.0,1475300000.0,None,None,None,None,-2038200000,None,None,None,695300000,quarterly
2021-12-31,EUR,6417000000,None,None,None,None,124200000,290700000,None,-483200000,None,-476100000,-3327000000,None,None,None,None,729200000.0,729200000.0,None,None,None,None,-2607200000,None,None,None,1773400000,quarterly
