Date,Status,Outer,Previous_rating,Current_rating,Previous_price,Current_price
2023-01-23,Upgrade,Barclays,Equal Weight,Overweight,120.0,150.0
2022-12-12,Downgrade,Wells Fargo,Equal Weight,Underweight,105.0,105.0
2022-11-16,Initiated,Credit Suisse,Outperform,Outperform,150.0,150.0
2022-10-24,Initiated,HSBC Securities,Buy,Buy,180.0,180.0
2022-10-11,Reiterated,KeyBanc Capital Markets,Overweight,Overweight,220.0,170.0
2022-07-29,Downgrade,DZ Bank,Buy,Hold,150.0,150.0
2022-07-28,Upgrade,Edward Jones,Hold,Buy,,
2022-07-15,Upgrade,Edward Jones,Hold,Buy,,
2022-04-18,Downgrade,SMBC Nikko,Outperform,Neutral,215.0,155.0
2022-02-03,Reiterated,Raymond James,Strong Buy,Strong Buy,190.0,222.0
2022-02-03,Reiterated,Morgan Stanley,Overweight,Overweight,215.0,223.0
2022-02-03,Reiterated,Mizuho,Buy,Buy,195.0,210.0
2022-02-03,Reiterated,KeyBanc Capital Markets,Overweight,Overweight,220.0,230.0
2022-02-03,Reiterated,JP Morgan,Overweight,Overweight,225.0,240.0
2022-02-03,Reiterated,Cowen,Outperform,Outperform,210.0,220.0
2022-02-03,Reiterated,Citigroup,Neutral,Neutral,180.0,190.0
2022-02-03,Reiterated,Canaccord Genuity,Buy,Buy,225.0,250.0
2022-02-03,Reiterated,Bernstein,Outperform,Outperform,225.0,250.0
2021-11-17,Reiterated,Piper Sandler,Overweight,Overweight,190.0,225.0
2021-11-17,Reiterated,Mizuho,Buy,Buy,170.0,195.0
