Period End Date,Period Length,Net Income,Depreciation/Depletion,Amortization,Deferred Taxes,Non-Cash Items,Changes in Working Capital,Cash from Operating Activities,Capital Expenditures,Other Investing Cash Flow Items,Cash from Investing Activities,Financing Cash Flow Items,Total Cash Dividends Paid,Issuance (Retirement) of Stock,Issuance (Retirement) of Debt,Cash from Financing Activities,Foreign Exchange Effects,Net Cash - Beginning Balance,Net Cash - Ending Balance,Net Change in Cash,Cash Interest Paid,Cash Taxes Paid
TTM,12 Months,"23,200.00","8,686.00",,"-3,286.00","16,192.00","5,683.00","50,475.00","-31,431.00","2,461.00","-28,970.00","-3,251.00",,"-27,956.00","9,071.00","-22,136.00",-638.00,,,"-1,269.00",,"6,407.00"
12/31/2022,12 Months,"23,200.00","8,686.00",,"-3,286.00","16,192.00","5,683.00","50,475.00","-31,431.00","2,461.00","-28,970.00","-3,251.00",,"-27,956.00","9,071.00","-22,136.00",-638.00,"16,865.00","15,596.00","-1,269.00",,"6,407.00"
12/31/2021,12 Months,"39,370.00","7,967.00",,609.00,"9,037.00",700.00,"57,683.00","-18,567.00","10,997.00","-7,570.00","-5,514.00",,"-44,537.00",-677.00,"-50,728.00",-474.00,"17,954.00","16,865.00","-1,089.00",,"8,525.00"
12/31/2020,12 Months,"29,146.00","6,862.00",,"-1,192.00","6,654.00","-2,723.00","38,747.00","-15,115.00","-14,944.00","-30,059.00","-3,416.00",,"-6,272.00",-604.00,"-10,292.00",279.00,"19,279.00","17,954.00","-1,325.00",,"4,229.00"
12/31/2019,12 Months,"18,485.00","5,741.00",,-37.00,"4,875.00","7,250.00","36,314.00","-15,102.00","-4,762.00","-19,864.00","-2,545.00",,"-4,202.00",-552.00,"-7,299.00",4.00,"10,124.00","19,279.00","9,155.00",,"5,182.00"
12/31/2018,12 Months,"22,112.00","4,315.00",,286.00,"4,088.00","-1,527.00","29,274.00","-13,915.00","2,312.00","-11,603.00","-2,693.00",,"-12,879.00",0.00,"-15,572.00",-179.00,"8,204.00","10,124.00","1,920.00",1.00,"3,762.00"
12/31/2017,12 Months,"15,934.00","3,025.00",,-377.00,"3,747.00","1,887.00","24,216.00","-6,733.00","-13,385.00","-20,118.00","-3,259.00",,"-1,976.00",0.00,"-5,235.00",232.00,"9,109.00","8,204.00",-905.00,0.00,"2,117.00"
12/31/2016,12 Months,"10,217.00","2,342.00",,-457.00,"3,248.00",758.00,"16,108.00","-4,491.00","-7,301.00","-11,792.00",2.00,,0.00,-312.00,-310.00,-63.00,"5,166.00","9,109.00","3,943.00",11.00,"1,210.00"
