Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,SEC Form 4 Link,Insider_id
Newstead Jennifer,Chief Legal Officer,Feb 01,Sale,148.0,342.0,50616.0,24109.0,Feb 03 06:12 PM,http://www.sec.gov/Archives/edgar/data/1326801/000095010323001868/xslF345X03/dp188276_4-newstead.xml,1780525
Newstead Jennifer,Chief Legal Officer,Jan 25,Sale,141.4,342.0,48359.0,24451.0,Jan 27 06:23 PM,http://www.sec.gov/Archives/edgar/data/1326801/000095010323001243/xslF345X03/dp187576_4-newstead.xml,1780525
Newstead Jennifer,Chief Legal Officer,Jan 18,Sale,135.71,342.0,46413.0,24793.0,Jan 20 06:08 PM,http://www.sec.gov/Archives/edgar/data/1326801/000095010323000834/xslF345X03/dp187183_4-newstead.xml,1780525
Newstead Jennifer,Chief Legal Officer,Jan 11,Sale,131.03,342.0,44812.0,25135.0,Jan 11 06:10 PM,http://www.sec.gov/Archives/edgar/data/1326801/000095010323000401/xslF345X03/dp186934_4-newstead.xml,1780525
Newstead Jennifer,Chief Legal Officer,Jan 04,Sale,127.4,342.0,43571.0,25477.0,Jan 06 06:14 PM,http://www.sec.gov/Archives/edgar/data/1326801/000095010323000220/xslF345X03/dp186645_4-newstead.xml,1780525
Newstead Jennifer,Chief Legal Officer,Dec 28,Sale,116.44,342.0,39822.0,25819.0,Dec 29 06:08 PM,http://www.sec.gov/Archives/edgar/data/1326801/000095010322021763/xslF345X03/dp186339_4-newstead.xml,1780525
Newstead Jennifer,Chief Legal Officer,Dec 21,Sale,116.7,342.0,39911.0,26161.0,Dec 23 06:12 PM,http://www.sec.gov/Archives/edgar/data/1326801/000095010322021406/xslF345X03/dp185930_4-newstead.xml,1780525
Newstead Jennifer,Chief Legal Officer,Dec 14,Sale,119.63,342.0,40913.0,26503.0,Dec 16 07:20 PM,http://www.sec.gov/Archives/edgar/data/1326801/000095010322021120/xslF345X03/dp185676_4-newstead.xml,1780525
Newstead Jennifer,Chief Legal Officer,Dec 07,Sale,113.89,342.0,38950.0,26845.0,Dec 09 06:18 PM,http://www.sec.gov/Archives/edgar/data/1326801/000095010322020902/xslF345X03/dp185517_4-newstead.xml,1780525
Newstead Jennifer,Chief Legal Officer,Nov 30,Sale,109.38,342.0,37408.0,27187.0,Dec 02 06:39 PM,http://www.sec.gov/Archives/edgar/data/1326801/000095010322020738/xslF345X03/dp185225_4-newstead.xml,1780525
