Date,Title,Link,Source,source
2023-02-13 14:31:00,Meta using space at American Tobacco in Durham for new engineering jobs,https://finance.yahoo.com/m/ff4d88bc-0dfb-36a7-9004-f02f3caf3219/meta-using-space-at-american.html,finance.yahoo,
2023-02-13 14:06:00,Why it may be time to sell the pop in tech stocks: BlackRock,https://finance.yahoo.com/news/why-it-may-be-time-to-sell-the-pop-in-tech-stocks-blackrock-190606866.html,finance.yahoo,
2023-02-13 13:27:00,"These Stocks Are Moving the Most Today: Fastly, Fidelity National, Teradata, Monday.com, and More",https://finance.yahoo.com/m/510d413d-21e0-3c7f-8443-a032d36ecc29/these-stocks-are-moving-the.html,finance.yahoo,
2023-02-13 13:12:00,REFILE-US STOCKS-Wall St climbs higher on lift from battered growth stocks,https://finance.yahoo.com/news/us-stocks-wall-st-climbs-181201678.html,finance.yahoo,
2023-02-13 12:53:00,Meta Chief Business Officer Levine to leave,https://finance.yahoo.com/m/9daedb7a-c3a2-30aa-8f87-2f0cb986e395/meta-chief-business-officer.html,finance.yahoo,
2023-02-13 12:27:00,UPDATE 1-Meta business chief to depart,https://finance.yahoo.com/news/1-meta-business-chief-depart-172715217.html,finance.yahoo,
2023-02-13 11:45:00,Meta business chief to depart,https://finance.yahoo.com/news/metas-chief-business-officer-marne-164504103.html,finance.yahoo,
2023-02-13 10:34:00,US STOCKS-Wall St climbs higher on lift from battered growth stocks,https://finance.yahoo.com/news/us-stocks-wall-st-climbs-153416165.html,finance.yahoo,
2023-02-13 10:19:00,Super Bowl LVII: The best and worst commercials,https://finance.yahoo.com/video/super-bowl-lvii-best-worst-151952128.html,finance.yahoo,
2023-02-13 09:30:00,"Stocks Mixed, Paxos, Meta, Another UFO Shot Down, KC Wins Super Bowl - Five Things to Know",https://finance.yahoo.com/m/92269e3e-fd38-3694-b0af-d74fd825e569/stocks-mixed%2C-paxos%2C-meta%2C.html,finance.yahoo,
2023-02-13 07:18:00,Wall St climbs higher on lift from battered growth stocks,https://finance.yahoo.com/news/nasdaq-futures-edge-higher-battered-121841796.html,finance.yahoo,
2023-02-13 05:48:00,Meta Delays Team Budgets Ahead of Fresh Job Cuts: Report,https://finance.yahoo.com/m/fc536049-0f0e-3a6b-8801-c4aa6d10ead0/meta-delays-team-budgets.html,finance.yahoo,
2023-02-13 02:17:00,Google will start campaign to prebunk misinformation in Europe,https://finance.yahoo.com/m/525f26c1-3d69-322e-b1d9-72af9396a07c/google-will-start-campaign-to.html,finance.yahoo,
2023-02-12 11:26:00,WSJ Opinion: Hits and Misses of the Week,https://finance.yahoo.com/video/wsj-opinion-hits-misses-week-162600009.html,finance.yahoo,
2023-02-12 07:15:00,"A Bull Market Is Coming: 1 FAANG Stock to Avoid, and 1 to Buy Now",https://finance.yahoo.com/m/f14b0c34-cc79-32c3-b116-5fc5e2b0270a/a-bull-market-is-coming%3A-1.html,finance.yahoo,
2023-02-12 05:30:00,TikToks Parent Takes On Meta in Battle for Virtual-Reality Market,https://finance.yahoo.com/m/f1f51483-b33c-3b08-af3e-f2f3df88d470/tiktok%E2%80%99s-parent-takes-on-meta.html,finance.yahoo,
2023-02-11 17:57:00,Meta employees are reportedly bracing for more layoffs amid delays to finalized budgets: Its still a mess,https://finance.yahoo.com/news/meta-employees-reportedly-bracing-more-225758839.html,finance.yahoo,
2023-02-11 11:15:00,"Big Oil raked in record profits last year, but check out Big Tech",https://finance.yahoo.com/news/big-oil-raked-in-record-profits-last-year-but-check-out-big-tech-161530609.html,finance.yahoo,
2023-02-11 10:31:00,This Fox-Owned Gem Is Seeing Huge Growth,https://finance.yahoo.com/m/1e044717-5031-33cb-8996-b75a1ccf0c89/this-fox-owned-gem-is-seeing.html,finance.yahoo,
