fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2022-05-31,USD,9539000000,6311000000,None,-1124000000,863000000,3122000000,4511000000,874000000,None,6901000000,11220000000,-29126000000,None,16248000000,16248000000,None,3457000000,3457000000,None,482000000,None,None,-15447000000,None,-8367000000,None,6717000000,annual
2021-05-31,USD,15887000000,6669000000,None,-1103000000,-763000000,2916000000,2135000000,-141000000,None,13926000000,-13098000000,-10378000000,None,20934000000,20934000000,None,3063000000,3063000000,None,1786000000,None,None,-17448000000,None,-7589000000,None,13746000000,annual
2020-05-31,USD,13139000000,6152000000,None,-1162000000,25000000,2968000000,1564000000,690000000,None,10299000000,9843000000,-6132000000,None,19240000000,19240000000,None,3070000000,3070000000,None,1588000000,None,None,-16152000000,None,16850000000,None,10135000000,annual
2019-05-31,USD,14551000000,5403000000,None,-249000000,11000000,2919000000,1660000000,272000000,None,11235000000,26557000000,-42056000000,None,36140000000,36140000000,None,2932000000,2932000000,None,2155000000,None,None,-31985000000,None,-948000000,None,11083000000,annual
2018-05-31,USD,15386000000,4043000000,None,-90000000,393000000,2785000000,1736000000,117000000,None,3722000000,-5625000000,-9982000000,None,11347000000,11347000000,None,3174000000,3140000000,None,2402000000,None,None,-6645000000,None,-164000000,57000000,3587000000,annual
2022-11-30,USD,849000000,110000000,None,-2756000000,168000000,907000000,2435000000,245000000,None,2693000000,-2658000000,-1855000000,0,448000000,448000000,None,863000000,863000000,None,146000000,0,None,-302000000,None,-3664000000,None,1741000000,quarterly
2022-08-31,USD,6394000000,104000000,None,2013000000,-805000000,1466000000,1719000000,-761000000,None,2444000000,-29436000000,12310000000,0,552000000,552000000,None,860000000,860000000,None,515000000,0,None,-37000000,None,-10732000000,None,1548000000,quarterly
2022-05-31,USD,3985000000,6152000000,None,863000000,1586000000,831000000,1423000000,1526000000,None,1082000000,-1161000000,-4026000000,0,594000000,594000000,None,854000000,854000000,None,125000000,0,None,-150000000,None,42440000000,None,3189000000,quarterly
2022-02-28,USD,3845000000,43000000,None,311000000,329000000,279000000,1101000000,137000000,None,3057000000,2432000000,-1579000000,0,653000000,653000000,None,855000000,855000000,None,52000000,0,None,-601000000,None,4083000000,None,2319000000,quarterly
2021-11-30,USD,-3682000000,48000000,None,-2850000000,70000000,299000000,925000000,63000000,None,-480000000,10730000000,-12053000000,0,7006000000,7006000000,None,861000000,861000000,None,157000000,0,None,-6849000000,None,552000000,None,-1247000000,quarterly
2021-08-31,USD,5391000000,68000000,None,552000000,-1122000000,757000000,1062000000,-852000000,None,3244000000,-781000000,-11468000000,0,7995000000,7995000000,None,887000000,887000000,None,148000000,0,None,-7847000000,None,-6858000000,None,2457000000,quarterly
2021-05-31,USD,4842000000,6351000000,None,575000000,935000000,752000000,717000000,948000000,None,2202000000,-3911000000,6798000000,0,7976000000,7976000000,None,917000000,917000000,None,871000000,0,None,-5405000000,None,40479000000,None,4032000000,quarterly
2021-02-28,USD,3704000000,72000000,None,-29000000,110000000,347000000,414000000,174000000,None,5670000000,-3384000000,-6129000000,0,3996000000,3996000000,None,699000000,699000000,None,143000000,0,None,-3853000000,None,6487000000,None,5021000000,quarterly
2020-11-30,USD,1388000000,124000000,None,-2514000000,-351000000,345000000,568000000,-186000000,None,3101000000,3852000000,-4554000000,0,4017000000,4017000000,None,717000000,717000000,None,205000000,0,None,-3812000000,None,3889000000,None,2442000000,quarterly
2020-08-31,USD,5953000000,122000000,None,865000000,-1457000000,701000000,436000000,-1077000000,None,2953000000,-9655000000,-6493000000,0,4945000000,4945000000,None,730000000,730000000,None,567000000,0,None,-4378000000,None,-10195000000,None,2251000000,quarterly
2020-05-31,USD,3614000000,5422000000,None,1215000000,1689000000,722000000,433000000,1636000000,None,1622000000,-4256000000,14133000000,0,5305000000,5305000000,None,740000000,740000000,None,356000000,0,None,-3449000000,None,39068000000,None,3116000000,quarterly
2020-02-29,USD,3012000000,224000000,None,-530000000,53000000,400000000,396000000,133000000,None,3102000000,480000000,-4169000000,0,3939000000,3939000000,None,768000000,768000000,None,615000000,0,None,-3324000000,None,3747000000,None,2571000000,quarterly
2019-11-30,USD,513000000,156000000,None,-2674000000,77000000,407000000,349000000,234000000,None,2848000000,1233000000,-8294000000,0,4991000000,4991000000,None,767000000,767000000,None,301000000,0,None,-4690000000,None,3285000000,None,2311000000,quarterly
2019-08-31,USD,6000000000,279000000,None,827000000,-1794000000,750000000,386000000,-1313000000,None,2726000000,12386000000,-7802000000,0,5005000000,5005000000,None,795000000,795000000,None,316000000,0,None,-4689000000,None,10584000000,None,2137000000,quarterly
2019-05-31,USD,4422000000,5065000000,None,1066000000,1285000000,754000000,413000000,1378000000,None,2161000000,7906000000,-6461000000,0,6253000000,6253000000,None,806000000,806000000,None,687000000,0,None,-3566000000,None,39506000000,None,3740000000,quarterly
2019-02-28,USD,2861000000,89000000,None,-396000000,169000000,407000000,443000000,10000000,None,3302000000,13199000000,-12239000000,0,9963000000,9963000000,None,593000000,670000000,None,450000000,0,None,-9513000000,None,4003000000,None,2745000000,quarterly
2018-11-30,USD,546000000,105000000,None,-358000000,256000000,424000000,421000000,274000000,None,2906000000,1920000000,-10023000000,0,9957000000,9957000000,None,755000000,714000000,None,727000000,0,None,-9230000000,None,3518000000,None,2333000000,quarterly
2018-08-31,USD,6722000000,144000000,None,-561000000,-1699000000,720000000,383000000,-1390000000,None,2265000000,3532000000,-13333000000,0,9967000000,9967000000,None,778000000,742000000,None,291000000,0,None,-9676000000,None,-3165000000,-86000000,2265000000,quarterly
2018-05-31,USD,4660000000,3591000000,None,1029000000,1758000000,702000000,378000000,1601000000,195000000,3304000000,3160000000,-5459000000,0,4926000000,4926000000,None,778000000,778000000,None,286000000,0,None,-2340000000,None,2133000000,-228000000,3276000000,quarterly
2018-02-28,USD,3310000000,111000000,None,-157000000,167000000,394000000,286000000,45000000,60000000,-4024000000,-1257000000,-4020000000,0,3967000000,3967000000,None,783000000,783000000,None,763000000,0,None,-3204000000,None,-1823000000,144000000,-4047000000,quarterly
