fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2022-01-30,USD,9108000000,400000000,None,760000000,4704000000,1174000000,976000000,2215000000,774000000,9752000000,-9830000000,1865000000,None,None,None,None,399000000,399000000,None,None,None,None,None,None,1143000000,None,9752000000,annual
2021-01-31,USD,5822000000,279000000,None,526000000,1468000000,1098000000,1128000000,550000000,524000000,4332000000,-19675000000,3804000000,None,0,0,None,395000000,395000000,None,None,None,None,None,None,-10049000000,None,4332000000,annual
2020-01-26,USD,4761000000,157000000,None,222000000,-441000000,381000000,489000000,233000000,-597000000,2796000000,6145000000,-792000000,None,0,0,None,390000000,390000000,None,None,0,None,149000000,None,10114000000,None,2796000000,annual
2019-01-27,USD,3743000000,55000000,None,211000000,980000000,262000000,600000000,149000000,776000000,4141000000,-4097000000,-2866000000,None,1579000000,1579000000,None,371000000,371000000,None,None,0,None,-1579000000,None,-3220000000,None,4141000000,annual
2018-01-28,USD,3502000000,55000000,None,571000000,419000000,201000000,593000000,440000000,0,3047000000,1278000000,-2544000000,None,909000000,909000000,None,341000000,341000000,None,None,0,None,-909000000,None,2236000000,None,3047000000,annual
2022-10-30,USD,392000000,43000000,None,-875000000,-94000000,406000000,530000000,-410000000,563000000,680000000,3148000000,-3753000000,None,3485000000,3485000000,None,100000000,100000000,None,None,None,None,-3485000000,None,None,None,680000000,quarterly
2022-07-31,USD,1270000000,None,None,None,None,378000000,433000000,None,725000000,656000000,1618000000,-3762000000,None,3345000000,0,None,100000000,100000000,None,0,0,0,0,None,None,None,656000000,quarterly
2022-04-30,USD,1731000000,None,None,None,None,334000000,361000000,-788000000,-560000000,1618000000,2612000000,-2446000000,None,None,0,None,100000000,100000000,None,0,0,0,0,None,1897000000,None,1618000000,quarterly
2022-01-30,USD,3033000000,286000000,None,33000000,1224000000,309000000,273000000,692000000,374000000,3003000000,-1586000000,-745000000,None,None,None,None,101000000,101000000,None,None,None,None,None,None,702000000,None,3003000000,quarterly
2021-10-31,USD,1519000000,39000000,None,384000000,2059000000,298000000,222000000,366000000,118000000,2464000000,-4439000000,-1420000000,None,0,0,None,100000000,100000000,None,0,0,0,0,None,2923000000,None,2464000000,quarterly
