fiscalDateEnding,reportedEPS
2023-01-31,2.45
2022-01-31,4.45
2021-01-31,2.51
2020-01-31,2.11
2019-01-31,6.63
2018-01-31,4.82
2017-01-31,2.55
2016-01-31,1.08
2015-01-31,1.09
2014-01-31,0.73
2013-01-31,0.93
2012-01-31,0.95
2011-01-31,0.64
2010-01-31,0.4
2009-01-31,0.51
2008-01-31,1.55
2007-01-31,0.7675
2006-01-31,0.69
2005-01-31,0.38
2004-01-31,0.22
2003-01-31,0.27
2002-01-31,0.27
2001-01-31,0.16
2000-01-31,0.09
