Date,Status,Outer,Previous_rating,Current_rating,Previous_price,Current_price
2023-02-10,Upgrade,Mizuho,Neutral,Buy,48.0,72.0
2022-12-30,Downgrade,Argus,Buy,Hold,,
2022-12-22,Reiterated,UBS,Buy,Buy,75.0,70.0
2022-12-22,Reiterated,Stifel,Hold,Hold,54.0,52.0
2022-12-22,Reiterated,Morgan Stanley,Underweight,Underweight,49.0,46.0
2022-12-22,Reiterated,Mizuho,Neutral,Neutral,50.0,48.0
2022-12-22,Reiterated,Cowen,Outperform,Outperform,70.0,66.0
2022-12-12,Downgrade,Deutsche Bank,Buy,Hold,60.0,55.0
2022-11-16,Initiated,Credit Suisse,Outperform,Outperform,78.0,78.0
2022-10-14,Initiated,Loop Capital,Buy,Buy,70.0,70.0
2022-09-30,Upgrade,Summit Insights,Hold,Buy,,
2022-09-30,Reiterated,Stifel,Hold,Hold,56.0,54.0
2022-09-30,Reiterated,Piper Sandler,Underweight,Underweight,50.0,45.0
2022-09-30,Reiterated,Needham,Buy,Buy,64.0,60.0
2022-09-30,Reiterated,Morgan Stanley,Underweight,Underweight,56.0,49.0
2022-09-30,Reiterated,Mizuho,Neutral,Neutral,56.0,52.0
2022-09-30,Reiterated,Deutsche Bank,Buy,Buy,68.0,60.0
2022-09-30,Reiterated,BofA Securities,Neutral,Neutral,62.0,58.0
2022-09-30,Reiterated,BMO Capital Markets,Outperform,Outperform,80.0,70.0
2022-09-26,Reiterated,Susquehanna,Positive,Positive,68.0,60.0
2022-09-21,Initiated,Stifel,Hold,Hold,56.0,56.0
