Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,SEC Form 4 Link,Insider_id
KONDO CHRIS,Principal Accounting Officer,Nov 22,Sale,148.72,20200.0,3004144.0,31505.0,Nov 23 06:30 PM,http://www.sec.gov/Archives/edgar/data/320193/000032019322000113/xslF345X03/wf-form4_166924620985339.xml,1631982
Maestri Luca,"Senior Vice President, CFO",Oct 28,Sale,155.95,176299.0,27493275.0,110673.0,Nov 01 06:30 PM,http://www.sec.gov/Archives/edgar/data/320193/000032019322000111/xslF345X03/wf-form4_166734181374173.xml,1513362
O'BRIEN DEIRDRE,Senior Vice President,Oct 17,Sale,142.45,8053.0,1147150.0,136290.0,Oct 18 06:33 PM,http://www.sec.gov/Archives/edgar/data/320193/000032019322000102/xslF345X03/wf-form4_166613234346671.xml,1767094
Adams Katherine L.,"SVP, GC and Secretary",Oct 03,Sale,141.41,181139.0,25615117.0,427334.0,Oct 04 10:02 PM,http://www.sec.gov/Archives/edgar/data/320193/000032019322000095/xslF345X03/wf-form4_166493432440801.xml,1462356
O'BRIEN DEIRDRE,Senior Vice President,Oct 03,Sale,142.16,176299.0,25062882.0,136290.0,Oct 04 10:05 PM,http://www.sec.gov/Archives/edgar/data/320193/000032019322000097/xslF345X03/wf-form4_166493494107053.xml,1767094
Maestri Luca,"Senior Vice President, CFO",Aug 17,Sale,174.95,96735.0,16924259.0,110673.0,Aug 19 06:30 PM,http://www.sec.gov/Archives/edgar/data/320193/000032019322000076/xslF345X03/wf-form4_166094821148314.xml,1513362
Adams Katherine L.,"SVP, GC and Secretary",Aug 03,Sale,164.77,25000.0,4119155.0,427334.0,Aug 05 06:30 PM,http://www.sec.gov/Archives/edgar/data/320193/000032019322000072/xslF345X03/wf-form4_165973862846098.xml,1462356
Adams Katherine L.,"SVP, GC and Secretary",May 04,Sale,161.72,25000.0,4042888.0,452334.0,May 06 06:30 PM,http://www.sec.gov/Archives/edgar/data/320193/000032019322000061/xslF345X03/wf-form4_165187623819106.xml,1462356
O'BRIEN DEIRDRE,Senior Vice President,Apr 18,Sale,164.91,8000.0,1319305.0,136290.0,Apr 19 06:31 PM,http://www.sec.gov/Archives/edgar/data/320193/000032019322000053/xslF345X03/wf-form4_165040749395911.xml,1767094
WILLIAMS JEFFREY E,COO,Apr 04,Sale,177.75,105901.0,18824389.0,489662.0,Apr 05 06:33 PM,http://www.sec.gov/Archives/edgar/data/320193/000032019322000049/xslF345X03/wf-form4_164919799612317.xml,1496686
O'BRIEN DEIRDRE,Senior Vice President,Apr 04,Sale,177.77,29198.0,5190427.0,136290.0,Apr 05 06:32 PM,http://www.sec.gov/Archives/edgar/data/320193/000032019322000048/xslF345X03/wf-form4_164919793500496.xml,1767094
