Period End Date,Period Length,Total Revenue,Cost of Revenue,Gross Profit,"Selling, General and Administrative",Research and Development,Unusual Expense/Income,Total Operating Expense,Operating Income,Interest Income Net,Other Income Net,Net Income Before Taxes,Provision for Income Taxes,Net Income,Income Avail. to Common Excl. Extraord.,Income Avail. to Common Incl. Extraord.,Diluted Average Shares,Diluted EPS Excl. Extraord.,Diluted EPS Incl. Extraord.
TTM,12 Months,"387,537.00","220,666.00","166,871.00","25,252.00","27,654.00",,"273,572.00","113,965.00",-197.00,-283.00,"113,485.00","18,314.00","95,171.00","95,171.00","95,171.00","16,184.93",5.88584,5.88584
9/24/2022,52 Weeks,"394,328.00","223,546.00","170,782.00","25,094.00","26,251.00",,"274,891.00","119,437.00",-106.00,-228.00,"119,103.00","19,300.00","99,803.00","99,803.00","99,803.00","16,325.82",6.11320,6.11320
9/25/2021,52 Weeks,"365,817.00","212,981.00","152,836.00","21,973.00","21,914.00",,"256,868.00","108,949.00",198.00,60.00,"109,207.00","14,527.00","94,680.00","94,680.00","94,680.00","16,864.92",5.61402,5.61402
9/26/2020,52 Weeks,"274,515.00","169,559.00","104,956.00","19,916.00","18,752.00",,"208,227.00","66,288.00",890.00,-87.00,"67,091.00","9,680.00","57,411.00","57,411.00","57,411.00","17,528.21",3.27535,3.27535
9/28/2019,52 Weeks,"260,174.00","161,782.00","98,392.00","18,245.00","16,217.00",,"196,244.00","63,930.00","1,385.00",422.00,"65,737.00","10,481.00","55,256.00","55,256.00","55,256.00","18,595.65",2.97145,2.97145
9/29/2018,52 Weeks,"265,595.00","163,756.00","101,839.00","16,705.00","14,236.00",,"194,697.00","70,898.00","2,446.00",-441.00,"72,903.00","11,872.00","59,531.00","61,031.00","59,531.00","20,000.44",3.05148,2.97649
9/30/2017,53 Weeks,"229,234.00","141,048.00","88,186.00","15,261.00","11,581.00",,"167,890.00","61,344.00","2,878.00",-133.00,"64,089.00","15,738.00","48,351.00","48,351.00","48,351.00","21,006.77",2.30169,2.30169
9/24/2016,52 Weeks,"215,639.00","131,376.00","84,263.00","14,194.00","10,045.00",,"155,615.00","60,024.00","2,543.00","-1,195.00","61,372.00","15,685.00","45,687.00","45,687.00","45,687.00","22,001.12",2.07658,2.07658
