Period End Date,Cash and Equivalents,Short Term Investments,Cash and Short Term Investments,"Accounts Receivable - Trade, Net","Total Receivables, Net",Total Inventory,Total Current Assets,"Property, Plant And Equipment - Gross","Property, Plant And Equipment - Net","Goodwill, Net","Intangibles, Net",Long Term Investments,Other Long Term Assets,Total Assets,Accounts Payable,Accrued Expenses,Notes Payable/Short Term Debt,Current Port. of LT Debt/Capital Leases,Other Current liabilities,Total Current Liabilities,Long Term Debt,Capital Lease Obligations,Total Long Term Debt,Total Debt,Other Liabilities,Total Liabilities,Common Stock,Additional Paid-In Capital,Retained Earnings,Unrealized Gain (Loss),Other Equity,Total Equity,Total Liabilities and Equity,Total Common Shares Outstanding,Full-Time Employees,Number of Common Shareholders
9/24/2022,"5,100.00","24,658.00","48,304.00","28,184.00","60,932.00","4,946.00","135,405.00","124,874.00","52,534.00",,,"120,805.00","44,011.00","352,755.00","64,115.00","1,534.00","9,982.00","11,257.00","67,094.00","153,982.00","98,959.00",812.00,"99,771.00","121,010.00","48,330.00","302,083.00",0.16,"64,848.84","-3,068.00",,"-11,109.00","50,672.00","352,755.00","15,943.42","164,000","23,838"
9/25/2021,"17,635.00","27,699.00","62,639.00","26,278.00","51,506.00","6,580.00","134,836.00","119,810.00","49,527.00",,,"127,877.00","38,762.00","351,002.00","54,763.00","1,449.00","6,000.00","9,692.00","53,577.00","125,481.00","109,106.00",769.00,"109,875.00","125,567.00","52,556.00","287,912.00",0.16,"57,364.84","5,562.00",,163.00,"63,090.00","351,002.00","16,426.79","154,000","23,502"
9/26/2020,"20,243.00","52,927.00","90,943.00","16,120.00","37,445.00","4,061.00","143,713.00","112,096.00","45,336.00",,,"100,887.00","33,952.00","323,888.00","42,296.00","1,436.00","4,996.00","8,797.00","47,867.00","105,392.00","98,667.00",637.00,"99,304.00","113,097.00","53,853.00","258,549.00",0.17,"50,778.83","14,966.00","1,846.00","-2,252.00","65,339.00","323,888.00","16,976.76","147,000","22,797"
9/28/2019,"36,640.00","51,713.00","100,557.00","22,926.00","45,804.00","4,106.00","162,819.00","95,957.00","37,378.00",,,"105,341.00","32,978.00","338,516.00","46,236.00",,"5,980.00","10,260.00","43,242.00","105,718.00","91,807.00",,"91,807.00","108,047.00","50,503.00","248,028.00","45,174.00",,"45,898.00",707.00,"-1,291.00","90,488.00","338,516.00","17,772.94","137,000","23,233"
9/29/2018,"14,338.00","40,388.00","66,301.00","23,186.00","48,995.00","3,956.00","131,339.00","90,403.00","41,304.00",,,"170,799.00","22,283.00","365,725.00","55,888.00",,"11,964.00","8,784.00","39,293.00","115,929.00","93,735.00",,"93,735.00","114,483.00","48,914.00","258,578.00","40,201.00",,"70,400.00","-3,209.00",-245.00,"107,147.00","365,725.00","19,019.94","132,000","23,712"
9/30/2017,"12,307.00","53,892.00","74,181.00","17,874.00","35,673.00","4,855.00","128,645.00","75,076.00","33,783.00",,,"194,714.00","18,177.00","375,319.00","44,242.00",,"11,977.00","6,496.00","38,099.00","100,814.00","97,207.00",,"97,207.00","115,680.00","11,747.00","241,272.00","35,867.00",,"98,330.00",328.00,-478.00,"134,047.00","375,319.00","20,504.80","123,000","25,333"
9/24/2016,"11,883.00","46,671.00","67,155.00","15,754.00","29,299.00","2,132.00","106,869.00","61,245.00","27,010.00","5,414.00","3,206.00","170,430.00","8,757.00","321,686.00","37,294.00","20,951.00","8,105.00","3,500.00","9,156.00","79,006.00","75,427.00",,"75,427.00","87,032.00","12,985.00","193,437.00","31,251.00",,"96,364.00","1,174.00",-540.00,"128,249.00","321,686.00","21,344.66","116,000","25,641"
9/26/2015,"9,731.00","20,481.00","41,601.00","16,849.00","30,343.00","2,349.00","89,378.00","49,257.00","22,471.00","5,116.00","3,893.00","164,065.00","5,422.00","290,345.00","35,490.00","24,169.00","8,499.00","2,500.00","9,952.00","80,610.00","53,329.00",,"53,329.00","64,328.00","12,989.00","170,990.00","27,416.00",,"92,284.00",-653.00,308.00,"119,355.00","290,345.00","22,315.01","110,000","25,924"
