fiscalDateEnding,reportedEPS
2022-12-31,6.64
2021-12-31,4.12
2020-12-31,3.4
2019-12-31,2.15
2018-12-31,2.25
2017-12-31,2.18
2016-12-31,2.01
2015-12-31,1.87
2014-12-31,1.68
2013-12-31,1.22
2012-12-31,1.09
2011-12-31,0.88
2010-12-31,0.98
2009-12-31,0.52
2008-12-31,0.61
2007-12-31,0.63
2006-12-31,0.74
2005-12-31,0.55
2004-12-31,0.55
2003-12-31,0.27
2002-12-31,0.11
2001-12-31,0.0951
2000-12-31,0.45
1999-12-31,0.2
1998-12-31,0.07
1997-12-31,0.04
