fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2022-12-31,USD,16043000000,5302000000,None,6417000000,7312000000,11276000000,9238000000,4483000000,2581000000,9708000000,-17882000000,383000000,373000000,2500000000,4621000000,2121000000,397000000,397000000,None,None,None,None,-4621000000,None,None,None,9934000000,annual
2021-12-31,USD,15188000000,5114000000,None,-1261000000,4080000000,12047000000,7509000000,-493000000,3155000000,9945000000,-16355000000,1744000000,2912000000,0,0,None,186000000,186000000,None,None,None,1736000000,1736000000,None,577000000,None,10019000000,annual
2020-12-31,USD,16670000000,6113000000,None,172000000,1377000000,12676000000,5300000000,1341000000,104000000,6321000000,-21826000000,5552000000,277000000,None,None,None,669000000,669000000,None,None,None,492000000,492000000,None,396000000,None,6427000000,annual
2019-12-31,USD,15021000000,6991000000,None,-279000000,2874000000,14060000000,7592000000,563000000,761000000,6667000000,-10899000000,-4677000000,-312000000,0,0,None,2350000000,2350000000,None,None,None,457000000,457000000,None,-555000000,None,6732000000,annual
2018-12-31,USD,15256000000,6266000000,None,-612000000,-362000000,13142000000,8761000000,-492000000,-399000000,8005000000,-20763000000,11454000000,1186000000,190000000,190000000,None,2242000000,2242000000,None,None,None,2862000000,2672000000,None,5947000000,None,8014000000,annual
2022-12-31,USD,5624000000,4716000000,None,None,None,2767000000,3305000000,None,None,2007000000,-6911000000,-316000000,-835000000,1000000000,1000000000,0,127000000,127000000,None,None,None,0,-1000000000,None,None,None,1999000000,quarterly
2022-09-30,USD,5191000000,185000000,None,None,None,2774000000,2104000000,None,None,3252000000,-2744000000,1461000000,193000000,0,1494000000,-6000000,189000000,189000000,None,0,None,0,-1494000000,None,3908000000,None,3305000000,quarterly
2022-06-30,USD,3124000000,188000000,None,None,None,2844000000,2168000000,None,None,1642000000,-4318000000,1090000000,293000000,0,3000000,3000000,8000000,8000000,None,0,None,0,-3000000,None,-104000000,None,1692000000,quarterly
2022-03-31,USD,2104000000,213000000,None,None,None,2891000000,1661000000,None,None,2807000000,-3909000000,-1852000000,722000000,0,2124000000,2124000000,73000000,73000000,None,0,None,0,-2124000000,None,-3657000000,None,2939000000,quarterly
2021-12-31,USD,6809000000,4320000000,None,None,None,2937000000,3199000000,None,-3155000000,1766000000,-5416000000,532000000,-291000000,0,0,None,16000000,16000000,None,0,None,0,0,None,1925000000,None,1741000000,quarterly
