Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
W,Wayfair Inc.,46.79,7.88,20.25,22042000.0,4731000.0,5.012,
ALLY,Ally Financial Inc.,31.43,5.24,20.01,33633000.0,5624000.0,9.408,6.24
ACDSF,CapitaLand Ascendas REIT,2.1,0.33,18.64,61783.0,20618.0,8.903,11.67
AFRM,"Affirm Holdings, Inc.",14.3,2.05,16.73,20373000.0,15772000.0,4.149,
SIVB,SVB Financial Group,291.44,41.4,16.56,3091000.0,1144000.0,17.245,9.32
PILBF,Pilbara Minerals Limited,3.2,0.35,12.28,229736.0,330550.0,9.594,22.86
COIN,"Coinbase Global, Inc.",55.16,5.74,11.61,15434000.0,15725000.0,14.446,5.64
DADA,Dada Nexus Limited,14.18,1.37,10.69,4289000.0,1966000.0,3.624,
CLLNY,"Cellnex Telecom, S.A.",19.91,1.89,10.49,418343.0,156554.0,28.132,
APE,"AMC Entertainment Holdings, Inc.",1.74,0.16,10.13,21731000.0,28381000.0,4.641,
CVT,Cvent Holding Corp.,6.52,0.58,9.76,340068.0,489645.0,3.181,
DIDIY,DiDi Global Inc.,4.83,0.39,8.78,19426000.0,14494000.0,23.445,
SYF,Synchrony Financial,35.41,2.83,8.69,12094000.0,5478000.0,15.954,5.57
RVNC,"Revance Therapeutics, Inc.",31.7,2.51,8.6,2799000.0,1512000.0,2.608,
NFLX,"Netflix, Inc.",342.5,26.72,8.46,28430000.0,9842000.0,152.419,29.22
ESTC,Elastic N.V.,55.12,4.27,8.4,1278000.0,1546000.0,5.27,
MSTR,MicroStrategy Incorporated,240.03,18.58,8.39,729935.0,688362.0,2.769,
LYFT,"Lyft, Inc.",15.4,1.19,8.37,16876000.0,15337000.0,5.558,
U,Unity Software Inc.,31.31,2.41,8.34,9193000.0,12321000.0,12.619,
STGPF,Scentre Group,2.1,0.16,8.25,24608.0,3301.0,10.903,15.0
SMG,The Scotts Miracle-Gro Company,62.34,4.54,7.85,756480.0,890221.0,3.458,8.89
FLNC,"Fluence Energy, Inc.",22.54,1.64,7.85,1503000.0,987406.0,3.932,
QS,QuantumScape Corporation,7.73,0.56,7.81,5701000.0,7549000.0,3.37,
TOST,"Toast, Inc.",20.77,1.49,7.73,3010000.0,5515000.0,10.816,
KIGRY,KION GROUP AG,9.88,0.7,7.63,22550.0,73034.0,5.179,23.51
PLTK,Playtika Holding Corp.,10.2,0.71,7.48,1414000.0,1199000.0,3.683,13.42
SBNY,Signature Bank,127.79,8.88,7.47,1688000.0,1221000.0,8.042,5.81
APP,AppLovin Corporation,10.94,0.76,7.47,1960000.0,3472000.0,4.066,
CCU,Compañía Cervecerías Unidas S.A.,14.7,1.02,7.46,450442.0,211608.0,2.716,15.47
OZK,Bank OZK,43.13,2.98,7.42,2282000.0,832590.0,5.054,9.87
SE,Sea Limited,65.86,4.54,7.4,11629000.0,5862000.0,36.996,
SQ,"Block, Inc.",76.16,5.22,7.36,12798000.0,12492000.0,45.549,
ATAT,Atour Lifestyle Holdings Limited,27.09,1.81,7.16,274276.0,611240.0,3.533,159.35
SNOW,Snowflake Inc.,144.82,9.58,7.08,4714000.0,5429000.0,46.574,
AKBTY,Akbank T.A.S.,1.92,0.125,6.96,153550.0,27837.0,5.174,2.18
NET,"Cloudflare, Inc.",45.6,2.9,6.79,4417000.0,5192000.0,14.985,
RUM,Rumble Inc.,9.6,0.61,6.79,1147000.0,1933000.0,2.678,
