Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
DAN,Dana Incorporated,18.14,0.92,5.34,1463000.0,960059.0,2.6,27.07
TCBI,"Texas Capital Bancshares, Inc.",66.07,3.35,5.34,471383.0,401973.0,3.223,10.62
GT,The Goodyear Tire & Rubber Company,11.25,0.57,5.34,5005000.0,4261000.0,3.182,3.71
SBNY,Signature Bank,128.95,6.51,5.32,1189000.0,1266000.0,8.115,6.21
FDX,FedEx Corporation,193.86,9.78,5.31,2423000.0,2370000.0,48.93,15.18
TOL,"Toll Brothers, Inc.",59.49,3.0,5.31,2298000.0,1411000.0,6.578,5.46
FBIN,"Fortune Brands Innovations, Inc.",64.51,3.24,5.29,1134000.0,1913000.0,8.259,11.42
FSR,Fisker Inc.,7.45,0.37,5.23,5271000.0,5498000.0,2.324,
AUR,"Aurora Innovation, Inc.",1.82,0.09,5.2,6354000.0,2245000.0,2.119,
MATX,"Matson, Inc.",66.12,3.26,5.19,404007.0,337963.0,2.498,1.95
OUT,Outfront Media Inc.,19.9,0.98,5.18,937678.0,1419000.0,3.267,21.63
CIG,Companhia Energética de Minas Gerais,2.24,0.11,5.16,5869000.0,6390000.0,5.864,8.96
ARWR,"Arrowhead Pharmaceuticals, Inc.",34.99,1.71,5.14,771130.0,1012000.0,3.982,
GMS,GMS Inc.,59.32,2.89,5.12,539452.0,231431.0,2.469,7.81
ESE,ESCO Technologies Inc.,98.44,4.78,5.1,195111.0,85836.0,2.548,31.15
IMCR,Immunocore Holdings plc,61.27,2.95,5.06,165474.0,378359.0,2.935,
TGTX,"TG Therapeutics, Inc.",15.23,0.73,5.03,3802000.0,5357000.0,2.214,
CEA,China Eastern Airlines Corporation Limited,20.1,0.96,5.02,27175.0,9165.0,16.458,
BECN,"Beacon Roofing Supply, Inc.",56.88,2.7,4.98,668938.0,456631.0,3.723,24.31
CAR,"Avis Budget Group, Inc.",200.04,9.45,4.96,367429.0,749031.0,8.295,3.9
LEA,Lear Corporation,145.78,6.88,4.95,668157.0,493924.0,8.616,37.77
NVR,"NVR, Inc.",5270.0,248.58,4.95,32045.0,17703.0,16.842,11.76
