fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2022-09-30,USD,122151000000,4665000000,None,15558000000,14358000000,11104000000,10708000000,9343000000,-1484000000,99803000000,-22354000000,-110749000000,7910000000,89402000000,89402000000,None,14841000000,14841000000,None,None,5465000000,None,-89402000000,None,-10952000000,None,99803000000,annual
2021-09-30,USD,104038000000,4087000000,None,19801000000,24712000000,11284000000,11085000000,14028000000,2642000000,94680000000,-14545000000,-93353000000,2044000000,85971000000,85971000000,None,14467000000,14467000000,None,1105000000,20393000000,None,-84866000000,None,-3860000000,None,94680000000,annual
2020-09-30,USD,80674000000,4502000000,None,6935000000,1245000000,11056000000,7309000000,-8470000000,127000000,57411000000,-4289000000,-86820000000,-1926000000,72358000000,72358000000,None,14081000000,14081000000,None,880000000,16091000000,None,-71478000000,None,-10435000000,None,57411000000,annual
2019-09-30,USD,69391000000,3423000000,None,-7248000000,-3760000000,12547000000,10495000000,-3176000000,289000000,55256000000,45896000000,-90976000000,-11954000000,66897000000,66897000000,None,14119000000,14119000000,None,781000000,6963000000,None,-66116000000,None,24311000000,None,55256000000,annual
2018-09-30,USD,77434000000,3022000000,None,47665000000,12927000000,10903000000,13313000000,13332000000,-828000000,59531000000,16066000000,-87876000000,-74000000,72738000000,72738000000,None,13712000000,13712000000,None,669000000,6969000000,None,-72069000000,None,5624000000,None,59531000000,annual
2022-09-30,USD,24127000000,2755000000,None,21420000000,21468000000,2865000000,3289000000,18693000000,-435000000,20721000000,-1217000000,-26794000000,-2030000000,24428000000,24428000000,None,3703000000,3703000000,None,None,5465000000,None,-24428000000,None,-3884000000,None,20721000000,quarterly
2022-06-30,USD,22892000000,504000000,None,-6627000000,-3402000000,2805000000,2102000000,-3165000000,16000000,19442000000,4234000000,-27445000000,7942000000,21865000000,21865000000,None,3811000000,3811000000,None,None,0,None,-21865000000,None,19442000000,None,19442000000,quarterly
2022-03-31,USD,28166000000,875000000,None,-23746000000,-21694000000,2737000000,2514000000,-19931000000,-384000000,25010000000,-9265000000,-28351000000,3998000000,22631000000,22631000000,None,3595000000,3595000000,None,None,0,None,-22631000000,None,25010000000,None,25010000000,quarterly
2021-12-31,USD,46966000000,531000000,None,24511000000,17986000000,2697000000,2803000000,13746000000,-681000000,34630000000,-16106000000,-28159000000,-2000000000,20478000000,20478000000,None,3732000000,3732000000,None,None,None,None,-20478000000,None,2701000000,None,34630000000,quarterly
2021-09-30,USD,20200000000,2217000000,None,19386000000,21176000000,2989000000,3223000000,17604000000,1429000000,20551000000,835000000,-20382000000,-4000000000,19748000000,19748000000,None,3640000000,3640000000,None,544000000,6470000000,None,-19204000000,None,653000000,None,20551000000,quarterly
2021-06-30,USD,21094000000,543000000,None,-2275000000,2422000000,2832000000,2093000000,869000000,-13000000,21744000000,3572000000,-29396000000,6000000000,22900000000,22900000000,None,3767000000,3767000000,None,0,0,None,-22900000000,None,21744000000,None,21744000000,quarterly
2021-03-31,USD,23981000000,708000000,None,-28280000000,-24501000000,2797000000,2269000000,-25584000000,276000000,23630000000,-10368000000,-11326000000,0,18548000000,18548000000,None,3447000000,3447000000,None,561000000,13923000000,None,-17987000000,None,23630000000,None,23630000000,quarterly
2020-12-31,USD,38763000000,619000000,None,30970000000,25615000000,2666000000,3500000000,21139000000,950000000,28755000000,-8584000000,-32249000000,44000000,24775000000,24775000000,None,3613000000,3613000000,None,0,0,None,-24775000000,None,-2070000000,None,28755000000,quarterly
2020-09-30,USD,20576000000,1127000000,None,12206000000,8329000000,2702000000,1784000000,5364000000,137000000,24689000000,5531000000,-21357000000,-7153000000,17187000000,17187000000,None,3511000000,3511000000,None,450000000,5456000000,None,-16737000000,None,24689000000,None,12673000000,quarterly
2020-06-30,USD,16271000000,388000000,None,-474000000,-44000000,2752000000,1565000000,1373000000,689000000,11253000000,-5165000000,-19116000000,-365000000,15891000000,15891000000,None,3656000000,3656000000,None,0,8425000000,None,-15891000000,None,10865000000,None,11253000000,quarterly
2020-03-31,USD,13311000000,353000000,None,-10207000000,-8205000000,2786000000,1853000000,-9290000000,-727000000,11249000000,9013000000,-20940000000,7550000000,18574000000,18574000000,None,3375000000,3375000000,None,428000000,0,None,-18146000000,None,10896000000,None,11249000000,quarterly
2019-12-31,USD,30516000000,1120000000,None,5410000000,1165000000,2816000000,2107000000,-5917000000,28000000,22236000000,-13668000000,-25407000000,-1958000000,20706000000,20706000000,None,3539000000,3539000000,None,2000000,2210000000,None,-20704000000,None,-8559000000,None,22236000000,quarterly
2019-09-30,USD,19910000000,860000000,None,22085000000,19925000000,3179000000,2777000000,19320000000,785000000,24313000000,-798000000,-21039000000,-7902000000,17444000000,17444000000,None,3479000000,3479000000,None,390000000,6963000000,None,-17054000000,None,24313000000,None,13686000000,quarterly
2019-06-30,USD,11636000000,801000000,None,-5496000000,-2698000000,2933000000,2000000000,214000000,-1502000000,10044000000,27502000000,-26804000000,-3980000000,16955000000,16955000000,None,3629000000,3629000000,None,1000000,0,None,-16954000000,None,10044000000,None,10044000000,quarterly
2019-03-31,USD,11155000000,926000000,None,-15536000000,-10914000000,3040000000,2363000000,-10675000000,-70000000,11561000000,13348000000,-29457000000,-84000000,23702000000,23702000000,None,3443000000,3443000000,None,390000000,0,None,-23312000000,None,11561000000,None,11561000000,quarterly
2018-12-31,USD,26690000000,836000000,None,-8301000000,-10073000000,3395000000,3355000000,-12035000000,1076000000,19965000000,5844000000,-13676000000,12000000,8796000000,8796000000,None,3568000000,3568000000,None,0,0,None,-8796000000,None,18858000000,None,19965000000,quarterly
2018-09-30,USD,19523000000,902000000,None,21898000000,21040000000,2754000000,3041000000,22624000000,-1942000000,24084000000,-3001000000,-22580000000,-54000000,19104000000,19104000000,None,3530000000,3530000000,None,341000000,0,None,-18763000000,None,-6058000000,None,14125000000,quarterly
2018-06-30,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000,quarterly
2018-03-31,USD,15130000000,733000000,None,-26512000000,-24371000000,2739000000,4041000000,-28468000000,3241000000,13822000000,28710000000,-26272000000,-2000000,22756000000,22756000000,None,3190000000,3190000000,None,0,0,None,-22429000000,None,17568000000,None,13822000000,quarterly
2017-12-31,USD,28293000000,623000000,None,52928000000,14993000000,2745000000,2964000000,15230000000,-434000000,20065000000,-13590000000,-7501000000,4000000,10095000000,10095000000,None,3339000000,3232000000,None,None,6969000000,None,-10095000000,None,7202000000,None,20065000000,quarterly
