Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
PCRFY,Panasonic Holdings Corporation,8.92,-0.29,-3.15,194586.0,185008.0,20.82,12.93
ARSSF,Assura Plc,0.6965,-0.0225,-3.13,47579.0,1927.0,2.062,13.93
XOM,Exxon Mobil Corporation,111.15,-3.59,-3.13,24458000.0,17228000.0,453.714,8.38
BCE,BCE Inc.,46.12,-1.48,-3.11,1600000.0,1599000.0,42.057,19.88
GILD,"Gilead Sciences, Inc.",81.39,-2.61,-3.11,10867000.0,7285000.0,102.083,30.83
CNO,"CNO Financial Group, Inc.",25.3,-0.81,-3.1,792024.0,706973.0,2.894,6.47
SNY,Sanofi,47.24,-1.51,-3.1,2136000.0,2454000.0,118.349,17.05
AKRO,"Akero Therapeutics, Inc.",47.71,-1.52,-3.09,602323.0,778396.0,2.231,
FNMA,Federal National Mortgage Association,0.47,-0.0149,-3.07,3995000.0,2394000.0,0.544302,
LEA,Lear Corporation,144.87,-4.59,-3.07,1447000.0,482252.0,8.563,37.53
KKPNY,Koninklijke KPN N.V.,3.41,-0.1075,-3.06,163402.0,650955.0,13.767,18.94
HSHCY,"Haier Smart Home Co., Ltd.",14.64,-0.46,-3.05,75060.0,194314.0,33.766,15.74
LNG,"Cheniere Energy, Inc.",149.28,-4.68,-3.04,1929000.0,2060000.0,37.12,
SSRM,SSR Mining Inc.,16.95,-0.53,-3.03,1048000.0,1392000.0,3.502,15.99
KAOOY,Kao Corporation,7.75,-0.24,-3.0,100398.0,211221.0,17.698,27.68
KGC,Kinross Gold Corporation,4.6,-0.14,-2.95,13417000.0,16478000.000000002,5.913,18.4
WMMVY,"Wal-Mart de México, S.A.B. de C.V.",38.93,-1.18,-2.94,21719.0,53165.0,67.977,26.85
MTSI,"MACOM Technology Solutions Holdings, Inc.",66.52,-2.01,-2.93,1042999.9999999999,445822.0,4.705,10.35
MZDAY,Mazda Motor Corporation,3.98,-0.12,-2.93,64973.0,204706.0,5.014,4.57
NCMGY,Newcrest Mining Limited,15.92,-0.48,-2.93,100927.0,114562.0,14.228,15.46
RJF,"Raymond James Financial, Inc.",108.83,-3.27,-2.92,2251000.0,1361000.0,23.398,15.16
RNR,RenaissanceRe Holdings Ltd.,203.43,-6.1,-2.91,671403.0,357054.0,8.894,
FLR,Fluor Corporation,36.16,-1.08,-2.9,1549000.0,1571000.0,5.138,129.14
SCCO,Southern Copper Corporation,76.11,-2.26,-2.88,1911000.0,1399000.0,58.84,22.92
DOX,Amdocs Limited,94.26,-2.79,-2.87,1625000.0,598727.0,11.388,21.23
CIB,Bancolombia S.A.,29.06,-0.86,-2.87,549877.0,299783.0,7.817,4.85
GL,Globe Life Inc.,116.75,-3.45,-2.87,1065000.0,579134.0,11.356,16.47
ENGIY,Engie SA,14.01,-0.41,-2.84,119273.0,168727.0,33.687,5.25
FMC,FMC Corporation,128.72,-3.71,-2.8,1386000.0,707363.0,16.214,22.46
BZ,Kanzhun Limited,23.98,-0.69,-2.8,1317000.0,3039000.0,18.816,57.1
YY,JOYY Inc.,36.92,-1.06,-2.79,530016.0,676819.0,2.616,5.24
RBGLY,Reckitt Benckiser Group plc,13.94,-0.4,-2.79,472612.0,1022000.0,49.889,13.28
ACHC,"Acadia Healthcare Company, Inc.",81.72,-2.34,-2.78,1168000.0,560375.0,7.435,25.78
SSLZY,Santos Limited,4.89,-0.14,-2.78,104445.0,225739.0,16.202,10.19
NHYDY,Norsk Hydro ASA,8.08,-0.23,-2.77,158919.0,119670.0,16.481,5.35
PI,"Impinj, Inc.",135.27,-3.84,-2.76,601177.0,447783.0,3.506,
GOLD,Barrick Gold Corporation,19.4,-0.55,-2.76,20753000.0,19779000.0,34.184,18.13
WHD,"Cactus, Inc.",52.34,-1.48,-2.75,534226.0,427462.0,3.356,33.55
BABA,Alibaba Group Holding Limited,109.74,-3.08,-2.73,23336000.0,24326000.0,291.022,156.77
GNENF,"Ganfeng Lithium Group Co., Ltd.",9.12,-0.26,-2.72,21592.0,11686.0,22.336,7.54
SAIA,"Saia, Inc.",287.61,-8.03,-2.72,1646000.0,390583.0,7.611,19.97
JCI,Johnson Controls International plc,64.57,-1.79,-2.7,6352000.0,3601000.0,44.371,35.48
EHC,Encompass Health Corporation,61.51,-1.7,-2.69,773300.0,623765.0,6.138,17.78
FMX,"Fomento Económico Mexicano, S.A.B. de C.V.",85.22,-2.35,-2.68,568057.0,560904.0,147.311,24.28
PFGC,Performance Food Group Company,60.99,-1.68,-2.68,1566000.0,1216000.0,9.494,43.88
GIS,"General Mills, Inc.",75.9,-2.09,-2.68,7882000.0,3737000.0,44.751,15.85
TMUS,"T-Mobile US, Inc.",146.95,-4.02,-2.66,8662000.0,5231000.0,182.828,119.47
BTEGF,Baytex Energy Corp.,4.4,-0.12,-2.65,326224.0,338652.0,2.41,3.03
